current_rank,ticker,name,sector,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,ASO,ACADEMY SPORTS AND OUTDOORS,Consumer Discretionary,1,49.560001,,6,49.889999,-0.00661451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MGPI,MGP INGREDIENTS INC,Consumer Staples,2,18.370001,,,,,,,,,,,,,,,,,,,,,,,,,,17,18.879999,,31,18.709999,0.00908605,,,,,,,,,,28,18.1,,,,,16,18.209999,,,,
3,VTS,VITESSE ENERGY INC,Energy,3,16.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FLY,FIREFLY AEROSPACE,Industrials,4,26.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MNSB,MAINSTREET BANCSHARES INC,Financials,5,24.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EQT,EQT Corporation,Energy,6,54.375,,3,54.09,0.00526900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INTU,Intuit,Information Technology,7,336.440002,,25,334.429993,0.00601025,,,,,,,,,,,,,,,,,,,,,,,,,45,312.98999,,,,,,,,,,,,,,,,,,,,,,
8,MLYS,MINERALYS THERAPEUTICS,Health Care,8,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,9,24.93,,,,,38,24.0,,29,23.950001,0.00208764,,,,,,,23,23.68,,47,23.17,0.02201122,,,,33,23.35,,,,,,,,,,,,,,,,,,,,,,,,,
10,HBAN,Huntington Bancshares,Financials,10,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,11,79.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,76.470001,,,,,,,
12,AJG,Arthur J. Gallagher & Co.,Financials,12,253.460007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ROAD,CONSTRUCTION PARTNERS CLASS A,Industrials,13,120.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SDRL,SEADRILL,Energy,14,46.709999,,7,46.735001,-0.00053497,7,43.314999,0.07895653,,,,,,,,,,,,,3,44.825001,,,,,,,,,,,,,,33,44.93,,,,,,,,20,43.959999,,28,42.456001,0.03542486,,,
15,MCHB,MECHANICS BANCORP CLASS A,Financials,15,17.17,,,,,,,,,,,,,,,,,,,,,,,22,16.6,,5,16.49,0.00667071,,,,,,,,,,,,,,,,,,,,,,,,
16,CRWV,"CoreWeave, Inc. - Class A Common Stock",,16,90.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CNX,CNX RESOURCES,Energy,17,36.119999,,26,35.970001,0.00417009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,34.450001,,,,,,,,,,,,,
18,DOW,Dow Inc.,Materials,18,31.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PATK,PATRICK INDUSTRIES,Consumer Discretionary,19,87.419998,,,,,11,88.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ASB,ASSOCIATED BANCORP,Financials,20,31.879999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CEG,Constellation Energy,Utilities,21,278.359985,,44,270.429993,0.02932364,,,,,,,,,,40,267.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WFRD,Weatherford International plc - Ordinary shares,,22,94.43,,46,92.900002,0.01646930,,,,23,88.959999,,12,87.529999,0.01633726,12,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GLNG,GOLAR LNG,Energy,23,50.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SRRK,SCHOLAR ROCK HOLDING,Health Care,24,52.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CMCSA,Comcast,Communication Services,25,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,26,27.27,,29,26.74,0.01982049,16,26.68,0.00224888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,T,AT&T,Communication Services,27,24.495001,,28,24.075001,0.01744548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HSY,Hershey Company (The),Consumer Staples,28,181.979996,,14,182.804993,-0.00451299,,,,39,182.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SM,SM ENERGY,Energy,29,32.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31.295,,,,
30,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,30,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DMC,DEL MONTE,Consumer Staples,31,30.695601,,,,,27,30.735001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CRSP,CRISPR THERAPEUTICS AG,Health Care,32,54.07,,35,53.509998,0.01046537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HCA,HCA Healthcare,Health Care,33,411.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LYB,LyondellBasell,Materials,34,63.970001,,36,62.639999,0.02123247,,,,,,,,,,,,,,,,12,62.110001,,,,,35,60.490002,,,,,,,,10,60.334999,,5,61.709999,-0.02228164,,,,,,,,,,,,
35,DVN,Devon Energy,Energy,35,45.400002,,2,45.369999,0.00066130,,,,,,,,,,,,,,,,46,45.130001,,,,,,,,,,,,,,40,45.041302,,45,45.299999,-0.00571075,6,44.860001,0.00980825,24,44.099998,0.01723363,,,,,,
36,BBW,BUILD A BEAR WORKSHOP,Consumer Discretionary,36,36.775002,,21,37.279999,-0.01354606,,,,,,,,,,,,,,,,,,,,,,32,35.57,,32,35.310001,0.00736332,,,,,,,,,,,,,,,,,,,,,
37,RGTI,RIGETTI COMPUTING,Information Technology,37,18.09,,41,17.65,0.02492918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,38,44.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AAOI,"Applied Optoelectronics, Inc. - Common Stock",,39,134.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,STEP,STEPSTONE GROUP CLASS A,Financials,40,49.509998,,,,,,,,,,,,,,,,,29,46.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MHO,M I HOMES INC,Consumer Discretionary,41,152.470001,,,,,39,151.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ELMT,ELMET GROUP,Industrials,42,16.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BTU,PEABODY ENERGY CORP,Energy,43,24.415001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LCII,LCI INDUSTRIES,Consumer Discretionary,44,107.459999,,,,,,,,,,,14,107.449997,,19,107.209999,0.00223858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CENX,CENTURY ALUMINUM,Materials,45,52.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NBR,NABORS INDUSTRIES,Energy,46,88.290001,,,,,,,,,,,,,,,,,,,,48,85.620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TTAN,SERVICETITAN INC CLASS A,Information Technology,47,88.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MUX,MCEWEN INC,Materials,48,19.129999,,48,19.200001,-0.00364594,,,,5,18.280001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ONIT,ONITY GROUP INC,Financials,49,39.310001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SMCI,Supermicro,Information Technology,50,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
