rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,VTRS,Viatris,Health Care,84.55,优先Call候选,17.02,60.89,1.3,0.02684760,0.03120273,0.04867529,98.2,72.09,100.0,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
2,AMN,AMN HEALTHCARE,Health Care,83.25,优先Call候选,34.950001,59.51,1.3,0.02058701,0.01717113,0.01128472,90.4,78.94,88.8,80.69,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
3,RAMP,LIVERAMP HOLDINGS INC,Information Technology,80.74,优先Call候选,37.869999,62.34,1.54,0.00691300,0.00317878,0.00504244,92.8,67.19,77.6,80.69,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
4,HCI,HCI GROUP INC,Financials,80.74,优先Call候选,188.195007,56.29,1.13,0.01297200,0.01556856,0.03171429,98.2,54.1,100.0,80.69,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
5,PFBC,PREFERRED BANK,Financials,80.13,优先Call候选,106.18,63.14,2.38,0.00511171,0.04312800,-0.01080675,87.7,71.86,81.1,80.69,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
6,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,80.09,优先Call候选,121.120003,57.61,1.97,0.00132278,0.03037005,-0.02251635,87.7,71.66,81.1,80.69,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
7,MO,Altria,Consumer Staples,79.66,优先Call候选,70.120003,58.1,1.06,0.00057220,0.03246708,0.09605323,75.1,76.32,100.0,80.44,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
8,UVSP,UNIVEST FINANCIAL CORP,Financials,79.19,优先Call候选,42.68,55.62,2.04,0.00305525,0.01041662,-0.00813384,87.7,71.67,69.9,80.69,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
9,A,Agilent Technologies,Health Care,78.98,优先Call候选,153.720001,61.55,1.21,0.02278854,0.06174887,0.03556992,90.4,57.29,100.0,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
10,QLYS,QUALYS,Information Technology,78.9,优先Call候选,183.059998,57.99,1.17,-0.00618892,0.07574778,-0.00098236,90.4,66.86,64.9,81.08,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
