buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-07-21,2026-08-03,Early,S&P 500,DVN,Devon Energy,Energy,1,27,0.01099776,44.099998,44.584999,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,F,Ford Motor Company,Consumer Discretionary,2,366,0.01191310,14.270000,14.440000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,COIN,Coinbase,Financials,3,482,-0.16690364,175.850006,146.500000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,APA,APA Corporation,Energy,4,54,0.03075200,35.770000,36.869999,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,VST,Vistra Corp.,Utilities,5,285,-0.03913235,162.270004,155.919998,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,GEV,GE Vernova,Industrials,6,309,-0.06631888,1079.030029,1007.469971,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,TMUS,T-Mobile US,Communication Services,7,340,-0.07170943,190.770004,177.089996,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,TAP,Molson Coors Beverage Company,Consumer Staples,8,80,0.02569119,40.869999,41.919998,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,ARES,Ares Management,Financials,9,284,0.14680801,120.769997,138.500000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认
2026-07-21,2026-08-03,Early,S&P 500,TDY,Teledyne Technologies,Information Technology,10,78,0.03613527,646.875000,670.250000,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
