buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-09-08,2026-09-09,Aster Call,Aster Call,LRCX,Lam Research,Information Technology,1,27,-0.01429379,320.420013,315.839996,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,TPL,Texas Pacific Land Corporation,Energy,4,48,-0.02037318,381.971985,374.190002,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,15,7,0.02223842,281.674988,287.938995,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,ANDE,ANDERSONS INC,Consumer Staples,18,2,0.00564019,70.919998,71.320000,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,SYM,Symbotic Inc. - Class A Common Stock,,28,37,-0.01570439,43.299999,42.619999,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,KGS,KODIAK GAS SERVICES INC,Energy,33,9,-0.00093599,64.099998,64.040001,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,CLB,CORE LABORATORIES,Energy,34,25,0.01040000,12.500000,12.630000,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,TXG,10X GENOMICS CLASS A,Health Care,43,28,0.02576224,65.599998,67.290001,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,GEO,GEO GROUP,Industrials,44,19,-0.01372849,32.049999,31.610001,Aster当日前50,
2026-09-08,2026-09-09,Aster Call,Aster Call,TKO,TKO Group Holdings,Communication Services,48,22,-0.02213294,195.410004,191.085007,Aster当日前50,
2026-09-04,2026-09-09,Aster Call,Aster Call,ECHO,EchoStar,Communication Services,35,18,0.01692647,89.800003,91.320000,Aster当日前50,
2026-09-02,2026-09-09,Aster Call,Aster Call,XPRO,EXPRO LTD,Energy,6,41,-0.01489708,18.459999,18.184999,Aster当日前50,
2026-09-02,2026-09-09,Aster Call,Aster Call,AGIO,AGIOS PHARMACEUTICALS,Health Care,31,3,0.01464987,34.130001,34.630001,Aster当日前50,
2026-09-02,2026-09-09,Aster Call,Aster Call,DMC,DEL MONTE,Consumer Staples,34,13,0.01572683,32.365002,32.874001,Aster当日前50,
2026-09-01,2026-09-09,Aster Call,Aster Call,XOM,ExxonMobil,Energy,8,10,-0.00182306,164.559998,164.259995,Aster当日前50,
2026-09-01,2026-09-09,Aster Call,Aster Call,MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,9,26,0.00488158,27.655001,27.790001,Aster当日前50,
2026-09-01,2026-09-09,Aster Call,Aster Call,AGIO,AGIOS PHARMACEUTICALS,Health Care,12,3,0.01227717,34.209999,34.630001,Aster当日前50,
2026-09-01,2026-09-09,Aster Call,Aster Call,CLB,CORE LABORATORIES,Energy,30,25,0.01937046,12.390000,12.630000,Aster当日前50,
2026-08-31,2026-09-09,Aster Call,Aster Call,FFIV,"F5, Inc.",Information Technology,11,5,-0.00614054,407.130005,404.630005,Aster当日前50,
2026-08-31,2026-09-09,Aster Call,Aster Call,MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,26,26,0.03520216,26.844999,27.790001,Aster当日前50,
2026-08-27,2026-09-09,Aster Call,Aster Call,FFIV,"F5, Inc.",Information Technology,14,5,-0.01362682,410.220001,404.630005,Aster当日前50,连续至少3个快照排名改善
2026-08-27,2026-09-09,Aster Call,Aster Call,IBM,IBM,Information Technology,15,4,0.00515214,238.735001,239.964996,Aster当日前50,
2026-08-26,2026-09-09,Aster Call,Aster Call,UHS,Universal Health Services,Health Care,33,6,-0.01671880,178.839996,175.850006,Aster当日前50,
2026-08-25,2026-09-09,Aster Call,Aster Call,TSLA,"Tesla, Inc.",Consumer Discretionary,48,46,0.05013561,350.250000,367.809998,Aster当日前50,
2026-08-24,2026-09-09,Aster Call,Aster Call,UHS,Universal Health Services,Health Care,39,6,-0.00289178,176.360001,175.850006,Aster当日前50,连续至少3个快照排名改善
2026-08-21,2026-09-09,Aster Call,Aster Call,IBM,IBM,Information Technology,10,4,0.01891640,235.509995,239.964996,Aster当日前50,
2026-08-21,2026-09-09,Aster Call,Aster Call,GEO,GEO GROUP,Industrials,25,19,-0.02045240,32.270000,31.610001,Aster当日前50,
2026-08-20,2026-09-09,Aster Call,Aster Call,GEO,GEO GROUP,Industrials,11,19,-0.01311264,32.029999,31.610001,Aster当日前50,
2026-08-20,2026-09-09,Aster Call,Aster Call,DMC,DEL MONTE,Consumer Staples,16,13,0.04694271,31.400000,32.874001,Aster当日前50,
2026-08-20,2026-09-09,Aster Call,Aster Call,IBM,IBM,Information Technology,26,4,0.02238928,234.710007,239.964996,Aster当日前50,
