buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-08-19,2026-09-14,Aster Research,v5 Risk Adjusted,MTCH,"Match Group, Inc. - Common Stock",,6,11,0.08362637,39.820000,43.150002,Research当日前50,
2026-08-19,2026-09-14,Aster Research,Deep v3 Daily CNN 确认层,FOXA,Fox Corporation (Class A),Communication Services,8,9,0.19224076,57.480000,68.529999,Research当日前50,
2026-08-19,2026-09-14,Aster Research,Deep v4 Shape Embedding 确认层,FOXA,Fox Corporation (Class A),Communication Services,8,18,0.19224076,57.480000,68.529999,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,FOXA,Fox Corporation (Class A),Communication Services,11,1,-0.00327246,68.754997,68.529999,Research当日前50,
2026-08-19,2026-09-14,Aster Research,共识Agent 多榜单共振,WST,West Pharmaceutical Services,Health Care,12,35,0.00150869,354.614990,355.149994,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v2 Balanced,MTCH,"Match Group, Inc. - Common Stock",,13,11,0.08362637,39.820000,43.150002,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,FANG,Diamondback Energy,Energy,14,6,-0.01607041,209.080002,205.720001,Research当日前50,
2026-08-19,2026-09-14,Aster Research,共识Agent 多榜单共振,MTCH,"Match Group, Inc. - Common Stock",,15,22,0.08362637,39.820000,43.150002,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v5 Risk Adjusted,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,21,5,0.04398455,132.660004,138.494995,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v4 Tactical Breakout,AUPH,AURINIA PHARMACEUTICALS,Health Care,23,4,0.03013183,15.930000,16.410000,Research当日前50,
2026-08-19,2026-09-14,Aster Research,共识Agent 多榜单共振,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,24,9,0.04398455,132.660004,138.494995,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,ROIV,Roivant Sciences Ltd. - Common Shares,,25,12,0.11270847,36.865002,41.020000,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v5 Risk Adjusted,TMUS,T-Mobile US,Communication Services,30,30,-0.00937015,184.630005,182.899994,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,LFST,LIFESTANCE HEALTH GROUP,Health Care,31,15,0.05312869,12.705000,13.380000,Research当日前50,
2026-08-19,2026-09-14,Aster Research,共识Agent 多榜单共振,AUPH,AURINIA PHARMACEUTICALS,Health Care,32,15,0.03013183,15.930000,16.410000,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,CLMT,CALUMET,Energy,32,17,0.14219352,49.509998,56.549999,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v2 Balanced,WST,West Pharmaceutical Services,Health Care,36,29,0.00150869,354.614990,355.149994,Research当日前50,
2026-08-19,2026-09-14,Aster Research,v2 Balanced,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,37,5,0.04398455,132.660004,138.494995,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一信号 EMA Cross,TMUS,T-Mobile US,Communication Services,40,2,-0.00937015,184.630005,182.899994,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,ELV,Elevance Health,Health Care,46,37,0.05601080,401.709900,424.209991,Research当日前50,连续至少3个快照排名改善
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,BBY,Best Buy,Consumer Discretionary,47,38,0.06342173,89.165001,94.820000,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一趋势 Trend Relay,EOG,EOG Resources,Energy,49,32,-0.00662079,149.529999,148.539993,Research当日前50,
2026-08-19,2026-09-14,Aster Research,单一信号 EMA Cross,WST,West Pharmaceutical Services,Health Care,49,17,0.00150869,354.614990,355.149994,Research当日前50,
