buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-07-17,2026-07-20,Early,S&P 500,AIG,American International Group,Financials,1,74,-0.00844720,80.500000,79.820000,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,SNA,Snap-on,Industrials,2,163,-0.01059632,410.989990,406.635010,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,MO,Altria,Consumer Staples,3,59,0.00599650,74.209999,74.654999,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,TPL,Texas Pacific Land Corporation,Energy,4,10,-0.02410397,415.700012,405.679993,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,AWK,American Water Works,Utilities,5,72,-0.01028791,135.110001,133.720001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,CF,CF Industries,Materials,6,128,0.01787183,121.419998,123.589996,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,ADSK,Autodesk,Information Technology,7,27,-0.00251891,218.350006,217.800003,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,PODD,Insulet Corporation,Health Care,8,2,0.02017553,164.059998,167.369995,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,GDDY,GoDaddy,Information Technology,9,6,0.00524645,94.349998,94.845001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,FRT,Federal Realty Investment Trust,Real Estate,10,67,-0.00353119,126.019997,125.574997,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,BRO,Brown & Brown,Financials,11,14,-0.00591198,69.349998,68.940002,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,CHD,Church & Dwight,Consumer Staples,12,110,-0.00270215,98.070000,97.805000,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,EXR,Extra Space Storage,Real Estate,13,106,-0.00593956,148.160004,147.279999,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,ADBE,Adobe Inc.,Information Technology,14,11,-0.01057954,237.250000,234.740005,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,IQV,IQVIA,Health Care,15,203,-0.01119945,206.259995,203.949997,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,TYL,Tyler Technologies,Information Technology,16,12,-0.00497636,319.510010,317.920013,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,WDAY,"Workday, Inc.",Information Technology,17,9,0.01685317,144.779999,147.220001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,JKHY,Jack Henry & Associates,Financials,18,7,0.00982400,151.669998,153.160004,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,REGN,Regeneron Pharmaceuticals,Health Care,19,15,-0.00670910,676.690002,672.150024,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,VEEV,Veeva Systems,Health Care,20,5,0.01041554,195.380005,197.414993,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,CTVA,Corteva,Materials,21,37,-0.00584195,87.300003,86.790001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,COP,ConocoPhillips,Energy,22,100,0.00832536,114.709999,115.665001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,OXY,Occidental Petroleum,Energy,23,98,0.00628875,54.860001,55.205002,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,ATO,Atmos Energy,Utilities,24,30,-0.00196978,177.679993,177.330002,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,BNY,BNY Mellon,Financials,25,40,-0.00114560,157.130005,156.949997,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,TAP,Molson Coors Beverage Company,Consumer Staples,26,70,0.01734667,40.930000,41.639999,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,VRSN,Verisign,Information Technology,27,89,-0.00018014,277.660004,277.609985,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,XYL,Xylem Inc.,Industrials,28,156,-0.01759241,122.779999,120.620003,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,FIS,Fidelity National Information Services,Financials,29,16,0.00906707,41.910000,42.290001,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,GPN,Global Payments,Financials,30,114,0.05846830,77.820000,82.370003,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,MSFT,Microsoft,Information Technology,31,78,0.02150729,393.820007,402.290009,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,STE,Steris,Health Care,32,17,-0.01519462,217.839996,214.529999,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,BMY,Bristol Myers Squibb,Health Care,33,45,-0.00938433,60.740002,60.169998,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,DG,Dollar General,Consumer Staples,34,20,-0.00779326,125.750000,124.769997,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,GILD,Gilead Sciences,Health Care,35,24,-0.00796836,134.279999,133.210007,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,MDT,Medtronic,Health Care,36,21,0.00156256,83.199997,83.330002,当日前50,
2026-07-17,2026-07-20,Early,S&P 500,VLTO,Veralto,Industrials,37,41,-0.00682230,93.809998,93.169998,当日前50,
