current_rank,ticker,name,sector,2026-07-01__predicted_rank,2026-07-01__close,2026-07-01__next_snapshot_return,2026-06-30__predicted_rank,2026-06-30__close,2026-06-30__next_snapshot_return,2026-06-29__predicted_rank,2026-06-29__close,2026-06-29__next_snapshot_return,2026-06-26__predicted_rank,2026-06-26__close,2026-06-26__next_snapshot_return,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,KLAC,KLA Corporation,Information Technology,1,262.329987,,43,301.709991,-0.1305227045000309,19,278.390015,0.08376728597827054,33,248.639999,0.11965096573218714,40,258.799988,-0.03925807369048251,40,240.479996,0.07618093939090054,3,244.490005,-0.016401525289346686,38,269.160004,-0.09165551580241471,46,259.559998,0.03698569145465935
2,LIN,Linde plc,Materials,2,534.630127,,69,518.940002,0.0302349499740433,107,511.059998,0.015418941084878401,28,519.619995,-0.01647357122968296,32,522.280029,-0.005093118350883774,37,515.72998,0.012700539534273414,70,512.26001,0.0067738451806924616,31,516.710022,-0.00861220377103511,31,515.1,0.008903637188934166
3,ORLY,O’Reilly Automotive,Consumer Discretionary,3,92.669998,,86,92.089996,0.0062982085480816075,85,90.160004,0.021406298961566206,78,89.550003,0.006811847901333934,136,86.900002,0.030494832439704744,139,87.82,-0.010475950808471746,139,87.540001,0.003198526351398945,156,85.629997,0.022305314339786886,158,85.19,-0.013933660245677548
4,PODD,Insulet Corporation,Health Care,4,159.610001,,96,152.25,0.048341550082101836,89,157.740005,-0.03480413862038356,83,158.25,-0.0032227172195893328,93,153.820007,0.02879984916396472,109,148.880005,0.03318109775721734,113,143.899994,0.03460744411149874,129,138.970001,0.03547523180920176,121,139.835,-0.046583385242295106
5,ALAB,"Astera Labs, Inc. - Common Stock",,5,439.491089,,49,483.019989,-0.09011821661898145,24,455.959991,0.0593473079527278,88,391.73999,0.16393526992227692,51,398.0,-0.015728668341708607,9,399.920013,-0.0048009925424762345,9,397.019989,0.007304478566191319,40,439.660004,-0.09698406635141643,22,429.199,0.05416356156245983
6,JBHT,J.B. Hunt,Industrials,6,290.679993,,76,289.429993,0.004318833673882638,63,287.890015,0.005349188647616021,57,280.299988,0.02707822805900384,62,274.679993,0.02046015415472935,92,269.059998,0.02088751595099625,94,269.23999,-0.0006685188184710755,95,273.480011,-0.015503952133452348,103,275.93,0.008332755665759306
7,APP,AppLovin,Information Technology,7,572.940002,,142,515.22998,0.11200827638174338,164,498.76001,0.03302183348660992,195,477.079987,0.04544316171451568,190,445.929993,0.06985400060318425,160,464.959991,-0.04092824838341835,166,467.019989,-0.004410941819451786,151,469.390015,-0.005049161516569534,164,466.3,-0.0006812203404887862
8,ADP,Automatic Data Processing,Industrials,8,235.580002,,79,223.949997,0.05193125767266715,37,224.970001,-0.0045339556183759955,92,223.550003,0.0063520374902432675,137,216.309998,0.03347050560279685,112,219.854996,-0.016146652341732737,134,220.5,-0.002925188208616758,120,214.600006,0.02749298152396129,117,215.56,-0.017444246738807734
9,PAYX,Paychex,Industrials,9,102.849998,,103,98.330002,0.04596761830636398,57,99.809998,-0.014828133750689032,46,99.900002,-0.0009009409229041587,90,96.720001,0.032878421909859235,90,96.300003,0.004361349812211257,83,97.989998,-0.017246607148619364,97,95.93,0.02147397060356493,102,97.5,-0.02351382376860378
10,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",,10,303.285004,,91,301.029999,0.00749096438059671,115,293.519989,0.02558602576126412,103,291.369995,0.007378913535691867,99,293.170013,-0.006139843504389897,78,294.06,-0.0030265422228562544,140,288.179993,0.02040391,141,286.410004,0.006179913324535935,143,284.27,0.02991840094815945
11,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,11,516.772522,,5,536.950012,-0.03757796731365015,29,527.280029,0.01833936896555577,27,512.650024,0.028537997298523354,39,513.789978,-0.0022187159127498024,34,509.76001,0.007905618175109597,19,513.429993,-0.007147971583342905,83,512.880005,0.0010723521966897742,91,515.6,0.014097884330202648
12,TSLA,"Tesla, Inc.",Consumer Discretionary,12,424.26001,,87,420.600006,0.008701863879669203,121,411.839996,0.02127042075825969,181,379.709991,0.08461722304273,176,375.119995,0.012236073952816007,176,375.529999,-0.0010918009242717464,176,381.609985,-0.015932460467458776,153,405.049988,-0.05786940796057993,122,408.115,0.01138604737661475
13,AMAT,Applied Materials,Information Technology,13,640.22998,,47,723.0,-0.11448135546334726,36,694.640015,0.04082688066854323,13,626.840027,0.10816154852855298,30,668.0,-0.06161672604790425,1,588.969971,0.13418346077273946,2,585.880005,0.005274059489365879,48,640.179993,-0.08481987658742718,35,617.109985,0.0373839486651637
14,DLTR,Dollar Tree,Consumer Staples,14,121.540001,,24,120.949997,0.004878081972999215,55,122.620003,-0.013619360293116278,30,123.870003,-0.010091224426627354,1,118.209999,0.04788092418476375,16,119.349998,-0.009551730365341182,42,113.410004,0.052376278903931706,42,113.93,-0.004564170982182092,2,115.075,0.020420940073068827
15,EXC,Exelon,Utilities,15,46.145,,33,46.619999,-0.010188738957287335,11,47.150002,-0.01124078425277697,12,47.400002,-0.0052742613808328676,18,46.75,0.013903786096256754,17,46.900002,-0.0031983367506039917,21,46.619999,0.006006070484900761,35,45.939999,0.014801915864212312,28,46.055,0.002837764618254468
16,AEP,American Electric Power,Utilities,16,135.100006,,65,136.809998,-0.012499028031562442,71,137.970001,-0.008407646528900026,65,138.690002,-0.0051914412691406175,72,137.0,0.012335781021897807,63,134.960007,0.015115537153165715,8,133.740005,0.009122191972401827,77,130.300003,0.0264006287091183,83,130.0,0.020440135947370486
17,NTNX,"Nutanix, Inc. - Class A Common Stock",,17,51.985001,,84,50.959999,0.020113854397838526,34,51.060001,-0.0019585193505968768,86,49.720001,0.02695092463895965,101,46.939999,0.05922458583776291,104,47.5,-0.011789494736842099,125,47.889999,-0.008143641848896377,94,46.610001,0.02746187454490734,154,45.975,-0.006183389928213767
18,PCAR,Paccar,Industrials,18,120.769997,,13,120.120003,0.005411205326060431,16,119.599998,0.004347867965683427,15,120.68,-0.00894930394431559,16,121.68,-0.008218277449046685,10,117.029999,0.03973341057620616,16,116.779999,0.0021407775487307656,4,120.120003,-0.02780556041111648,9,118.949997,0.009836116263205907
19,BIIB,Biogen,Health Care,19,210.759995,,77,216.059998,-0.024530237198280513,70,216.630005,-0.002631246765654627,62,216.029999,0.002777419815661819,5,201.960007,0.06966721881723847,59,199.589996,0.011874397752881238,106,197.190002,0.012170972035387528,2,199.710007,-0.01261832112398853,63,199.03,0.015922296104158074
