current_rank,ticker,name,sector,2026-06-30__predicted_rank,2026-06-30__close,2026-06-30__next_snapshot_return,2026-06-29__predicted_rank,2026-06-29__close,2026-06-29__next_snapshot_return,2026-06-26__predicted_rank,2026-06-26__close,2026-06-26__next_snapshot_return,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,DAKT,DAKTRONICS INC,Information Technology,1,20.74,,1288,20.190001,0.027241157640358615,1453,19.530001,0.03379416109604905,1443,19.459999,0.003597225261933401,894,19.35,0.0056847028423772095,230,20.110001,-0.037792191059562774,143,20.889999,-0.037338345492500924,94,20.81,0.006261994219653122
2,SGP,SPYGLASS PHARMA INC SHS,Health Care,2,21.85,,738,21.65,0.009237875288683695,,,,,,,,,,,,,,,,,,
3,ADEA,ADEIA INC,Information Technology,3,33.772701,,742,33.0,0.023415181818181807,1303,30.82,0.07491853176161123,1252,30.389999,0.014149424618276507,1176,30.059999,0.010978044277379917,1184,30.389999,-0.010858835500455188,226,31.809999,-0.04464005170198215,239,31.853,0.0
4,SI,SHOULDER INNOVATIONS INC,Health Care,4,20.469999,,359,20.98,-0.02939786628733987,519,22.76,-0.07942083898987107,497,21.610001,0.05321605491827608,543,19.77,0.09307035912999506,644,19.290001,0.02488330612320855,187,17.77,0.08553747889701757,903,17.98,-0.04204846587862354
5,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,Communication,5,1.455,,10,1.5,-0.042763157894736836,310,1.655,-0.09638554216867468,97,1.6,0.034375000000000044,201,1.61,-0.006211180124223614,1,1.35,0.19259259259259265,3,1.25,0.08000000000000007,207,1.275,0.0869565217391306
6,VRTS,VIRTUS INVESTMENT PARTNERS INC,Financials,6,144.610001,,1340,143.690002,0.0036785049461618424,1289,146.929993,-0.026358584816932096,1549,135.690002,0.08283580834496562,1578,138.610001,-0.02106629376620539,1525,141.910004,-0.023254195666148947,1505,140.570007,0.009532595385016718,1230,140.19,-0.0072740039290676295
7,AVBC,AVIDIA BANCORP INC,Financials,7,21.299999,,293,21.209999,0.007092151300236438,,,,,,,,,,,,,,,,,,
8,ALTO,ALTO INGREDIENTS INC,Materials,8,5.59,,1422,5.35,0.04485981308411224,,,,,,,,,,,,,,,,,,
9,GYRE,GYRE THERAPEUTICS INC,Health Care,9,6.645,,1229,6.45,0.03023255813953485,1184,6.29,0.025437201907790197,1175,6.23,0.009630818619582593,1152,6.48,-0.038580246913580196,1314,6.13,0.057096247960848334,1211,6.13,0.0,1402,6.25,-0.019199999999999995
10,TLSI,TRISALUS LF SC CM A,Health Care,10,4.66,,93,4.74,-0.016877637130801704,155,4.73,0.0021141649048626032,6,4.37,0.08237986270022901,48,4.16,0.05048076923076916,151,4.03,0.032258064516129004,62,4.2,-0.04047619047619044,39,4.08,0.02941176470588247
11,CLPT,CLEARPOINT NEURO INC,Health Care,11,17.9979,,500,19.43,-0.07370560988162622,311,18.48,0.051406926406926345,224,17.959999,0.028953286690049485,394,17.98,-0.0011124026696329725,476,18.530001,-0.029681649774330743,327,17.059999,0.08616659356193379,325,17.77,-0.03995503657850297
12,TATT,TAT TECHNOLOGIES LTD,Industrials,12,48.205002,,914,45.490002,0.05968344428738437,,,,,,,,,,,,,,,,,,
13,DSGN,DESIGN THERAPEUTICS INC,Health Care,13,13.98,,411,14.24,-0.018258426966292096,97,13.35,0.06666666666666665,264,13.44,-0.006696428571428603,685,13.78,-0.02467343976777936,629,13.74,0.0029112081513826826,351,13.7,0.0029197080291971655,771,13.555,0.1012861736334405
14,WHG,WESTWOOD HOLDINGS GROUP INC,Financials,14,20.01,,382,20.18,-0.006947890818858382,489,19.940001,0.013052208835341306,96,18.290001,0.09021322634154028,146,18.07,0.012174930824571106,68,18.540001,-0.025350645881842215,82,18.18,0.01980203520352042,842,18.25,-0.02152852529601712
15,FGBI,FIRST GUARANTY BANCSHARES INC,Financials,15,10.74,,6,10.67,0.006560449859418949,,,,,,,,,,,,,,,,,,
16,VHI,VALHI INC,Materials,16,14.84,,25,14.675,0.0,1246,14.65,-0.005084745762711784,1360,13.26,0.10482654600301666,1386,13.47,-0.015590200445434355,1461,13.4,0.0052238805970148405,1472,13.18,0.01669195751138086,1371,13.29,-0.025868440502586854
17,TAYD,TAYLOR DEVICES INC,Industrials,17,59.060001,,57,57.060001,0.03505082308007679,,,,,,,,,,,,,,,,,,
18,PAY,PAYMENTUS HOLDINGS INC CLASS A,Financials,18,24.5,,1002,23.969999,0.020408163265306145,,,,,,,,,,,,,,,,,,
19,AIRJ,AIRJOULE TECHNOLOGIES CORP CLASS A,Industrials,19,5.445,,1613,4.6,0.18369565217391326,1526,4.56,0.00877192982456143,1251,4.725,-0.03492063492063491,901,4.96,-0.04737903225806461,616,5.03,-0.013916500994035852,573,4.88,0.03073770491803285,613,4.925,0.006185567010309256
20,LCTX,LINEAGE CELL THERAPEUTICS INC,Health Care,20,1.365,,1069,1.35,0.011111111111111072,,,,,,,,,,,,,,,,,,
21,BHVN,BIOHAVEN LTD,Health Care,21,14.72,,237,14.99,-0.01538461538461533,509,15.82,-0.05306380290587487,474,15.34,0.0312907431551499,487,14.96,0.025401069518716568,473,14.78,0.012178619756427755,568,15.5,-0.04645161290322586,901,15.515,0.14222549742078106
22,NEXN,NEXXEN INTERNATIONAL LTD,Communication,22,9.145,,811,9.09,0.006050605060506031,666,8.66,0.049653579676674386,1149,8.49,0.020023557126030544,1182,8.56,-0.008177570093457986,839,8.64,-0.0092592592592593,1091,8.47,0.02007083825265643,636,8.415,-0.015116279069767313
23,OFRM,ONCE UPON A FARM PBC,Consumer Staples,23,20.308001,,17,20.450001,-0.008398388671874923,,,,,,,,,,,,,,,,,,
24,CTEV,CLARITEV CORP CLASS A,Health Care,24,33.985001,,20,33.84,0.004878799526907063,17,33.139999,0.020814418050412176,26,34.720001,-0.04550696873539839,245,30.49,0.13873404394883582,577,30.059999,0.014304757628235354,992,28.440001,0.05696195299008622,827,29.64,-0.03331063902107423
25,RCMT,RCM TECHNOLOGIES INC,Industrials,25,28.450001,,29,28.190001,0.009223128441889772,26,28.25,-0.0021238584070797373,35,27.469999,0.028394649741341427,553,28.15,-0.02415634103019526,108,27.790001,0.012954263657637188,113,27.389999,0.014603943578092249,122,26.63,0.038286582194335894
26,XPOF,XPONENTIAL FITNESS INC CLASS A,Consumer Discretionary,26,7.08,,51,7.14,-0.009790209790209836,104,7.035,0.012765957446808418,60,6.99,0.006437768240343367,584,7.03,-0.005689900426742556,19,6.82,0.030791788856304958,23,6.61,0.03177004538577921,678,6.4786,-0.03221083455344065
27,ALNT,ALLIENT INC,Industrials,27,100.160004,,24,99.790001,0.0037078163773140993,55,97.629997,0.02212438867533706,340,102.260002,-0.04527679356000791,199,97.970001,0.04378892473421536,174,96.029999,0.020202041239217206,425,98.779999,-0.027839643934396086,149,95.849998,0.030568607836590767
28,AVNW,AVIAT NETWORKS INC,Information Technology,28,21.969999,,69,20.73,0.05981664254703323,122,20.469999,0.012701563883808609,191,20.370001,0.004909081742313193,189,20.719999,-0.016891796182036622,62,20.66,0.002904114230396937,51,20.200001,0.02277222659543421,35,20.040001,0.00798403153772309
29,NUAI,NEW ERA ENERGY AND DIGITAL INC,Energy,29,6.755,,100,6.14,0.10016286644951133,,,,,,,,,,,,,,,,,,
30,NUVB,NUVATION BIO INC CLASS A,Health Care,30,5.81,,640,5.6,0.035650623885917776,662,5.605,-0.008849557522124019,95,5.81,-0.03528399311531827,697,6.46,-0.10061919504643968,832,6.04,0.06953642384105962,667,5.76,0.04861111111111116,492,5.8601,0.03597122302158273
31,HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,31,25.895,,764,26.25,-0.01539920210643353,160,25.84,0.015081167243574445,308,24.33,0.062063296341964724,818,25.540001,-0.047376701355649975,118,24.950001,0.023647293641390954,1149,23.790001,0.04875998113661284,1168,23.68,0.02234641168886986
32,KALU,KAISER ALUMINIUM CORP,Materials,32,194.190002,,999,187.160004,0.03756143326434214,829,187.169998,-5.3395309647874534e-05,939,181.729996,0.029934529905563778,1248,174.869995,0.03922914848828141,1171,179.110001,-0.02367263679486009,761,185.029999,-0.031994801016023366,633,182.05,0.012476054719562368
33,CAMP,CAMP4 THERAPEUTICS CORP,Health Care,33,4.36,,1155,4.44,-0.018018018018018056,,,,,,,,,,,,,,,,,,
34,RELL,RICHARDSON ELECTRONICS LTD,Information Technology,34,19.0,,1023,18.35,0.03542234332425065,1337,17.629999,0.040839537200200615,1017,18.059999,-0.023809525127880704,1362,17.605,0.025553547668736742,653,17.82,-0.012065095398428705,363,18.309999,-0.026761279451735676,71,18.4575,-0.015591451612903207
