rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,ALAB,2026-07-02,2026-07-02,2026-09-08,296.769989,-0.2697948439856971,100.0,TRIM,True,44,硬止损: 持仓相对成本约 -27.0%，超过 -7% 防线; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: RSI 48.3 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -38.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.38559480816848757,-0.0007071923773347422,-0.06449585881078568,48.29267749796803,exit-risk-trends.html#ticker-alab
2,AMAT,2026-07-02,2026-07-02,2026-09-08,470.540009,-0.21972004151273705,100.0,TRIM,True,31,硬止损: 持仓相对成本约 -22.0%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -9.9%; 动能转弱: RSI 44.7 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -34.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.34918394329183955,0.026505799870008007,-0.09878952442723443,44.71897923777522,exit-risk-trends.html#ticker-amat
3,BAX,2026-07-06,2026-07-06,2026-09-08,24.795,0.09809565987599655,100.0,WATCH,True,2,利润保护: 盈利持仓从阶段高位回撤 -12.5%; 利润保护: 收盘 $24.80 跌破 3ATR 动态保护线 $25.74; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位: 收盘新跌破 EMA26; 新鲜破位: EMA9 新下穿 EMA26; 动能转弱: 5日跌幅 -4.6%; 动能转弱: 20日跌幅 -10.7%; 动能转弱: RSI 42.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -12.5%,-0.1253968253968254,-0.046346153846153815,-0.1074514360168668,42.02104735407315,exit-risk-trends.html#ticker-bax
4,BRO,2026-06-26,2026-06-30,2026-09-08,68.190002,0.06297739476298081,100.0,WATCH,True,1,利润保护: 收盘 $68.19 跌破 3ATR 动态保护线 $68.90; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.5%; 动能转弱: RSI 40.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50,-0.08922132673081351,-0.05514751434522691,-0.04762564378842571,40.266267217452494,exit-risk-trends.html#ticker-bro
5,DASH,2026-07-06,2026-07-06,2026-09-08,201.729996,0.07041275871331165,100.0,WATCH,True,1,利润保护: 收盘 $201.73 跌破 3ATR 动态保护线 $211.87; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -12.9%; 动能转弱: RSI 38.7 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: 63日高点回撤 -14.9%,-0.14856707905275635,-0.12949861203291158,-0.03874013609673055,38.73933915053203,exit-risk-trends.html#ticker-dash
6,IR,2026-06-26,2026-06-30,2026-09-08,75.610001,-0.07781433291411965,100.0,TRIM,True,15,硬止损: 持仓相对成本约 -7.8%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -12.7%; 动能转弱: RSI 36.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -16.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.15988887777777783,-0.018689188110739052,-0.1272076230130772,35.97261828624637,exit-risk-trends.html#ticker-ir
7,ISRG,2026-07-02,2026-07-02,2026-09-08,351.385986,-0.17516964918265654,100.0,TRIM,True,11,硬止损: 持仓相对成本约 -17.5%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -6.8%; 动能转弱: 20日跌幅 -10.7%; 动能转弱: RSI 35.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -18.8%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.18816626261155978,-0.06759539355179878,-0.10675178826132758,35.59858079660408,exit-risk-trends.html#ticker-isrg
8,PYPL,2026-07-06,2026-07-06,2026-09-08,53.224998,0.18041689953426476,100.0,WATCH,True,5,利润保护: 曾有较大盈利但63日高点回撤 -14.6%; 利润保护: 收盘 $53.22 跌破 3ATR 动态保护线 $56.24; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -9.9%; 动能转弱: RSI 39.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -14.6%,-0.1456661500106926,0.010633190721861085,-0.09895043169121387,39.60622736996098,exit-risk-trends.html#ticker-pypl
9,RCL,2026-06-26,2026-06-30,2026-09-08,266.549988,-0.16055179403694697,100.0,TRIM,True,16,硬止损: 持仓相对成本约 -16.1%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -13.5%; 动能转弱: RSI 27.7 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -18.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.18590807703620726,-0.008149148178505206,-0.13457796103896114,27.663893175277693,exit-risk-trends.html#ticker-rcl
10,ZS,2026-07-02,2026-07-02,2026-09-08,162.669998,0.10411997415163254,100.0,WATCH,True,3,利润保护: 盈利持仓从阶段高位回撤 -13.7%; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -13.7%; 动能转弱: RSI 44.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: 63日高点回撤 -13.7%,-0.1365023631526492,-0.1365023631526492,-0.07929587703798469,44.011849110150706,exit-risk-trends.html#ticker-zs
