ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
GH,"Guardant Health, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,167.460007,0.0,0.0,0.0,0.0,0.0,1.0,25.853005799684436,0.2112180517405755,4.712852808406455,,50.79,35.0,30.0,65,82.71,50,0,0,0,constructive momentum,No major Prism warning from provided data
NTRA,"Natera, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,283.179993,0.0,0.0,0.0,0.0,0.0,1.0,27.501119022932397,-0.18037327972725337,4.70044203602033,,50.56,35.0,30.0,65,81.56,50,0,0,0,constructive momentum,No major Prism warning from provided data
PODD,Insulet Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,159.699997,0.0,0.0,0.0,0.0,0.0,1.0,9.07724379271242,-0.23532585800938832,4.106583895015889,,50.55,35.0,44.0,70,59.01,50,0,0,0,macro resilience,No major Prism warning from provided data
AXON,Axon Enterprise,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,Aerospace & Defense,0.0,643.525024,0.0,0.0,0.0,0.0,0.0,1.0,25.394584753049454,0.052577459574648655,5.463380817073822,,50.43,35.0,30.0,65,80.89,50,0,0,0,constructive momentum,No major Prism warning from provided data
KMB,Kimberly-Clark,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,Household Products,0.0,115.279999,0.0,0.0,0.0,0.0,0.0,1.0,22.028154736655516,-0.18752781169796728,2.418955235616001,,50.24,35.0,30.0,70,74.93,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AMAT,Applied Materials,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductor Materials & Equipment,0.0,544.599976,0.0,0.0,0.0,0.0,0.0,1.0,8.550919468584727,0.37392299483582003,10.030952753055997,,50.2,47.0,44.0,65,47.25,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
MDLN,Medline Inc. - Class A common stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,42.950001,0.0,0.0,0.0,0.0,0.0,1.0,24.673439051569268,-0.0004135317817633988,3.5290197082882515,,50.17,35.0,30.0,65,79.6,50,0,0,0,constructive momentum,No major Prism warning from provided data
ROP,Roper Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Equipment & Instruments,0.0,371.369995,0.0,0.0,0.0,0.0,0.0,1.0,11.925861492195121,-0.29746909754531015,2.825829976613256,,50.14,35.0,44.0,65,61.93,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
PANW,Palo Alto Networks,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Systems Software,0.0,346.975006,0.0,0.0,0.0,0.0,0.0,1.0,24.25246410026858,-0.09666322288928064,4.219376683287669,,49.92,35.0,30.0,65,78.33,50,0,0,0,constructive momentum,No major Prism warning from provided data
VRTX,Vertex Pharmaceuticals,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Biotechnology,0.0,523.945007,0.0,0.0,0.0,0.0,0.0,1.0,18.609367243386778,0.035458685354916586,2.915244227421097,,49.77,35.0,30.0,70,72.61,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
ASND,Ascendis Pharma A/S - Ordinary Share,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,273.799988,0.0,0.0,0.0,0.0,0.0,1.0,25.114235516619175,-0.37670009648167324,3.9141191322059927,,49.67,35.0,30.0,65,77.12,50,0,0,0,constructive momentum,No major Prism warning from provided data
TXN,Texas Instruments,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,292.100006,0.0,0.0,0.0,0.0,0.0,1.0,-4.345544492673559,-0.1311718942163499,5.64801749047942,,49.5,47.0,44.0,65,43.74,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
COO,Cooper Companies (The),NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Supplies,0.0,72.669998,0.0,0.0,0.0,0.0,0.0,1.0,17.171876813930997,0.06014714053994874,2.6958561948180337,,49.47,35.0,30.0,70,71.09,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,84.809998,0.0,0.0,0.0,0.0,0.0,1.0,23.449784139000762,-0.37579435248589266,4.630931434691058,,49.28,35.0,30.0,65,75.13,50,0,0,0,constructive momentum,No major Prism warning from provided data
AVGO,Broadcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,369.329987,0.0,0.0,0.0,0.0,0.0,1.0,-11.835481732730358,-0.14647061405837414,4.428869421085716,,49.28,47.0,44.0,65,34.63,66.0,1,1,1,positive market/social signals,1 extracted risk note(s); weak or volatile technical setup
UAL,United Airlines Holdings,NASDAQ200+SPX,Industrials,Passenger Airlines,0.0,129.149994,0.0,0.0,0.0,0.0,0.0,1.0,23.070317837424838,-0.34870169141734453,3.835518291125236,,49.23,35.0,30.0,65,74.89,50,0,0,0,constructive momentum,No major Prism warning from provided data
ISRG,Intuitive Surgical,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,426.36499,0.0,0.0,0.0,0.0,0.0,1.0,1.8014858110634524,-0.0015324195984744993,3.072483758910073,,49.18,35.0,44.0,70,52.15,50,0,0,0,macro resilience,No major Prism warning from provided data
DASH,DoorDash,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,Specialized Consumer Services,0.0,194.740005,0.0,0.0,0.0,0.0,0.0,1.0,21.659271870963302,-0.18780664925000012,4.232748904659538,,49.15,35.0,30.0,65,74.49,50,0,0,0,constructive momentum,No major Prism warning from provided data
ROIV,Roivant Sciences Ltd. - Common Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,35.953899,0.0,0.0,0.0,0.0,0.0,1.0,21.753802175624728,-0.21118824992241692,3.4131803857251453,,49.13,35.0,30.0,65,74.42,50,0,0,0,constructive momentum,No major Prism warning from provided data
ZBRA,Zebra Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Equipment & Instruments,0.0,263.839996,0.0,0.0,0.0,0.0,0.0,1.0,7.4792244986023215,-0.31135898899423775,3.903473755358908,,49.05,35.0,44.0,65,56.48,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
OKTA,"Okta, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,150.050003,0.0,0.0,0.0,0.0,0.0,1.0,21.517654158139287,-0.3149343870931257,4.5818059730395335,,48.91,35.0,30.0,65,73.3,50,0,0,0,constructive momentum,No major Prism warning from provided data
GEHC,GE HealthCare,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,64.995003,0.0,0.0,0.0,0.0,0.0,1.0,1.8570787986666781,-0.18508210902465072,2.9214318434383535,,48.9,35.0,44.0,70,50.75,50,0,0,0,macro resilience,No major Prism warning from provided data
RVMD,"Revolution Medicines, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,189.130005,0.0,0.0,0.0,0.0,0.0,1.0,21.47858087894432,-0.3181135571249907,3.8805132631236536,,48.9,35.0,30.0,65,73.23,50,0,0,0,constructive momentum,No major Prism warning from provided data
