early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,DNTH,DIANTHUS THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,71.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.48,53.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,ONC,BeOne Medicines Ltd. - American Depositary Shares,NASDAQ+NASDAQ500,,69.0,82.0,early_transition,61.8,bullish_above_signal_proxy,72.15,48.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,ZS,"Zscaler, Inc. - Common Stock",NASDAQ+NASDAQ500,,68.85,82.0,early_transition,61.8,bullish_above_signal_proxy,71.72,48.59,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,VERA,VERA THERAPEUTICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.76,51.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,JKHY,Jack Henry & Associates,NASDAQ+NASDAQ500+SPX,Financials,68.0,82.0,early_transition,61.8,bullish_above_signal_proxy,69.13,48.08,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,ABVX,Abivax SA - American Depositary Shares,NASDAQ+NASDAQ500,,67.94,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.03,49.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,BLLN,"BillionToOne, Inc. - Class A common stock",NASDAQ+NASDAQ500,,67.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.94,49.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,XP,XP Inc. - Class A Common Stock,NASDAQ+NASDAQ500,,67.86,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,61.44,46.54,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
9,TRI,Thomson Reuters Corp - Common Shares,NASDAQ+NASDAQ200+NASDAQ500,,67.6,82.0,early_transition,61.8,bullish_above_signal_proxy,67.91,47.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,ACHC,ACADIA HEALTHCARE COMPANY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.39,50.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,ASND,Ascendis Pharma A/S - Ordinary Share,NASDAQ+NASDAQ200+NASDAQ500,,67.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.99,49.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,PRAX,PRAXIS PRECISION MEDICINES INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.24,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,CHYM,"Chime Financial, Inc. - Class A Common Stock",NASDAQ+NASDAQ500,,67.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.34,49.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,PYPL,PayPal,NASDAQ+NASDAQ200+NASDAQ500+SPX,Financials,66.67,82.0,early_transition,61.8,bullish_above_signal_proxy,65.08,47.27,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,INSM,Insmed Incorporated - Common Stock,NASDAQ+NASDAQ500,,66.25,82.0,early_transition,61.8,bullish_above_signal_proxy,63.83,47.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,SLS,SELLAS LIFE SCIENCES GROUP INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,66.14,72.0,confirmed_bullish_trend,25.0,bearish_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
17,EXPE,Expedia Group,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,66.04,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.27,48.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,GMAB,Genmab A/S - American Depositary Shares,NASDAQ+NASDAQ500,,66.02,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,72.21,48.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
