early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MDT,Medtronic,SPX,Health Care,69.94,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,52.52,49.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,CLX,Clorox,SPX,Consumer Staples,69.5,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,52.78,45.81,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,JBHT,J.B. Hunt,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,69.35,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.13,46.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,UBER,Uber,SPX,Industrials,69.25,85.0,early_transition,88.8,fresh_above_zero_cross_proxy,49.73,44.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
5,TROW,T. Rowe Price,NASDAQ+NASDAQ500+SPX,Financials,68.95,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.66,46.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,WFC,Wells Fargo,SPX,Financials,68.75,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.04,46.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,SOLV,Solventum,SPX,Health Care,67.62,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,53.45,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
8,KO,Coca-Cola Company (The),SPX,Consumer Staples,67.06,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.46,46.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,EQR,Equity Residential,SPX,Real Estate,67.05,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.89,45.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
10,PM,Philip Morris International,SPX,Consumer Staples,66.89,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,53.96,46.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
11,A,Agilent Technologies,SPX,Health Care,66.61,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,53.11,45.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
12,PODD,Insulet Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,66.44,82.0,early_transition,61.8,bullish_above_signal_proxy,62.34,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,REG,Regency Centers,NASDAQ+NASDAQ500+SPX,Real Estate,66.41,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.94,44.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
14,TPL,Texas Pacific Land Corporation,SPX,Energy,66.33,82.0,early_transition,61.8,bullish_above_signal_proxy,64.06,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,UHS,Universal Health Services,SPX,Health Care,65.8,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.74,46.2,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
16,CRM,Salesforce,SPX,Information Technology,65.44,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.11,45.07,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
17,TYL,Tyler Technologies,SPX,Information Technology,65.38,85.0,early_transition,61.8,bullish_above_signal_proxy,58.46,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,CF,CF Industries,SPX,Materials,65.16,82.0,early_transition,61.8,bullish_above_signal_proxy,60.53,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,GILD,Gilead Sciences,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,64.99,82.0,early_transition,61.8,bullish_above_signal_proxy,59.56,47.16,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,XOM,ExxonMobil,SPX,Energy,64.97,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,52.67,44.78,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
21,REGN,Regeneron Pharmaceuticals,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,64.84,82.0,early_transition,61.8,bullish_above_signal_proxy,59.09,47.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,STE,Steris,SPX,Health Care,64.75,82.0,early_transition,61.8,bullish_above_signal_proxy,57.24,50.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,KKR,KKR & Co.,SPX,Financials,64.41,85.0,early_transition,63.15,bullish_above_signal_proxy,54.51,45.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,EFX,Equifax,SPX,Industrials,64.17,82.0,early_transition,61.8,bullish_above_signal_proxy,57.51,45.75,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,META,Meta Platforms,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,64.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.13,47.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,CVX,Chevron Corporation,SPX,Energy,63.99,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.71,44.19,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
27,OTIS,Otis Worldwide,SPX,Industrials,63.96,85.0,early_transition,61.8,bullish_above_signal_proxy,54.17,45.08,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,ABT,Abbott Laboratories,SPX,Health Care,63.8,85.0,early_transition,86.55,fresh_above_zero_cross_proxy,64.77,51.7,10.53,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
29,CTVA,Corteva,SPX,Materials,63.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.48,47.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,ICE,Intercontinental Exchange,SPX,Financials,63.76,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.02,44.05,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
31,ADBE,Adobe Inc.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,63.59,82.0,early_transition,49.8,bullish_below_zero_proxy,64.85,47.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
32,VRSN,Verisign,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,63.59,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,48.51,43.95,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
33,FANG,Diamondback Energy,NASDAQ+NASDAQ200+NASDAQ500+SPX,Energy,63.35,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,47.76,43.8,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
34,ATO,Atmos Energy,SPX,Utilities,62.94,82.0,early_transition,61.8,bullish_above_signal_proxy,53.34,45.92,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,NEE,NextEra Energy,SPX,Utilities,62.72,82.0,early_transition,61.8,bullish_above_signal_proxy,52.68,45.79,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,WDAY,"Workday, Inc.",NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,62.62,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.92,46.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,FDS,FactSet,SPX,Financials,62.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.77,46.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,ROST,Ross Stores,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,62.55,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,45.35,43.32,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
39,MKC,McCormick & Company,SPX,Consumer Staples,62.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.06,47.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,DECK,Deckers Brands,SPX,Consumer Discretionary,62.41,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,44.9,43.23,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
41,XYZ,"Block, Inc.",SPX,Financials,62.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.94,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
