ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
GEV,GE Vernova,SPX,Industrials,Heavy Electrical Equipment,0.0,1084.27002,0.0,0.0,0.0,0.0,0.0,1.0,17.836221455122182,-0.09531123578254208,5.763678649240637,,54.38,45.0,44.0,65,70.64,50,0,0,0,constructive momentum,No major Prism warning from provided data
MRNA,Moderna,NASDAQ+NASDAQ500+SPX,Health Care,Biotechnology,0.0,68.470001,0.0,0.0,0.0,0.0,0.0,1.0,43.452757175780434,0.05444517505623048,8.8265982770636,,54.17,35.0,30.0,70,94.58,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AMAT,Applied Materials,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductor Materials & Equipment,0.0,600.960022,0.0,0.0,0.0,0.0,0.0,1.0,20.38221045940565,-0.02101714140205846,8.909077720409735,,54.01,47.0,44.0,65,66.29,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
VRT,Vertiv,SPX,Industrials,Electrical Components & Equipment,0.0,321.565002,0.0,0.0,0.0,0.0,0.0,1.0,11.068324888614157,-0.3047988406182983,7.350491945460084,,53.22,45.0,44.0,65,52.84,74.0,1,1,1,positive market/social signals,1 extracted risk note(s)
ANET,Arista Networks,SPX,Information Technology,Communications Equipment,0.0,186.005005,0.0,0.0,0.0,0.0,0.0,1.0,22.243033721266215,-0.15226880802448806,5.793275946679882,,52.84,35.0,44.0,65,75.47,50,0,0,0,constructive momentum,No major Prism warning from provided data
AVGO,Broadcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,401.619995,0.0,0.0,0.0,0.0,0.0,1.0,2.4122783821677096,-0.13851187144136956,3.884623590871904,,52.71,47.0,44.0,65,51.79,66.0,1,1,1,positive market/social signals,1 extracted risk note(s)
TECH,Bio-Techne,NASDAQ+NASDAQ500+SPX,Health Care,Life Sciences Tools & Services,0.0,71.190002,0.0,0.0,0.0,0.0,0.0,1.0,30.839922808307318,0.005826967550498052,2.5143985206558304,,52.66,35.0,30.0,70,87.05,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AMD,Advanced Micro Devices,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,551.065125,0.0,0.0,0.0,0.0,0.0,1.0,15.889279596869033,-0.3469160366249703,6.866702123974392,,52.41,47.0,44.0,65,58.29,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
TXN,Texas Instruments,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,311.579987,0.0,0.0,0.0,0.0,0.0,1.0,7.951350033756888,-0.3474431015952162,5.15976156985058,,52.1,47.0,44.0,65,56.76,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
BAX,Baxter International,SPX,Health Care,Health Care Equipment,0.0,22.610001,0.0,0.0,0.0,0.0,0.0,1.0,12.880678338458406,-0.3604886424135222,3.246983807867019,,51.26,35.0,44.0,70,62.57,50,0,0,0,macro resilience,No major Prism warning from provided data
GPC,Genuine Parts Company,SPX,Consumer Discretionary,Distributors,0.0,127.559998,0.0,0.0,0.0,0.0,0.0,1.0,28.317063542216523,0.10284189363362484,3.736057040165745,,51.21,35.0,30.0,65,84.8,50,0,0,0,constructive momentum,No major Prism warning from provided data
