current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return
1,COP,ConocoPhillips,Energy,1,115.665001,
2,MUR,MURPHY OIL CORP,Energy,2,36.825001,
3,FIVE,"Five Below, Inc. - Common Stock",,3,204.139999,
4,CLW,CLEARWATER PAPER CORP,Materials,4,16.424999,
5,AIR,AAR CORP,Industrials,5,135.850006,
6,GCO,GENESCO INC,Consumer Discretionary,6,37.150002,
7,ULTA,Ulta Beauty,Consumer Discretionary,7,488.079987,
8,FOXA,Fox Corporation (Class A),Communication Services,8,57.48,
9,FOX,Fox Corporation (Class B),Communication Services,9,51.549999,
10,NOG,NORTHERN OIL AND GAS INC,Energy,10,21.200001,
11,AKAM,Akamai Technologies,Information Technology,11,123.129997,
12,FISV,Fiserv,Financials,12,51.68,
13,TRMB,Trimble Inc.,Information Technology,13,53.209999,
14,BG,Bunge Global,Consumer Staples,14,120.650002,
15,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,15,127.860001,
16,GENI,GENIUS SPORTS LTD,Consumer Discretionary,16,6.755,
17,MAT,"Mattel, Inc. - Common Stock",,17,14.14,
18,LH,Labcorp,Health Care,18,281.531006,
19,CTVA,Corteva,Materials,19,86.790001,
20,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,20,20.0,
21,ROP,Roper Technologies,Information Technology,21,362.839996,
22,MSFT,Microsoft,Information Technology,22,402.290009,
23,TYL,Tyler Technologies,Information Technology,23,317.920013,
24,EG,Everest Group,Financials,24,379.089996,
25,PRGO,PERRIGO PLC,Health Care,25,10.58,
26,HIG,Hartford (The),Financials,26,140.5,
27,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,27,50.439999,
28,TRST,TRUSTCO BANK CORP,Financials,28,55.439999,
29,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,29,21.23,
30,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,30,69.510002,
31,SPOK,SPOK HOLDINGS INC,Communication,31,10.65,
32,SDRL,SEADRILL LTD,Energy,32,42.456001,
33,MDT,Medtronic,Health Care,33,83.330002,
34,CMCSA,Comcast,Communication Services,34,23.780001,
35,SAM,BOSTON BEER INC CLASS A,Consumer Staples,35,180.669998,
36,DPZ,Domino's,Consumer Discretionary,36,328.970001,
37,ARDT,ARDENT HEALTH INC,Health Care,37,10.46,
38,GPN,Global Payments,Financials,38,82.370003,
39,ORKA,ORUKA THERAPEUTICS INC,Health Care,39,91.709999,
40,OXY,Occidental Petroleum,Energy,40,55.205002,
41,EL,Estée Lauder Companies (The),Consumer Staples,41,83.639999,
42,EIG,EMPLOYERS HOLDINGS INC,Financials,42,50.32,
43,PODD,Insulet Corporation,Health Care,43,167.369995,
44,PNRG,PRIMEENERGY RESOURCES CORP,Energy,44,187.240005,
45,SJM,J.M. Smucker Company (The),Consumer Staples,45,112.519997,
46,AORT,ARTIVION INC,Health Care,46,25.35,
47,PLUS,EPLUS,Information Technology,47,90.400002,
48,Z,"Zillow Group, Inc. - Class C Capital Stock",,48,33.029999,
49,KMI,Kinder Morgan,Energy,49,32.595001,
50,TXNM,TXNM ENERGY INC,Utilities,50,57.82,
