current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AKAM,Akamai Technologies,Information Technology,1,125.389999,,36,123.129997,0.01835460,,,
2,HON,Honeywell Technologies,Industrials,2,230.509995,,,,,,,
3,LNTH,LANTHEUS HOLDINGS INC,Health Care,3,107.07,,,,,,,
4,CLSK,CLEANSPARK INC,Information Technology,4,15.295,,,,,,,
5,VST,Vistra Corp.,Utilities,5,163.375,,,,,,,
6,PH,Parker Hannifin,Industrials,6,962.13501,,,,,,,
7,TDY,Teledyne Technologies,Information Technology,7,656.869995,,,,,,,
8,GEV,GE Vernova,Industrials,8,1086.61499,,,,,,,
9,ARE,Alexandria Real Estate Equities,Real Estate,9,50.435001,,,,,,,
10,DD,DuPont,Materials,10,138.740005,,,,,,,
11,GM,General Motors,Consumer Discretionary,11,79.535004,,,,,,,
12,ESLT,Elbit Systems Ltd. - Ordinary Shares,,12,778.52002,,,,,,,
13,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,13,31.475,,,,,,,
14,AVT,"Avnet, Inc. - Common Stock",,14,89.260002,,,,,,,
15,CNX,CNX RESOURCES CORP,Energy,15,33.360001,,,,,,,
16,ISBA,ISABELLA BANK CORP,Financials,16,40.27,,,,,,,
17,PAX,PATRIA INVESTMENTS LTD CLASS A,Financials,17,11.185,,,,,,,
18,FMC,FMC CORP,Materials,18,11.435,,,,,,,
19,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,19,76.550003,,,,,,,
20,AVNT,AVIENT CORP,Materials,20,36.709999,,,,,,,
21,TG,TREDEGAR CORP,Materials,21,7.75,,,,,,,
22,AZZ,AZZ INC,Industrials,22,150.0,,,,,,,
23,PHIN,PHINIA INC,Consumer Discretionary,23,80.449997,,,,,37,80.139999,
24,TK,TEEKAY CORPORATION CORP LTD,Energy,24,11.14,,,,,,,
25,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,25,15.11,,,,,,,
26,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,26,31.33,,,,,,,
27,ACHR,ARCHER AVIATION INC CLASS A,Industrials,27,5.325,,,,,,,
28,DCH,DAUCH CORPORATION,Consumer Discretionary,28,5.575,,,,,,,
29,NTGR,NETGEAR INC,Information Technology,29,23.959999,,7,23.25,0.03053759,,,
30,CNK,CINEMARK HOLDINGS INC,Communication,30,31.73,,12,31.969999,-0.00750701,,,
31,KVHI,KVH INDUSTRIES INC,Information Technology,31,9.28,,,,,,,
32,VVX,V2X INC,Industrials,32,78.349998,,,,,,,
33,KOS,KOSMOS ENERGY LTD,Energy,33,2.42,,,,,,,
34,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,34,4.9,,20,4.78,0.02510460,,,
35,ACTG,ACACIA RESEARCH CORP,Financials,35,4.715,,,,,,,
36,SLNH,SOLUNA HOLDINGS INC,Information Technology,36,1.355,,,,,,,
37,BF-B,Brown–Forman,Consumer Staples,37,26.264999,,,,,,,
38,LITE,Lumentum,Information Technology,38,836.60498,,,,,,,
39,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,,39,250.389999,,,,,,,
40,CAMT,Camtek Ltd. - Ordinary Shares,,40,155.710007,,,,,,,
41,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,41,9.115,,,,,,,
42,PLAB,PHOTRONICS INC,Information Technology,42,31.24,,,,,,,
43,EBAY,eBay Inc.,Consumer Discretionary,43,112.910004,,21,114.190002,-0.01120937,,,
44,IBKR,Interactive Brokers,Financials,44,94.459999,,,,,,,
45,ROIV,Roivant Sciences Ltd. - Common Shares,,45,35.009998,,,,,,,
46,TWST,TWIST BIOSCIENCE CORP,Health Care,46,94.165001,,,,,,,
47,BRCB,BLACK ROCK COFFEE BAR INC CLASS A,Consumer Discretionary,47,7.95,,24,8.02,-0.00872818,,,
48,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,48,16.155001,,,,,,,
49,BRBR,BELLRING BRANDS INC,Consumer Staples,49,12.58,,,,,,,
50,SMC,SUMMIT MIDSTREAM CORP,Energy,50,30.49,,,,,,,
