current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AKAM,Akamai Technologies,Information Technology,1,125.389999,,1,123.129997,0.01835460,,,
2,PH,Parker Hannifin,Industrials,2,962.13501,,,,,,,
3,VST,Vistra Corp.,Utilities,3,163.375,,,,,,,
4,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,4,9.115,,,,,,,
5,TDY,Teledyne Technologies,Information Technology,5,656.869995,,,,,,,
6,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,6,31.475,,,,,,,
7,GEV,GE Vernova,Industrials,7,1086.61499,,,,,,,
8,PAX,PATRIA INVESTMENTS LTD CLASS A,Financials,8,11.185,,,,,,,
9,NTGR,NETGEAR INC,Information Technology,9,23.959999,,26,23.25,0.03053759,,,
10,HMH,HMH HOLDING INC CLASS A,Energy,10,20.014999,,,,,,,
11,EGY,VAALCO ENERGY INC,Energy,11,5.42,,,,,,,
12,GOGO,GOGO INC,Communication,12,3.625,,,,,,,
13,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,13,9.565,,,,,,,
14,SVC,SERVICE PROPERTIES TRUST,Real Estate,14,8.795,,,,,,,
15,CMRE,COSTAMARE INC,Industrials,15,15.35,,,,,,,
16,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,16,104.714996,,,,,,,
17,HIG,Hartford (The),Financials,17,140.669998,,2,140.5,0.00120995,,,
18,INSW,INTERNATIONAL SEAWAYS INC,Energy,18,90.555,,,,,,,
19,WNC,WABASH NATIONAL CORP,Industrials,19,13.5,,36,13.27,0.01733233,,,
20,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,20,71.845001,,,,,,,
21,CB,Chubb Limited,Financials,21,354.575012,,,,,,,
22,WRB,W. R. Berkley Corporation,Financials,22,72.769997,,,,,,,
23,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",,23,177.449997,,,,,,,
24,STNG,SCORPIO TANKERS INC,Energy,24,79.514999,,,,,,,
25,FSBC,FIVE STAR BANCORP,Financials,25,49.82,,,,,,,
26,SIGI,SELECTIVE INSURANCE GROUP INC,Financials,26,97.150002,,,,,,,
27,TRST,TRUSTCO BANK CORP,Financials,27,55.66,,10,55.439999,0.00396827,,,
28,GEO,GEO GROUP INC,Industrials,28,31.08,,,,,,,
29,CORT,Corcept Therapeutics Incorporated - Common Stock,,29,94.559998,,,,,,,
30,CXW,CORECIVIC REIT INC,Industrials,30,32.080002,,,,,,,
31,SCSC,SCANSOURCE INC,Information Technology,31,55.189899,,,,,,,
32,LNTH,LANTHEUS HOLDINGS INC,Health Care,32,107.07,,,,,,,
33,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,33,76.550003,,,,,,,
34,BBNX,BETA BIONICS INC,Health Care,34,17.559999,,,,,,,
35,GM,General Motors,Consumer Discretionary,35,79.535004,,,,,,,
36,HBT,HBT FINANCIAL INC,Financials,36,32.990002,,,,,,,
37,KVHI,KVH INDUSTRIES INC,Information Technology,37,9.28,,,,,,,
38,VVX,V2X INC,Industrials,38,78.349998,,,,,,,
39,CLSK,CLEANSPARK INC,Information Technology,39,15.295,,,,,,,
40,HON,Honeywell Technologies,Industrials,40,230.509995,,,,,,,
41,ESLT,Elbit Systems Ltd. - Ordinary Shares,,41,778.52002,,,,,,,
42,CNX,CNX RESOURCES CORP,Energy,42,33.360001,,,,,,,
43,ISBA,ISABELLA BANK CORP,Financials,43,40.27,,,,,,,
44,FMC,FMC CORP,Materials,44,11.435,,,,,,,
45,DD,DuPont,Materials,45,138.740005,,,,,,,
46,TG,TREDEGAR CORP,Materials,46,7.75,,,,,,,
47,ASIX,ADVANSIX INC,Materials,47,21.469999,,,,,,,
48,TK,TEEKAY CORPORATION CORP LTD,Energy,48,11.14,,,,,,,
49,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,49,31.33,,,,,,,
50,AZZ,AZZ INC,Industrials,50,150.0,,,,,,,
