current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,GM,General Motors,Consumer Discretionary,1,82.129997,,49,79.510002,0.03295177,,,,,,
2,ALLE,Allegion,Industrials,2,140.050003,,,,,,,,,,
3,NTGR,NETGEAR INC,Information Technology,3,24.620001,,,,,,,,,,
4,CNR,CORE NATURAL RESOURCES INC,Energy,4,87.525002,,,,,,,,,,
5,GATX,GATX CORP,Industrials,5,180.330002,,,,,,,,,,
6,DVN,Devon Energy,Energy,6,44.860001,,24,44.099998,0.01723363,,,,,,
7,PNRG,PRIMEENERGY RESOURCES CORP,Energy,7,193.395004,,8,189.860001,0.01861900,,,,,,
8,TXT,Textron,Industrials,8,91.675003,,,,,,,,,,
9,VVX,V2X INC,Industrials,9,81.014999,,,,,,,,,,
10,CBOE,Cboe Global Markets,Financials,10,282.024994,,,,,,,,,,
11,RCUS,ARCUS BIOSCIENCES INC,Health Care,11,29.98,,,,,,,,,,
12,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,12,9.13,,45,9.2,-0.00760870,,,,,,
13,GWRS,GLOBAL WATER RESOURCES INC,Utilities,13,7.16,,,,,,,,,,
14,CSTL,CASTLE BIOSCIENCES INC,Health Care,14,24.809999,,,,,,,,,,
15,CME,CME Group,Financials,15,249.240005,,,,,,,,,,
16,ICE,Intercontinental Exchange,Financials,16,142.535004,,,,,,,,,,
17,TPL,Texas Pacific Land Corporation,Energy,17,433.299988,,,,,,,,25,415.700012,
18,DGX,Quest Diagnostics,Health Care,18,209.990005,,,,,,,,,,
19,FLR,FLUOR CORP,Industrials,19,51.580002,,,,,,,,,,
20,MGEE,MGE ENERGY INC,Utilities,20,82.989998,,,,,,,,,,
21,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,21,16.290001,,31,16.18,0.00679858,,,,,,
22,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,22,19.030001,,4,19.219999,-0.00988543,,,,,,
23,CDRE,CADRE HOLDINGS INC,Industrials,23,29.93,,46,29.17,0.02605417,,,,,,
24,SWK,Stanley Black & Decker,Industrials,24,89.269997,,,,,,,,,,
25,DUK,Duke Energy,Utilities,25,127.919998,,,,,,,,,,
26,HMH,HMH HOLDING INC CLASS A,Energy,26,21.049999,,,,,,,,,,
27,APA,APA Corporation,Energy,27,36.18,,23,35.77,0.01146212,,,,,,
28,MGPI,MGP INGREDIENTS INC,Consumer Staples,28,18.1,,,,,16,18.209999,,,,
29,RELL,RICHARDSON ELECTRONICS LTD,Information Technology,29,18.01,,,,,,,,,,
30,TALO,TALOS ENERGY INC,Energy,30,15.27,,,,,,,,,,
31,VTOL,BRISTOW GROUP INC,Energy,31,45.080002,,22,45.09,-0.00022173,,,,,,
32,UVV,UNIVERSAL CORP,Consumer Staples,32,53.75,,,,,,,,,,
33,XP,XP Inc. - Class A Common Stock,,33,17.299999,,,,,,,,,,
34,TFIN,TRIUMPH FINANCIAL INC,Financials,34,81.620003,,,,,,,,,,
35,AZTA,AZENTA INC,Health Care,35,27.16,,,,,,,,,,
36,WHD,CACTUS INC CLASS A,Energy,36,56.0,,,,,,,,,,
37,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,37,51.535,,,,,,,,22,51.200001,
38,INVX,INNOVEX INTERNATIONAL INC,Energy,38,27.190001,,,,,,,,,,
39,CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,39,29.02,,,,,,,,,,
40,AVGO,Broadcom,Information Technology,40,396.809998,,,,,,,,,,
41,TWIN,TWIN DISC INC,Industrials,41,23.299999,,,,,,,,,,
42,TWST,TWIST BIOSCIENCE CORP,Health Care,42,94.209999,,,,,,,,,,
43,HIG,Hartford (The),Financials,43,140.759995,,11,141.970001,-0.00852297,34,140.5,0.01046264,,,
44,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,44,66.139999,,,,,39,65.739998,,,,
45,JBHT,J.B. Hunt,Industrials,45,292.23999,,,,,,,,,,
46,REG,Regency Centers,Real Estate,46,82.220001,,,,,,,,,,
47,GBX,GREENBRIER INC,Industrials,47,51.09,,,,,,,,,,
48,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,48,23.08,,,,,,,,,,
49,FTK,FLOTEK INDUSTRIES INC,Materials,49,27.27,,,,,,,,,,
50,MOS,Mosaic Company (The),Materials,50,22.790001,,,,,,,,,,
