current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,LITE,Lumentum,Information Technology,1,860.23999,,,,,,,,,,,,,
2,DOW,Dow Inc.,Materials,2,31.65,,,,,,,,,,,,,
3,HWM,Howmet Aerospace,Industrials,3,285.839996,,,,,,,,,,,,,
4,PCG,PG&E Corporation,Utilities,4,17.865,,,,,,,,,,,,,
5,GD,General Dynamics,Industrials,5,382.774994,,,,,,,,,,,,,
6,FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",,6,2154.52002,,,,,,,,,,,,,
7,FUTU,Futu Holdings Limited - American Depositary Shares,,7,100.400002,,33,106.089996,-0.05363365,30,103.660004,0.02344194,,,,,,
8,NTGR,NETGEAR INC,Information Technology,8,24.969999,,42,24.620001,0.01421600,,,,,,,,,
9,MATW,MATTHEWS INTERNATIONAL CORP CLASS,Consumer Discretionary,9,27.465,,,,,,,,,,,,,
10,STRT,STRATTEC SECURITY CORP,Consumer Discretionary,10,84.32,,,,,,,,,,,,,
11,PAMT,PAMT CORP,Industrials,11,15.2,,,,,,,,,,,,,
12,OFG,OFG BANCORP,Financials,12,51.700001,,,,,,,,,,,,,
13,GRNT,GRANITE RIDGE RESOURCES INC,Energy,13,4.93,,,,,,,,,,,,,
14,CRSR,CORSAIR GAMING INC,Information Technology,14,10.28,,,,,,,,,,,,,
15,SMTI,SANARA MEDTECH INC,Health Care,15,25.5,,,,,,,,,,,,,
16,RYZ,RYERSON HOLDING CORP,Materials,16,30.25,,,,,,,,,,,,,
17,EPM,EVOLUTION PETROLEUM CORP,Energy,17,3.95,,,,,,,,,,,,,
18,AMPY,AMPLIFY ENERGY CORP,Energy,18,4.135,,,,,,,,,,,,,
19,TPC,TUTOR PERINI CORP,Industrials,19,87.550003,,,,,,,,,,,,,
20,MNTK,MONTAUK RENEWABLES INC,Utilities,20,1.765,,,,,,,,,,,,,
21,AMBP,ARDAGH METAL PACKAGING SA,Materials,21,4.885,,,,,,,,,,,,,
22,IKT,INHIBIKASE THERAPEUTICS INC,Health Care,22,2.255,,,,,,,,,,,,,
23,CASY,Casey's,Consumer Staples,23,876.575012,,,,,,,,,,,,,
24,AVGO,Broadcom,Information Technology,24,393.484985,,,,,,,,,,,,,
25,EVRG,Evergy,Utilities,25,86.565002,,,,,,,,,,,,,
26,AMGN,Amgen,Health Care,26,366.940002,,,,,,,,,,,10,366.290009,
27,NVDA,Nvidia,Information Technology,27,208.460007,,,,,,,,,,,,,
28,NTAP,NetApp,Information Technology,28,167.800003,,,,,,,,,,,,,
29,AMD,Advanced Micro Devices,Information Technology,29,549.299988,,,,,,,,,,,,,
30,REG,Regency Centers,Real Estate,30,82.470001,,6,82.220001,0.00304062,10,82.089996,0.00158369,18,82.139999,-0.00060875,20,82.68,-0.00653122
31,ILMN,"Illumina, Inc. - Common Stock",,31,196.835007,,,,,,,,,,,,,
32,PTEN,PATTERSON UTI ENERGY INC,Energy,32,10.81,,7,10.72,0.00839552,9,10.53,0.01804368,,,,,,
33,ICHR,ICHOR HOLDINGS LTD,Information Technology,33,97.0,,,,,,,,,,,,,
34,LASR,NLIGHT INC,Information Technology,34,73.754997,,,,,,,,,,,,,
35,COGT,COGENT BIOSCIENCES INC,Health Care,35,39.612499,,,,,,,,,,,,,
36,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,36,59.130001,,9,58.720001,0.00698229,,,,,,,,,
37,TWST,TWIST BIOSCIENCE CORP,Health Care,37,96.260002,,8,94.209999,0.02175993,,,,,,,,,
38,IOVA,IOVANCE BIOTHERAPEUTICS INC,Health Care,38,5.1716,,,,,,,,,,,31,5.0,
39,ORKA,ORUKA THERAPEUTICS INC,Health Care,39,94.25,,,,,,,,24,91.709999,,,,
40,VSAT,VIASAT INC,Information Technology,40,74.917503,,,,,,,,,,,,,
41,CLBK,COLUMBIA FINANCIAL INC,Financials,41,10.86,,,,,,,,,,,,,
42,BULL,WEBULL CORP CLASS A,Financials,42,7.98,,,,,,,,,,,,,
43,JNJ,Johnson & Johnson,Health Care,43,257.48999,,,,,,,,,,,,,
44,NEE,NextEra Energy,Utilities,44,90.059998,,,,,,,,,,,,,
45,ED,Consolidated Edison,Utilities,45,112.245003,,,,,,,,,,,,,
46,DUK,Duke Energy,Utilities,46,128.904999,,13,127.919998,0.00770013,,,,,,,,,
47,MOS,Mosaic Company (The),Materials,47,22.65,,,,,,,,,,,,,
48,ICE,Intercontinental Exchange,Financials,48,142.899994,,,,,,,,,,,,,
49,LDOS,Leidos,Industrials,49,110.290001,,,,,,,,,,,,,
50,FE,FirstEnergy,Utilities,50,49.575001,,,,,,,,,,,,,
