current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,XEL,Xcel Energy,Utilities,1,80.949997,,,,
2,RVTY,Revvity,Health Care,2,111.980003,,,,
3,EXE,Expand Energy,Energy,3,92.485001,,48,93.169998,-0.00735212
4,JNJ,Johnson & Johnson,Health Care,4,258.649994,,,,
5,WAT,Waters Corporation,Health Care,5,383.200012,,,,
6,ATO,Atmos Energy,Utilities,6,178.490005,,,,
7,NEE,NextEra Energy,Utilities,7,90.040001,,,,
8,TRGP,Targa Resources,Energy,8,286.200012,,,,
9,A,Agilent Technologies,Health Care,9,138.330002,,,,
10,EVRG,Evergy,Utilities,10,86.610001,,,,
11,AVGO,Broadcom,Information Technology,11,390.774994,,36,396.809998,-0.01520880
12,SR,SPIRE INC,Utilities,12,82.709999,,,,
13,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,13,41.529999,,,,
14,ETN,Eaton Corporation,Industrials,14,413.310699,,,,
15,CNP,CenterPoint Energy,Utilities,15,44.115002,,,,
16,EXC,Exelon,Utilities,16,47.285,,,,
17,LYB,LyondellBasell,Materials,17,61.66,,,,
18,CME,CME Group,Financials,18,253.5,,12,249.240005,0.01709194
19,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,19,13.565,,,,
20,NKTR,NEKTAR THERAPEUTICS,Health Care,20,68.699997,,,,
21,CNX,CNX RESOURCES CORP,Energy,21,34.619999,,50,34.639999,-0.00057737
22,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,22,11.675,,33,11.7,-0.00213675
23,OGS,ONE GAS INC,Utilities,23,80.434998,,,,
24,TCBX,THIRD COAST BANCSHARES INC,Financials,24,42.349998,,,,
25,TRST,TRUSTCO BANK CORP,Financials,25,56.310001,,,,
26,PAMT,PAMT CORP,Industrials,26,15.45,,,,
27,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,27,5.41,,,,
28,NE,NOBLE CORPORATION PLC,Energy,28,43.279999,,,,
29,FCCO,FIRST COMMUNITY CORP,Financials,29,33.130001,,,,
30,NRG,NRG Energy,Utilities,30,140.979996,,,,
31,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,31,16.059999,,,,
32,WHD,CACTUS INC CLASS A,Energy,32,55.424999,,,,
33,INVX,INNOVEX INTERNATIONAL INC,Energy,33,26.799999,,15,27.190001,-0.01434358
34,TEX,TEREX CORP,Industrials,34,68.559998,,,,
35,GATX,GATX CORP,Industrials,35,182.080002,,24,180.330002,0.00970443
36,SIGI,SELECTIVE INSURANCE GROUP INC,Financials,36,97.769997,,,,
37,HSHP,HIMALAYA SHIPPING LTD,Industrials,37,15.86,,,,
38,SO,Southern Company,Utilities,38,96.264999,,,,
39,ALG,ALAMO GROUP INC,Industrials,39,164.244995,,,,
40,AVAV,"AeroVironment, Inc. - Common Stock",,40,156.490005,,,,
41,SGP,SPYGLASS PHARMA INC SHS,Health Care,41,20.610001,,,,
42,PTEN,PATTERSON UTI ENERGY INC,Energy,42,10.545,,,,
43,ROIV,Roivant Sciences Ltd. - Common Shares,,43,35.240002,,,,
44,GM,General Motors,Consumer Discretionary,44,79.760002,,3,82.129997,-0.02885663
45,EQT,EQT Corporation,Energy,45,53.57,,,,
46,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,46,68.709999,,,,
47,WWD,"Woodward, Inc. - Common Stock",,47,412.61499,,,,
48,DUK,Duke Energy,Utilities,48,129.300003,,4,127.919998,0.01078803
49,GD,General Dynamics,Industrials,49,379.209991,,,,
50,ABT,Abbott Laboratories,Health Care,50,100.709999,,,,
