current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,UHS,Universal Health Services,Health Care,1,155.839996,,,,,,,,,,,,,,,,
2,VREX,VAREX IMAGING CORP,Health Care,2,10.92,,,,,,,,,,,,,,,,
3,KMPR,KEMPER CORP,Financials,3,28.790001,,,,,,,,,,,,,,,,
4,NWFL,NORWOOD FINANCIAL CORP,Financials,4,32.630001,,,,,,,,,,,,,,,,
5,OPBK,OP BANCORP,Financials,5,15.66,,,,,,,,,,,,,,,,
6,AVBC,AVIDIA BANCORP INC,Financials,6,21.52,,,,,,,,,,,,,,,,
7,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,7,325.299988,,,,,,,,,,,,,,,,
8,EGBN,EAGLE BANCORP INC,Financials,8,28.440001,,,,,,,,,,,,,,,,
9,NE,NOBLE CORPORATION PLC,Energy,9,43.27,,,,,,,,,,,,,,,,
10,LOGI,Logitech International S.A. - Registered Shares,,10,105.779999,,,,,,,,,,,,,,,,
11,NKTR,NEKTAR THERAPEUTICS,Health Care,11,70.724998,,17,69.360001,0.01967989,,,,,,,,,,,,
12,TGTX,TG THERAPEUTICS INC,Health Care,12,56.040001,,,,,,,,,,,,,,,,
13,AMCR,Amcor,Materials,13,44.542,,,,,,,,,,,,,,,,
14,LYB,LyondellBasell,Materials,14,60.334999,,14,61.709999,-0.02228164,,,,,,,,,,,,
15,FRBA,FIRST BANK,Financials,15,17.98,,,,,,,,,,,,,,,,
16,CME,CME Group,Financials,16,255.309998,,,,,7,249.240005,,,,,,,,,,
17,MAS,Masco,Industrials,17,79.269997,,,,,,,,,,,,,,,,
18,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,18,43.584999,,,,,,,,,,,,,,,,
19,SMC,SUMMIT MIDSTREAM CORP,Energy,19,30.59,,,,,,,,,,,,,,,,
20,GIC,GLOBAL INDUSTRIAL,Industrials,20,35.125,,,,,,,,,,,,,,,,
21,CTSH,Cognizant,Information Technology,21,45.450001,,,,,,,,,,,,,,,,
22,ATLO,AMES NATIONAL CORP,Financials,22,30.049999,,,,,,,,,,,,,,,,
23,UFPI,UFP INDUSTRIES INC,Industrials,23,87.940002,,,,,,,,,,,,,,,,
24,NRG,NRG Energy,Utilities,24,141.039993,,20,143.089996,-0.01432667,,,,,,,,,,,,
25,MSBI,MIDLAND STATES BANCORP INC,Financials,25,32.25,,,,,,,,,,,,,,,,
26,IBCP,INDEPENDENT BANK CORP,Financials,26,37.66,,,,,,,,,,,,,,,,
27,SYY,Sysco,Consumer Staples,27,83.110001,,,,,,,,,,,,,,,,
28,ARX,ACCELERANT HOLDINGS CLASS A,Financials,28,14.238,,,,,,,,,,,,,,,,
29,BHB,BAR HARBOR BANKSHARES,Financials,29,39.130001,,,,,,,,,,,,,,,,
30,CDRE,CADRE HOLDINGS INC,Industrials,30,30.92,,,,,25,29.93,,,,,,,,,,
31,ROP,Roper Technologies,Information Technology,31,367.339996,,,,,,,,,,,22,362.839996,,,,
32,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,32,45.130001,,,,,,,,,,,,,,,,
33,BX,Blackstone Inc.,Financials,33,129.970001,,,,,,,,,,,,,,,,
34,BKR,Baker Hughes,Energy,34,57.25,,,,,,,,,,,,,,,,
35,ITW,Illinois Tool Works,Industrials,35,283.01001,,,,,,,,,,,,,,,,
36,QCRH,QCR HOLDINGS INC,Financials,36,100.150002,,,,,,,,,,,,,,,,
37,PCAR,Paccar,Industrials,37,132.240005,,29,130.75,0.01139583,,,,,,,,,,,,
38,WSBF,WATERSTONE FINANCIAL INC,Financials,38,20.059999,,,,,,,,,,,,,,,,
39,DYN,DYNE THERAPEUTICS INC,Health Care,39,24.440001,,,,,,,,,,,,,,,,
40,JCI,Johnson Controls,Industrials,40,143.449997,,,,,,,,,,,,,,,,
41,SYK,Stryker Corporation,Health Care,41,330.290009,,,,,,,,,,,,,,,,
42,SWK,Stanley Black & Decker,Industrials,42,91.230003,,,,,22,89.269997,,,,,,,,,,
43,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,43,15.78,,19,16.5,-0.04363636,,,,,,,,,,,,
44,TCBX,THIRD COAST BANCSHARES INC,Financials,44,42.720001,,2,42.375,0.00814162,,,,,,,,,,,,
45,CASS,CASS INFORMATION SYSTEMS INC,Financials,45,54.25,,,,,,,,,,,,,,,,
46,FCCO,FIRST COMMUNITY CORP,Financials,46,33.650002,,,,,,,,,,,,,,,,
47,ATO,Atmos Energy,Utilities,47,179.25,,,,,,,,,,,,,,,,
48,CTBI,COMMUNITY TRUST BANCORP INC,Financials,48,76.150002,,,,,,,,,,,,,,,,
49,SDRL,SEADRILL LTD,Energy,49,44.93,,,,,,,,,,,,,,,,
50,ALRS,ALERUS FINANCIAL CORP,Financials,50,32.700001,,,,,,,,,,,,,,,,
