current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,UHS,Universal Health Services,Health Care,1,161.005005,,,,,,,,,,,,,,,,
2,OPBK,OP BANCORP,Financials,2,15.42,,,,,,,,,,,,,,,,
3,TMP,TOMPKINS FINANCIAL CORP,Financials,3,97.760002,,,,,,,,,,,,,,,,
4,USCB,USCB FINANCIAL HOLDINGS INC CLASS,Financials,4,21.0,,,,,,,,,,,,,,,,
5,VREX,VAREX IMAGING CORP,Health Care,5,10.905,,,,,,,,,,,,,,,,
6,DXC,DXC TECHNOLOGY,Information Technology,6,9.715,,,,,,,,,,,,,,,,
7,SO,Southern Company,Utilities,7,97.68,,13,96.599998,0.01118015,,,,,,,,,,,,
8,NWFL,NORWOOD FINANCIAL CORP,Financials,8,32.400002,,,,,,,,,,,,,,,,
9,AEP,American Electric Power,Utilities,9,136.339996,,,,,,,,,,,,,,,,
10,SWK,Stanley Black & Decker,Industrials,10,90.720001,,,,,11,89.269997,,,,,,,,,,
11,EGBN,EAGLE BANCORP INC,Financials,11,28.0812,,,,,,,,,,,,,,,,
12,SRE,Sempra,Utilities,12,93.809998,,,,,,,,,,,,,,,,
13,ATLO,AMES NATIONAL CORP,Financials,13,30.225,,,,,,,,,,,,,,,,
14,CME,CME Group,Financials,14,252.899994,,43,254.320007,-0.00558357,4,249.240005,0.02038197,,,,,,,,,
15,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,15,9.08,,3,9.32,-0.02575107,,,,,,,,,,,,
16,XEL,Xcel Energy,Utilities,16,81.800003,,6,80.769997,0.01275233,,,,,,,,,,,,
17,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,17,13.525,,42,13.53,-0.00036955,,,,,,,,,,,,
18,NEE,NextEra Energy,Utilities,18,89.114998,,28,89.790001,-0.00751757,,,,,,,,,,,,
19,HP,HELMERICH & PAYNE INC,Energy,19,35.855,,,,,,,,,,,,,,,,
20,RBKB,RHINEBECK BANCORP INC,Financials,20,12.48,,,,,,,,,,,,,,,,
21,NOC,Northrop Grumman,Industrials,21,544.299927,,,,,,,,,,,,,,,,
22,AEE,Ameren,Utilities,22,114.455002,,,,,,,,,,,,,,,,
23,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,23,322.140015,,,,,,,,,,,,,,,,
24,EXC,Exelon,Utilities,24,47.625,,17,47.279999,0.00729698,,,,,,,,,,,,
25,SKYW,SKYWEST INC,Industrials,25,103.580002,,,,,,,,,,,,,,,,
26,TT,Trane Technologies,Industrials,26,481.290009,,,,,,,,,,,,,,,,
27,CNP,CenterPoint Energy,Utilities,27,44.610001,,9,44.209999,0.00904777,,,,,,,,,,,,
28,PPL,PPL Corporation,Utilities,28,36.549999,,,,,,,,,,,,,,,,
29,NKTR,NEKTAR THERAPEUTICS,Health Care,29,70.714996,,8,69.360001,0.01953568,,,,,,,,,,,,
30,TVTX,TRAVERE THERAPEUTICS INC,Health Care,30,57.599998,,,,,,,,,,,,,,,,
31,BKR,Baker Hughes,Energy,31,58.130001,,,,,,,,,,,,,,,,
32,VZ,Verizon,Communication Services,32,45.119999,,,,,,,,,,,,,,,,
33,WAT,Waters Corporation,Health Care,33,375.5,,4,382.440002,-0.01814664,,,,,,,,,,,,
34,CMRE,COSTAMARE INC,Industrials,34,15.82,,14,15.65,0.01086262,,,,50,15.3,,,,,,,
35,EFOR,EVERFORTH INC,Information Technology,35,20.495001,,,,,,,,,,,,,,,,
36,ACN,Accenture,Information Technology,36,145.070007,,,,,,,,,,,,,,,,
37,NUE,Nucor,Materials,37,242.559998,,,,,,,,,,,,,,,,
38,FCCO,FIRST COMMUNITY CORP,Financials,38,33.505001,,,,,,,,,,,,,,,,
39,KMT,KENNAMETAL INC,Industrials,39,35.330002,,,,,,,,,,,,,,,,
40,SR,SPIRE INC,Utilities,40,83.669998,,34,82.57,0.01332201,,,,,,,,,,,,
41,ALG,ALAMO GROUP INC,Industrials,41,166.360001,,,,,,,,,,,,,,,,
42,JCI,Johnson Controls,Industrials,42,143.145004,,,,,,,,,,,,,,,,
43,EXE,Expand Energy,Energy,43,92.550003,,22,91.730003,0.00893928,44,93.169998,-0.01545557,,,,,,,,,
44,LYB,LyondellBasell,Materials,44,60.957199,,19,61.709999,-0.01219900,,,,,,,,,,,,
45,NE,NOBLE CORPORATION PLC,Energy,45,43.029999,,44,43.110001,-0.00185576,,,,,,,,,,,,
46,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,46,16.68,,21,16.5,0.01090909,,,,44,15.46,,,,,,,
47,NRG,NRG Energy,Utilities,47,142.895004,,7,143.089996,-0.00136272,,,,,,,,,,,,
48,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,48,69.0,,10,69.294998,-0.00425713,,,,,,,,,,,,
49,UFPI,UFP INDUSTRIES INC,Industrials,49,87.290001,,,,,,,,,,,,,,,,
50,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,50,11.5,,,,,,,,19,11.82,,,,,,,
