current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,OPBK,OP BANCORP,Financials,1,15.42,,,,,,,,,,,,,,,,
2,VREX,VAREX IMAGING CORP,Health Care,2,10.905,,,,,,,,,,,,,,,,
3,DXC,DXC TECHNOLOGY,Information Technology,3,9.715,,,,,,,,,,,,,,,,
4,ATLO,AMES NATIONAL CORP,Financials,4,30.225,,,,,,,,,,,,,,,,
5,TVTX,TRAVERE THERAPEUTICS INC,Health Care,5,57.599998,,,,,,,,,,,,,,,,
6,TMP,TOMPKINS FINANCIAL CORP,Financials,6,97.760002,,,,,,,,,,,,,,,,
7,USCB,USCB FINANCIAL HOLDINGS INC CLASS,Financials,7,21.0,,,,,,,,,,,,,,,,
8,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,8,9.08,,5,9.32,-0.02575107,,,,,,,,,,,,
9,SWK,Stanley Black & Decker,Industrials,9,90.720001,,,,,4,89.269997,,,,,,,,47,90.169998,
10,RBKB,RHINEBECK BANCORP INC,Financials,10,12.48,,,,,,,,,,,,,,,,
11,UNTY,UNITY BANCORP INC,Financials,11,57.779999,,,,,,,,,,,,,,,,
12,UHS,Universal Health Services,Health Care,12,161.005005,,,,,,,,,,,,,,,,
13,FCCO,FIRST COMMUNITY CORP,Financials,13,33.505001,,,,,,,,,,,,,,,,
14,SRE,Sempra,Utilities,14,93.809998,,,,,,,,,,,,,,,,
15,TT,Trane Technologies,Industrials,15,481.290009,,,,,,,,,,,,,,,,
16,SO,Southern Company,Utilities,16,97.68,,10,96.599998,0.01118015,,,,,,,,,,,,
17,AEP,American Electric Power,Utilities,17,136.339996,,,,,,,,,,,,,,,,
18,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,18,13.525,,11,13.53,-0.00036955,,,,,,,,,,,,
19,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,19,322.140015,,,,,,,,,,,,,,,,
20,AEE,Ameren,Utilities,20,114.455002,,,,,,,,,,,,,,,,
21,ALG,ALAMO GROUP INC,Industrials,21,166.360001,,,,,,,,,,,,,,,,
22,HOV,HOVNANIAN ENTERPRISES INC CLASS A,Consumer Discretionary,22,132.580002,,,,,,,,,,,,,,,,
23,NEE,NextEra Energy,Utilities,23,89.114998,,14,89.790001,-0.00751757,,,,,,,,,,,,
24,WAT,Waters Corporation,Health Care,24,375.5,,8,382.440002,-0.01814664,,,,,,,,,,,,
