current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,UHS,Universal Health Services,Health Care,1,158.524994,,,,,,,,,,,,,,,,
2,NKTR,NEKTAR THERAPEUTICS,Health Care,2,71.150002,,17,69.360001,0.02580740,,,,,,,,,,,,
3,HTH,HILLTOP HOLDINGS INC,Financials,3,40.139999,,,,,,,,,,,,,,,,
4,NEE,NextEra Energy,Utilities,4,89.665001,,8,89.790001,-0.00139214,,,,,,,,,,,,
5,NWFL,NORWOOD FINANCIAL CORP,Financials,5,32.529999,,,,,,,,,,,,,,,,
6,VREX,VAREX IMAGING CORP,Health Care,6,11.03,,,,,,,,,,,,,,,,
7,DXC,DXC TECHNOLOGY,Information Technology,7,9.945,,,,,,,,,,,,,,,,
8,UNTY,UNITY BANCORP INC,Financials,8,58.365002,,,,,,,,,,,,,,,,
9,FCCO,FIRST COMMUNITY CORP,Financials,9,33.68,,,,,,,,,,,,,,,,
10,ARGX,argenx SE - American Depositary Shares,,10,918.349976,,24,924.599976,-0.00675968,,,,,,,,,,,,
11,SR,SPIRE INC,Utilities,11,83.449997,,13,82.57,0.01065759,,,,,,,,,,,,
12,MMS,MAXIMUS INC,Industrials,12,59.400002,,,,,,,,,,,,,,,,
13,EMR,Emerson Electric,Industrials,13,148.929993,,,,,,,,,,,,,,,,
14,AMGN,Amgen,Health Care,14,376.665009,,,,,,,,,,,,,,,,
15,SWK,Stanley Black & Decker,Industrials,15,91.404999,,,,,22,89.269997,,,,,,,,,,
16,WAT,Waters Corporation,Health Care,16,376.144989,,4,382.440002,-0.01646013,,,,,,,,,,,,
17,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,17,326.679993,,,,,,,,,,,,,,,,
18,ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,18,42.465,,,,,,,,,,,,,,,,
19,LOGI,Logitech International S.A. - Registered Shares,,19,105.190002,,,,,,,,,,,,,,,,
20,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,20,69.099998,,27,69.294998,-0.00281406,,,,,,,,,,,,
21,SO,Southern Company,Utilities,21,96.879997,,34,96.599998,0.00289854,,,,,,,,,,,,
22,MAS,Masco,Industrials,22,79.440002,,,,,,,,,,,,,,,,
23,BFC,BANK FIRST CORP,Financials,23,151.119995,,,,,,,,,,,,,,,,
24,LYB,LyondellBasell,Materials,24,60.790001,,14,61.709999,-0.01490841,,,,,,,,,,,,
25,XEL,Xcel Energy,Utilities,25,81.510002,,7,80.769997,0.00916188,,,,,,,,,,,,
26,LXU,LSB INDUSTRIES INC,Materials,26,12.12,,,,,,,,,,,,,,,,
27,SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,27,78.32,,,,,,,,,,,,,,,,
28,RBKB,RHINEBECK BANCORP INC,Financials,28,12.4783,,,,,,,,,,,,,,,,
29,PKG,Packaging Corporation of America,Materials,29,238.789993,,23,234.110001,0.01999057,,,,,,,,,,,,
30,INSW,INTERNATIONAL SEAWAYS INC,Energy,30,91.580002,,,,,,,,9,90.449997,,,,,,,
31,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,31,9.2,,1,9.32,-0.01287554,,,,,,,,,,,,
32,TVTX,TRAVERE THERAPEUTICS INC,Health Care,32,57.314999,,,,,,,,,,,,,,,,
33,BWFG,BANKWELL FINANCIAL GROUP INC,Financials,33,62.040001,,,,,,,,,,,,,,,,
34,CME,CME Group,Financials,34,251.895004,,,,,7,249.240005,,,,,,,,,,
35,DVN,Devon Energy,Energy,35,45.07,,,,,14,44.860001,,,,,,,,,,
36,ARX,ACCELERANT HOLDINGS CLASS A,Financials,36,14.31,,,,,,,,,,,,,,,,
37,CMRE,COSTAMARE INC,Industrials,37,15.69,,12,15.65,0.00255591,,,,,,,,,,,,
38,CDRE,CADRE HOLDINGS INC,Industrials,38,30.825001,,,,,25,29.93,,,,,,,,,,
39,OPBK,OP BANCORP,Financials,39,15.89,,,,,,,,,,,,,,,,
40,UFPI,UFP INDUSTRIES INC,Industrials,40,88.099998,,,,,,,,,,,,,,,,
41,QCRH,QCR HOLDINGS INC,Financials,41,100.779999,,,,,,,,,,,,,,,,
42,KMT,KENNAMETAL INC,Industrials,42,35.509998,,,,,,,,,,,,,,,,
43,PPHC,PUBLIC POLICY HOLDING INC,Industrials,43,9.03,,,,,,,,,,,,,,,,
44,TMO,Thermo Fisher Scientific,Health Care,44,558.60498,,,,,,,,,,,,,,,,
45,EGBN,EAGLE BANCORP INC,Financials,45,28.35,,,,,,,,,,,,,,,,
46,TMP,TOMPKINS FINANCIAL CORP,Financials,46,98.800003,,,,,,,,,,,,,,,,
47,LLY,Lilly (Eli),Health Care,47,1202.880005,,,,,,,,,,,,,,,,
48,SMID,SMITH MIDLAND CORP,Materials,48,30.6,,,,,,,,,,,,,,,,
49,ALKS,ALKERMES,Health Care,49,53.240002,,,,,,,,,,,,,,,,
50,ROIV,Roivant Sciences Ltd. - Common Shares,,50,35.459999,,,,,,,,,,,,,,,,
