rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,UHS,Universal Health Services,Health Care,92.69,优先Call候选,158.524994,63.64,1.84,0.06121963,0.04581734,0.09139411,92.8,77.08,91.6,81.8,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
2,NKTR,NEKTAR THERAPEUTICS,Health Care,90.87,优先Call候选,71.150002,58.57,1.1,0.02639934,0.03974868,0.10378534,82.9,81.81,100.0,81.23,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
3,HTH,HILLTOP HOLDINGS INC,Financials,88.18,优先Call候选,40.139999,64.52,1.53,0.05299056,0.03667350,0.02293570,92.8,66.39,80.4,81.23,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
4,NEE,NextEra Energy,Utilities,87.65,优先Call候选,89.665001,60.16,1.45,0.00296419,0.00752849,0.03407914,82.9,75.7,88.8,81.8,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
5,NWFL,NORWOOD FINANCIAL CORP,Financials,87.14,优先Call候选,32.529999,60.68,0.76,0.07182863,0.03237064,0.03008230,92.8,67.06,91.6,81.23,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
6,VREX,VAREX IMAGING CORP,Health Care,87.09,优先Call候选,11.03,58.34,0.53,0.03325527,0.04253308,0.06415822,98.2,81.28,100.0,81.23,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
7,DXC,DXC TECHNOLOGY,Information Technology,86.79,优先Call候选,9.945,61.52,0.94,0.05629315,0.05756245,0.18111639,98.2,77.5,81.8,81.23,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
8,UNTY,UNITY BANCORP INC,Financials,86.4,优先Call候选,58.365002,58.32,1.14,0.01858644,0.00724829,0.00733523,98.2,54.44,77.6,81.23,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
9,FCCO,FIRST COMMUNITY CORP,Financials,86.3,优先Call候选,33.68,63.09,0.95,0.04434109,0.01844572,0.02386381,98.2,66.24,80.4,81.23,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
10,ARGX,argenx SE - American Depositary Shares,,85.91,优先Call候选,918.349976,61.62,1.23,0.07610728,0.07058754,0.07957351,92.8,67.07,91.6,81.08,100.0,45.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
