current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,MC,MOELIS CLASS A,Financials,1,67.790001,,,,,,,,,,,,,,,,,,,
2,ARLO,ARLO TECHNOLOGIES INC,Information Technology,2,13.88,,,,,,,,,,,,,,,,,15,13.31,
3,MAR,Marriott International,Consumer Discretionary,3,383.059998,,,,,,,,,,,,,,,,,,,
4,CHD,Church & Dwight,Consumer Staples,4,98.699997,,,,,,,,,,,,,,,,,,,
5,TEL,TE Connectivity,Information Technology,5,207.559998,,,,,,,,,,,,,,4,203.169998,,10,203.309998,-0.00068860
6,SBC,SBC MEDICAL GROUP HOLDINGS INC,Health Care,6,3.19,,,,,,,,,,,,,,,,,,,
7,SAM,BOSTON BEER INC CLASS A,Consumer Staples,7,183.520004,,,,,,,,,,,,,,11,180.669998,,,,
8,TSCO,Tractor Supply,Consumer Discretionary,8,31.799999,,,,,,,,,,,,,,,,,,,
9,VRSN,Verisign,Information Technology,9,274.820007,,25,280.0,-0.01849998,,,,,,,,,,,,,,,
10,ORLY,O’Reilly Automotive,Consumer Discretionary,10,90.589996,,,,,,,,,,,,,,,,,,,
11,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,11,2.72,,,,,,,,27,2.685,,,,,19,2.71,,,,
12,NOC,Northrop Grumman,Industrials,12,547.22998,,,,,,,,,,,,,,,,,,,
13,IT,Gartner,Information Technology,13,147.529999,,,,,,,,,,,,,,,,,,,
