current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,STE,Steris,Health Care,1,218.5,,,,,,,,,,,,,,,,,28,217.839996,
2,FIS,Fidelity National Information Services,Financials,2,43.395,,,,,,,,,,,,,,,,,,,
3,BR,Broadridge Financial Solutions,Industrials,3,154.080002,,,,,,,,,,,,,,,,,,,
4,ADBE,Adobe Inc.,Information Technology,4,240.5,,,,,,,,,,,,,,,,,,,
5,MSI,Motorola Solutions,Information Technology,5,426.829987,,,,,,,,,,,,,,,,,,,
6,TRMB,Trimble Inc.,Information Technology,6,55.849998,,,,,,,,,,,,,,17,53.209999,,40,52.720001,0.00929435
7,TW,Tradeweb Markets Inc. - Class A Common Stock,,7,102.25,,,,,,,,,,,,,,,,,,,
8,VRSN,Verisign,Information Technology,8,275.524994,,,,,,,,,,,,,,,,,32,277.660004,
9,CRM,Salesforce,Information Technology,9,175.729996,,,,,,,,,,,,,,33,173.770004,,,,
10,IT,Gartner,Information Technology,10,150.020004,,,,,,,,,,,,,,,,,,,
11,AOS,A. O. Smith,Industrials,11,62.25,,,,,,,,,,,,,,,,,,,
12,BL,BLACKLINE INC,Information Technology,12,30.875,,,,,,,,,,,,,,,,,,,
13,FAST,Fastenal,Industrials,13,47.525002,,,,,,,,,,,,,,,,,,,
14,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,14,42.119999,,34,43.584999,-0.03361248,,,,,,,,,,,,,,,
15,FUTU,Futu Holdings Limited - American Depositary Shares,,15,103.154999,,,,,,,,,,,,,,,,,,,
16,GRDN,GUARDIAN PHARMACY SERVICES INC CLA,Health Care,16,41.82,,,,,,,,,,,,,,,,,,,
17,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,17,15.86,,,,,,,,,,,,,,,,,,,
18,SOLV,Solventum,Health Care,18,80.75,,,,,,,,,,,,,,,,,,,
19,BSY,"Bentley Systems, Incorporated - Class B Common Stock",,19,33.66,,,,,,,,,,,,,,,,,48,32.34,
20,UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,20,43.279999,,,,,,,,,,,,,,,,,,,
21,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,21,187.460007,,,,,,,,,,,,,,,,,,,
22,GEN,Gen Digital,Information Technology,22,26.85,,,,,,,,,,,,,,,,,,,
23,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,23,23.120001,,,,,,,,,,,,,,,,,,,
24,SAIL,"SailPoint, Inc. - Common Stock",,24,15.7,,,,,,,,,,,,,,,,,,,
25,CFBK,CF BANKSHARES INC,Financials,25,34.0425,,,,,,,,,,,,,,,,,,,
26,NE,NOBLE CORPORATION PLC,Energy,26,42.98,,7,43.27,-0.00670210,30,43.110001,0.00371141,,,,,,,,,,,,
27,BRO,Brown & Brown,Financials,27,69.980003,,,,,,,,,,,,,,,,,,,
28,AORT,ARTIVION INC,Health Care,28,26.08,,,,,,,,,,,,,,8,25.35,,44,25.059999,0.01157227
29,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,29,228.229996,,,,,,,,,,,,,,,,,,,
30,CG,The Carlyle Group Inc. - Common Stock,,30,46.07,,,,,,,,,,,,,,,,,,,
31,KMPR,KEMPER CORP,Financials,31,29.83,,2,28.790001,0.03612362,,,,,,,,,,,,,,,
32,SMID,SMITH MIDLAND CORP,Materials,32,30.934999,,,,,,,,,,,,,,,,,,,
33,FISV,Fiserv,Financials,33,52.345001,,,,,,,,,,,,,,,,,,,
34,CBRE,CBRE Group,Real Estate,34,143.020004,,,,,,,,,,,,,,,,,,,
35,CZFS,CITIZENS FINANCIAL SERVICES INC,Financials,35,74.25,,,,,,,,,,,,,,,,,,,
36,PSA,Public Storage,Real Estate,36,324.470001,,,,,,,,,,,,,,,,,,,
37,CLX,Clorox,Consumer Staples,37,97.290001,,,,,,,,,,,,,,,,,,,
38,CHD,Church & Dwight,Consumer Staples,38,99.165001,,,,,,,,,,,,,,,,,,,
39,FTV,Fortive,Industrials,39,62.555,,,,,,,,,,,,,,,,,,,
40,HZO,MARINEMAX INC,Consumer Discretionary,40,35.93,,,,,,,,,,,,,,,,,,,
41,SONO,SONOS INC,Consumer Discretionary,41,15.6,,,,,,,,,,,,,,,,,13,15.11,
42,MIAX,MIAMI INTERNATIONAL HOLDINGS INC,Financials,42,43.23,,,,,,,,,,,,,,,,,,,
43,PODD,Insulet Corporation,Health Care,43,166.220001,,,,,,,,,,,,,,9,167.369995,,31,164.059998,0.02017553
44,ARLO,ARLO TECHNOLOGIES INC,Information Technology,44,13.72,,,,,,,,,,,,,,,,,,,
45,BAX,Baxter International,Health Care,45,23.163099,,,,,,,,,,,,,,,,,,,
46,ENSG,"The Ensign Group, Inc. - Common Stock",,46,178.059998,,,,,,,,,,,,,,26,172.039993,,38,171.279999,0.00443714
47,PSFE,PAYSAFE LTD,Financials,47,8.62,,,,,,,,,,,,,,,,,,,
48,TYL,Tyler Technologies,Information Technology,48,321.815002,,,,,,,,,,,,,,11,317.920013,,4,319.51001,-0.00497636
49,TPG,TPG Inc. - Class A Common Stock,,49,42.939999,,,,,,,,,,,,,,,,,,,
50,WLY,JOHN WILEY AND SONS INC CLASS A,Communication,50,51.080002,,,,,,,,,,,,,,,,,,,
