rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,IFF,International Flavors & Fragrances,Materials,91.61,优先Call候选,79.639999,59.26,1.47,0.01168697,0.03160624,0.04131794,90.4,79.76,100.0,84.28,100.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
2,MCHB,MECHANICS BANCORP CLASS A,Financials,89.44,优先Call候选,16.49,62.64,1.44,0.04898219,0.03580402,0.03645506,92.8,69.89,91.6,82.35,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
3,EL,Estée Lauder Companies (The),Consumer Staples,88.44,优先Call候选,84.146004,57.16,1.34,-0.00665795,0.01840852,0.05990685,87.7,72.82,83.8,84.28,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
4,BKE,BUCKLE INC,Consumer Discretionary,88.06,优先Call候选,45.009998,62.79,1.47,0.00044445,0.04213936,0.08353387,87.7,72.84,100.0,82.35,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
5,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,88.01,优先Call候选,31.93,57.19,1.36,-0.00109495,0.03601557,0.08827539,87.7,72.69,100.0,82.35,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
6,DDOG,Datadog,Information Technology,87.87,优先Call候选,264.200012,59.7,2.13,0.05179350,0.07538269,0.06279422,92.8,66.23,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
7,ERIE,Erie Indemnity,Financials,87.47,优先Call候选,248.550003,65.06,1.14,0.03364383,0.17969529,0.04652633,90.4,77.18,90.2,84.28,100.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
8,SLB,Schlumberger,Energy,87.05,优先Call候选,48.959999,51.15,0.82,-0.02847507,0.02706107,0.05608279,87.7,74.6,83.8,71.08,68.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
9,TAP,Molson Coors Beverage Company,Consumer Staples,87.0,优先Call候选,42.759998,66.7,1.55,0.01111367,0.04241828,0.07558790,75.1,77.1,100.0,84.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
10,MGPI,MGP INGREDIENTS INC,Consumer Staples,86.81,优先Call候选,18.879999,58.17,1.38,0.00747060,0.04194249,0.12783746,75.1,77.74,100.0,82.35,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
11,CLX,Clorox,Consumer Staples,86.72,优先Call候选,99.639999,61.64,1.13,0.00392946,0.04040934,0.02563044,75.1,76.15,100.0,84.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
12,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,86.5,优先Call候选,79.209999,59.5,1.64,-0.00652206,0.02484148,0.07141890,75.1,76.71,83.8,82.35,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
13,SNY,Sanofi - American Depositary Shares,,86.42,优先Call候选,44.849998,58.92,1.35,-0.00889020,0.02397258,0.03293413,75.1,75.59,83.8,83.63,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
14,TSN,Tyson Foods,Consumer Staples,86.15,优先Call候选,61.049999,64.73,1.17,-0.01005349,0.06973890,0.04109823,75.1,74.26,83.8,84.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
15,JOUT,JOHNSON OUTDOORS INC CLASS A,Consumer Discretionary,86.12,优先Call候选,47.349998,58.44,1.24,-0.01732911,0.01131991,0.03395567,75.1,75.44,72.6,82.35,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
16,VGNT,VERSIGENT PLC,Consumer Discretionary,86.1,优先Call候选,42.990002,57.38,0.86,-0.01534581,0.04420705,0.09056327,87.7,72.72,83.8,82.35,68.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
17,AVY,Avery Dennison,Materials,86.03,优先Call候选,167.380005,62.75,1.71,-0.01025929,0.06131506,0.02542430,75.1,73.87,83.8,84.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
18,YOU,CLEAR SECURE INC CLASS A,Information Technology,85.98,优先Call候选,58.404999,66.45,3.14,0.08599851,0.11758517,0.04276024,92.8,76.36,68.6,82.35,66.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
19,LMAT,LEMAITRE VASCULAR INC,Health Care,85.9,优先Call候选,103.57,60.47,1.3,0.01152457,0.04891637,0.07862949,82.9,67.53,100.0,82.35,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
20,ACR,ACRES COMMERCIAL REALTY CORP,Financials,85.87,优先Call候选,18.59,67.42,2.86,0.03004244,0.06350114,0.03163152,87.7,72.34,100.0,82.35,66.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
21,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,85.82,优先Call候选,32.9175,58.43,0.76,-0.00234881,0.05067028,0.04433693,90.4,68.16,100.0,82.35,68.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
22,BKR,Baker Hughes,Energy,85.64,优先Call候选,58.720001,54.94,1.39,0.01223932,0.03754749,0.04307670,87.7,66.33,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
23,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,85.63,优先Call候选,23.35,60.64,1.49,0.00085727,0.02188184,0.09547262,75.1,73.82,100.0,82.35,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
24,EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,85.61,优先Call候选,36.326,59.4,1.73,-0.01914405,0.05018792,0.02297950,75.1,73.75,72.6,82.35,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
25,ANIK,ANIKA THERAPEUTICS INC,Health Care,85.59,优先Call候选,16.236,61.9,2.0,0.05360156,0.08167888,0.08312208,92.8,68.27,91.6,82.35,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
26,ANGI,ANGI INC CLASS A,Communication,85.58,优先Call候选,6.1,53.13,1.24,-0.02485812,0.05719237,0.03741497,90.4,68.31,83.8,82.35,100.0,45.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
27,DOLE,DOLE PLC,Consumer Staples,85.52,优先Call候选,14.445,58.42,3.0,0.00908138,0.01084675,0.03808839,82.9,76.79,88.8,82.35,66.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
28,UMBF,UMB FINANCIAL CORP,Financials,85.36,优先Call候选,148.270004,63.24,1.7,0.03707073,0.05365266,0.04437559,92.8,55.5,91.6,83.52,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
29,PCAR,Paccar,Industrials,85.22,优先Call候选,133.869995,60.95,1.23,-0.01944698,0.02132365,0.11959517,75.1,74.02,83.8,80.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
30,DXCM,Dexcom,Health Care,85.21,优先Call候选,75.139999,55.1,1.18,-0.00674161,0.05208627,0.07373529,82.9,66.8,83.8,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
31,RDVT,RED VIOLET INC,Information Technology,85.17,优先Call候选,67.800003,59.7,2.39,0.03527264,0.07397437,0.08532098,92.8,55.64,91.6,82.35,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
32,RSG,Republic Services,Industrials,85.14,优先Call候选,218.960007,52.51,1.36,0.00996312,0.01154948,0.02007926,92.8,54.28,77.6,84.28,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
33,IDXX,Idexx Laboratories,Health Care,85.12,优先Call候选,569.77002,58.68,1.1,0.00225163,0.04556468,0.06333106,75.1,74.56,100.0,84.28,100.0,72.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
34,SPOK,SPOK HOLDINGS INC,Communication,85.1,优先Call候选,10.96,60.5,1.41,-0.00517382,0.02862506,0.04760084,75.1,75.78,83.8,82.35,100.0,72.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
35,PODD,Insulet Corporation,Health Care,85.09,优先Call候选,170.619995,63.09,0.8,0.00821367,0.07321675,0.08062573,75.1,77.12,100.0,84.28,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
36,GILD,Gilead Sciences,Health Care,85.04,优先Call候选,132.729996,52.91,1.03,-0.00740357,0.01849286,0.05074411,82.9,69.76,83.8,84.28,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
37,T,AT&T,Communication Services,84.55,优先Call候选,23.945,64.18,1.07,-0.03291599,0.03905402,0.09940307,65.2,77.35,83.8,84.28,100.0,100.0,mixed_sideways,bullish_above_signal,质量动量：日线质量与1月趋势优先；MACD 保持多头
38,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,84.5,优先Call候选,52.18,65.39,1.01,0.00987037,0.06489796,0.08629125,75.1,76.44,100.0,82.35,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
