current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,TVTX,TRAVERE THERAPEUTICS INC,Health Care,1,57.279999,,,,,,,,,,,7,57.360001,,,,,,,,,,,,,,,,
2,FF,FUTUREFUEL CORP,Energy,2,4.97,,,,,,,,,,,,,,,,,,,,,,,35,4.78,,,,
3,EIG,EMPLOYERS HOLDINGS INC,Financials,3,51.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RGR,STURM RUGER INC,Consumer Discretionary,4,39.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MC,MOELIS CLASS A,Financials,5,68.349998,,,,,,,,26,67.790001,,,,,,,,,,,,,,,,,,,
6,SBUX,Starbucks,Consumer Discretionary,6,105.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,APD,Air Products,Materials,7,300.200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,APA,APA Corporation,Energy,8,36.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UCB,UNITED COMMUNITY BANKS INC,Financials,9,35.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GL,Globe Life,Financials,10,182.979996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LLYVK,"Liberty Live Holdings, Inc. - Series C Liberty Live Group Common Stock",,11,105.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MFIN,MEDALLION FINANCIAL CORP,Financials,12,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NTB,BANK OF NT BUTTERFIELD & SON LTD,Financials,13,61.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FBK,FB FINANCIAL CORP,Financials,14,60.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SEPN,SEPTERNA INC,Health Care,15,35.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IRON,DISC MEDICINE INC,Health Care,16,79.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VCYT,VERACYTE INC,Health Care,17,59.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,EVC,ENTRAVISION COMMUNICATIONS CORP CL,Communication,18,11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,YUM,Yum! Brands,Consumer Discretionary,19,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EWTX,EDGEWISE THERAPEUTICS INC,Health Care,20,41.119999,,,,,,,,39,41.599998,,,,,,,,,,,,,,,,,,,
21,SB,SAFE BULKERS INC,Industrials,21,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MRX,MAREX GROUP LTD,Financials,22,65.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RVMD,"Revolution Medicines, Inc. - Common Stock",,23,192.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ZNTL,ZENTALIS PHARMACEUTICALS INC,Health Care,24,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PVLA,PALVELLA THERAPEUTICS INC,Health Care,25,150.190002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MCHB,MECHANICS BANCORP CLASS A,Financials,26,16.6,,42,16.49,0.00667071,,,,,,,,,,,,,,,,,,,,,,,,
27,KDP,Keurig Dr Pepper,Consumer Staples,27,31.57,,48,31.450001,0.00381555,,,,,,,,,,,,,,,,,,,,,,,,
28,RDNT,RADNET INC,Health Care,28,62.689999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,STNE,STONECO LTD CLASS A,Financials,29,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TYRA,TYRA BIOSCIENCES INC,Health Care,30,33.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ROKU,"Roku, Inc. - Class A Common Stock",,31,145.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MBX,MBX BIOSCIENCES INC,Health Care,32,66.459999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ROK,Rockwell Automation,Industrials,33,471.01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DNLI,DENALI THERAPEUTICS INC,Health Care,34,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FCX,Freeport-McMoRan,Materials,35,63.439999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",,36,131.895004,,,,,,,,,,,,,,,,,,,,,,,33,134.199997,,,,
37,VSAT,VIASAT INC,Information Technology,37,77.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,LPG,DORIAN LPG LTD,Energy,38,46.240002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WLTH,WEALTHFRONT CORP,Financials,39,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DD,DuPont,Materials,40,138.839996,,,,,,,,,,,,,,,,,,,,27,138.820007,,,,,,,
41,ULCC,FRONTIER GROUP HOLDINGS INC,Industrials,41,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LLYVA,"Liberty Live Holdings, Inc. - Series A Liberty Live Group Common Stock",,42,102.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,HLF,HERBALIFE LTD,Consumer Staples,43,12.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ARVN,ARVINAS INC,Health Care,44,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CFFN,CAPITOL FEDERAL FINANCIAL INC,Financials,45,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TRMK,TRUSTMARK CORP,Financials,46,47.540001,,25,46.93,0.01299810,11,46.77,0.00342100,,,,,,,,,,,,,,,,,,,,,
47,IEX,IDEX Corporation,Industrials,47,233.770004,,,,,3,224.800003,,,,,,,,,,,,,,,,,,,,,,
48,CTS,CTS CORP,Information Technology,48,62.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UAL,United Airlines Holdings,Industrials,49,123.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BUR,BURFORD CAPITAL LTD,Financials,50,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
