current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,HII,Huntington Ingalls Industries,Industrials,1,300.390015,,,,,,,,,,,,,,,,,,,
2,ILMN,"Illumina, Inc. - Common Stock",,2,197.050003,,,,,,,,,,,,,,,,,,,
3,CVSA,COVISTA INC,Consumer Discretionary,3,128.535004,,,,,,,,,,,,,,,,,,,
4,FDBC,FIDELITY D AND D BANCORP INC,Financials,4,53.040001,,,,,,,,,,,,,,,,,,,
5,RGR,STURM RUGER INC,Consumer Discretionary,5,39.509998,,,,,,,,,,,,,,,,,,,
6,EL,Estée Lauder Companies (The),Consumer Staples,6,84.589996,,4,84.146004,0.00527645,,,,,,,,,,,,,,,
7,DDOG,Datadog,Information Technology,7,267.809998,,1,264.200012,0.01366384,,,,,,,,,,,,,,,
8,GEHC,GE HealthCare,Health Care,8,68.504997,,,,,,,,,,,,,,,,,,,
9,BKR,Baker Hughes,Energy,9,59.505001,,7,58.720001,0.01336853,,,,,,,,,,,,,,,
10,MFIN,MEDALLION FINANCIAL CORP,Financials,10,10.19,,,,,,,,,,,,,,,,,,,
11,IRTC,IRHYTHM HOLDINGS INC,Health Care,11,120.550003,,,,,,,,,,,,,,,,,,,
12,MCHB,MECHANICS BANCORP CLASS A,Financials,12,16.799999,,12,16.49,0.01879921,,,,,,,,,,,,,,,
13,CZFS,CITIZENS FINANCIAL SERVICES INC,Financials,13,78.519997,,,,,,,,,,,,,,,,,,,
14,CPRT,Copart,Industrials,14,29.07,,,,,,,,,,,,,,,,,,,
15,WHD,CACTUS INC CLASS A,Energy,15,57.499802,,,,,,,,,,,,,,,,,,,
16,YOU,CLEAR SECURE INC CLASS A,Information Technology,16,56.860001,,9,58.404999,-0.02645318,,,,,,,,,,,,,,,
17,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,17,31.84,,16,31.93,-0.00281867,,,,,,,,,,,,,,,
18,NHC,NATIONAL HEALTHCARE CORP,Health Care,18,229.25,,,,,,,,,,,,,,,,,,,
19,QTWO,Q2 HOLDINGS INC,Information Technology,19,59.0,,,,,,,,,,,,,,,,,,,
20,SEPN,SEPTERNA INC,Health Care,20,35.669998,,,,,,,,,,,,,,,,,,,
21,CRAI,CRA INTERNATIONAL INC,Industrials,21,183.199997,,,,,,,,,,,,,,,,,,,
22,DOX,Amdocs Limited - Ordinary Shares,,22,54.549999,,,,,,,,,,,,,,,,,,,
23,BKE,BUCKLE INC,Consumer Discretionary,23,44.169998,,15,45.009998,-0.01866252,,,,,,,,,,,,,,,
24,CTNM,CONTINEUM THERAPEUTICS INC CLASS A,Health Care,24,15.075,,,,,,,,,,,,,,,,,,,
25,DD,DuPont,Materials,25,139.929993,,,,,32,140.779999,,,,,,,,,,,,,
26,LVS,Las Vegas Sands,Consumer Discretionary,26,49.540001,,,,,,,,,,,,,,,,,,,
27,FIVE,"Five Below, Inc. - Common Stock",,27,213.669907,,20,209.490005,0.01995275,,,,,,,,,,,,,,,
28,TK,TEEKAY CORPORATION CORP LTD,Energy,28,11.34,,,,,,,,,,,,,,,,,,,
29,LEU,CENTRUS ENERGY CORP CLASS A,Energy,29,174.714996,,,,,,,,,,,,,,,,,,,
30,LLYVK,"Liberty Live Holdings, Inc. - Series C Liberty Live Group Common Stock",,30,104.050003,,,,,,,,,,,,,,,,,,,
31,LLYVA,"Liberty Live Holdings, Inc. - Series A Liberty Live Group Common Stock",,31,100.875,,,,,,,,,,,,,,,,,,,
32,FOXA,Fox Corporation (Class A),Communication Services,32,57.645,,,,,,,,,,,,,,,,,,,
33,RDNT,RADNET INC,Health Care,33,63.009998,,39,63.369999,-0.00568094,,,,,,,,,,,,,,,
34,WOR,WORTHINGTON ENTERPRISES INC,Industrials,34,55.605,,,,,,,,,,,,,,,,,,,
35,CSW,CSW INDUSTRIALS INC,Industrials,35,311.230011,,,,,,,,,,,,,,,,,,,
36,FIS,Fidelity National Information Services,Financials,36,45.59,,,,,,,,5,43.150002,,,,,,,,,,
37,BMY,Bristol Myers Squibb,Health Care,37,63.580002,,,,,,,,,,,,,,,,,,,
38,VSAT,VIASAT INC,Information Technology,38,76.089996,,,,,,,,,,,,,,,,,,,
39,EVTC,EVERTEC INC,Financials,39,31.450001,,,,,,,,,,,,,,,,,,,
40,FIVN,FIVE9 INC,Information Technology,40,27.35,,,,,,,,,,,,,,,,,,,
41,CPAY,Corpay,Financials,41,383.464996,,,,,,,,,,,,,,,,,,,
42,PEP,PepsiCo,Consumer Staples,42,140.059998,,,,,,,,,,,,,,,,,,,
43,SGRY,SURGERY PARTNERS INC,Health Care,43,16.190001,,,,,,,,,,,,,,,,,,,
44,CMC,COMMERCIAL METALS,Materials,44,68.989998,,44,68.099998,0.01306902,,,,,,,,,,,,,,,
45,FISV,Fiserv,Financials,45,53.275002,,,,,,,,46,52.310001,,,,,,,,,,
46,ARVN,ARVINAS INC,Health Care,46,8.3,,,,,,,,,,,,,,,,,,,
47,STRT,STRATTEC SECURITY CORP,Consumer Discretionary,47,89.790001,,,,,,,,,,,,,,,,,,,
48,PDD,PDD Holdings Inc. - American Depositary Shares,,48,86.139999,,8,88.32,-0.02468298,,,,,,,,,,,,,,,
49,WYNN,Wynn Resorts,Consumer Discretionary,49,100.754997,,,,,,,,,,,,,,,,,,,
50,BLLN,"BillionToOne, Inc. - Class A common stock",,50,135.470001,,,,,,,,,,,,,,,,,,,
