current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,RGR,STURM RUGER INC,Consumer Discretionary,1,40.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EL,Estée Lauder Companies (The),Consumer Staples,2,84.68,,18,84.146004,0.00634606,,,,,,,,,,,,,,,,,,,,,,,,
3,HII,Huntington Ingalls Industries,Industrials,3,304.649994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LEU,CENTRUS ENERGY CORP CLASS A,Energy,4,173.977295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DDOG,Datadog,Information Technology,5,267.559998,,7,264.200012,0.01271758,,,,,,,,,,,,,,,,,,,,,,,,
6,DOLE,DOLE PLC,Consumer Staples,6,14.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FDBC,FIDELITY D AND D BANCORP INC,Financials,7,53.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GEHC,GE HealthCare,Health Care,8,69.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ILMN,"Illumina, Inc. - Common Stock",,9,199.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MFIN,MEDALLION FINANCIAL CORP,Financials,10,10.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,OPCH,OPTION CARE HEALTH INC,Health Care,11,23.120001,,,,,8,22.48,,,,,,,,,,,,,,,,,,,,,,
12,IRTC,IRHYTHM HOLDINGS INC,Health Care,12,121.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ZM,"Zoom Communications, Inc. - Class A Common Stock",,13,91.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
