current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,TALO,TALOS ENERGY INC,Energy,1,15.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HMH,HMH HOLDING INC CLASS A,Energy,2,20.790001,,,,,,,,,,,,,,,,,,,,45,21.049999,,6,19.85,0.06045335,,,,,,
3,SDRL,SEADRILL LTD,Energy,3,44.825001,,,,,,,,,,,,,,,,,,,,,,,41,43.959999,,32,42.456001,0.03542486,,,
4,TPG,TPG Inc. - Class A Common Stock,,4,43.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,JCI,Johnson Controls,Industrials,5,146.669998,,,,,,,,,,,,,,35,143.449997,,,,,,,,,,,,,,,,
6,TYRA,TYRA BIOSCIENCES INC,Health Care,6,31.879999,,3,33.060001,-0.03569274,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,7,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AVT,"Avnet, Inc. - Common Stock",,8,88.839996,,,,,,,,,,,,,,,,,,,,,,,45,89.849998,,,,,,,
9,APO,Apollo Global Management,Financials,9,125.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ANET,Arista Networks,Information Technology,10,180.315002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ALMS,ALUMIS INC,Health Care,11,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BETA,BETA TECHNOLOGIES INC CLASS A,Industrials,12,18.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NBR,NABORS INDUSTRIES LTD,Energy,13,85.620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FSS,FEDERAL SIGNAL CORP,Industrials,14,124.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AVGO,Broadcom,Information Technology,15,389.279999,,,,,,,,,,,,,,,,,,,,35,396.809998,,,,,,,,,,
16,HPE,Hewlett Packard Enterprise,Information Technology,16,47.860001,,,,,,,,,,,,,,,,,,,,47,48.149899,,,,,,,,,,
17,BBT,BEACON FINANCIAL CORP,Financials,17,31.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
