current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,JCI,Johnson Controls,Industrials,1,145.089996,,,,,,,,,,,,,,18,143.449997,,5,143.300003,0.00104671,,,,,,,,,,,,
2,CHTR,Charter Communications,Communication Services,2,143.559998,,19,142.0,0.01098590,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PRLD,PRELUDE THERAPEUTICS INC,Health Care,3,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ROK,Rockwell Automation,Industrials,4,472.825012,,37,471.01001,0.00385343,,,,41,471.320007,,,,,,,,,,,,,,,,,,,,,,
5,LBRDK,Liberty Broadband Corporation - Class C Common Stock,,5,33.764999,,1,33.360001,0.01214023,9,34.099998,-0.02170079,,,,,,,,,,,,,,,,,,,,,,,,
6,WLFC,WILLIS LEASE FINANCE CORP,Industrials,6,72.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FSS,FEDERAL SIGNAL CORP,Industrials,7,123.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FCX,Freeport-McMoRan,Materials,8,62.290001,,,,,,,,,,,,,,,,,,,,28,64.989998,,,,,,,,,,
9,WEST,WESTROCK COFFEE,Consumer Staples,9,8.09,,45,8.17,-0.00979192,39,8.18,-0.00122249,,,,,,,,,,,,,,,,,,,,,,,,
10,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,10,20.035,,2,20.379999,-0.01692831,14,20.58,-0.00971822,,,,,,,,,,,,,,,,,,,10,19.629999,,32,19.745001,-0.00582436
11,DRI,Darden Restaurants,Consumer Discretionary,11,205.130005,,6,206.970001,-0.00889016,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,EL,Estée Lauder Companies (The),Consumer Staples,12,84.160004,,3,84.879997,-0.00848248,22,84.146004,0.00872285,8,84.730003,-0.00689247,,,,,,,,,,,,,,,,2,83.639999,,,,
13,TALO,TALOS ENERGY INC,Energy,13,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FSUN,FIRSTSUN CAPITAL BANCORP,Financials,14,38.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MH,MCGRAW HILL INC,Consumer Discretionary,15,10.73,,8,10.82,-0.00831793,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LVS,Las Vegas Sands,Consumer Discretionary,16,48.919998,,,,,45,48.560001,,,,,,,,,,,,,,,,,,,,,,,,,
17,CAL,CALERES INC,Consumer Discretionary,17,12.81,,10,13.02,-0.01612903,47,12.86,0.01244168,,,,,,,,,,,,,,,,,,,,,,,,
18,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,18,17.780001,,12,17.879999,-0.00559273,,,,21,17.625,,,,,,,,,,,,,,,,,,,,,,
