current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,TYRA,TYRA BIOSCIENCES INC,Health Care,1,31.450001,,4,33.060001,-0.04869933,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,STNE,STONECO LTD CLASS A,Financials,2,11.14,,8,11.43,-0.02537183,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WY,Weyerhaeuser,Real Estate,3,24.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUR,ASURE SOFTWARE INC,Industrials,4,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,5,106.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ZG,"Zillow Group, Inc. - Class A Common Stock",,6,34.119999,,,,,30,34.32,,,,,,,,,,,,,,,,,,,,,,,,,
7,FBK,FB FINANCIAL CORP,Financials,7,60.02,,20,60.099998,-0.00133108,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ZM,"Zoom Communications, Inc. - Class A Common Stock",,8,94.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MLAB,MESA LABORATORIES INC,Health Care,9,99.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,JCI,Johnson Controls,Industrials,10,145.505005,,,,,,,,,,,,,,40,143.449997,,,,,,,,,,,,,,,,
11,FIVE,"Five Below, Inc. - Common Stock",,11,214.320007,,,,,10,209.490005,,,,,,,,,,,,,,,,,,,,3,204.139999,,,,
12,KKR,KKR & Co.,Financials,12,100.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MRX,MAREX GROUP LTD,Financials,13,65.290001,,7,65.919998,-0.00955699,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CASS,CASS INFORMATION SYSTEMS INC,Financials,14,55.830002,,,,,,,,,,,,,,45,54.25,,,,,,,,,,,,,,,,
15,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,15,45.41,,,,,,,,,,,,,,18,43.584999,,,,,,,,,,,,,,,,
16,MBX,MBX BIOSCIENCES INC,Health Care,16,65.349998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MC,MOELIS CLASS A,Financials,17,67.529999,,1,68.349998,-0.01199706,,,,,,,15,67.790001,,,,,,,,,,,,,,,,,,,
18,ARES,Ares Management,Financials,18,127.184998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,125.68,
19,XMAX,XMAX INC,Consumer Discretionary,19,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TK,TEEKAY CORPORATION CORP LTD,Energy,20,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PKOH,PARK OHIO HOLDINGS CORP,Industrials,21,40.349998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,APO,Apollo Global Management,Financials,22,124.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,OSIS,OSI SYSTEMS INC,Information Technology,23,222.619995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,INVX,INNOVEX INTERNATIONAL INC,Energy,24,27.280001,,,,,,,,,,,,,,,,,16,26.684999,,38,27.190001,-0.01857308,,,,,,,,,
25,MNPR,MONOPAR THERAPEUTICS INC,Health Care,25,114.654999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BEN,Franklin Resources,Financials,26,33.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ILMN,"Illumina, Inc. - Common Stock",,27,199.664993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SHOO,STEVEN MADDEN LTD,Consumer Discretionary,28,46.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FSLY,FASTLY INC CLASS A,Information Technology,29,21.719999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.719999,
30,BSX,Boston Scientific,Health Care,30,45.415001,,22,46.0,-0.01271737,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CVI,CVR ENERGY INC,Energy,31,35.490002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
