current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,JCI,Johnson Controls,Industrials,1,146.714996,,,,,,,,,,,,,,12,143.449997,,,,,,,
2,AVGO,Broadcom,Information Technology,2,389.040009,,,,,,,,,,,,,,,,,,,,36,396.809998,
3,Z,"Zillow Group, Inc. - Class C Capital Stock",,3,34.189999,,,,,25,34.0,,,,,,,,,,,,,,,,
4,TPG,TPG Inc. - Class A Common Stock,,4,43.490002,,,,,,,,25,43.759998,,,,,,,,,,,,,
5,NTRS,Northern Trust,Financials,5,182.539993,,,,,,,,,,,,,,,,,,,,,,
6,TALO,TALOS ENERGY INC,Energy,6,14.965,,,,,,,,,,,,,,,,,,,,,,
7,HMH,HMH HOLDING INC CLASS A,Energy,7,20.950001,,,,,,,,,,,,,,,,,,,,23,21.049999,
8,AMT,American Tower,Real Estate,8,172.744995,,44,174.460007,-0.00983040,,,,,,,,,,,,,,,,,,
9,ANET,Arista Networks,Information Technology,9,180.619995,,,,,,,,,,,,,,,,,,,,,,
10,DVN,Devon Energy,Energy,10,44.849998,,,,,,,,,,,,,,46,45.041302,,,,,9,44.860001,
11,APA,APA Corporation,Energy,11,37.130001,,13,36.330002,0.02202034,,,,,,,,,,,,,,,,49,36.18,
12,FSS,FEDERAL SIGNAL CORP,Industrials,12,126.419998,,,,,,,,,,,,,,,,,,,,,,
13,SDRL,SEADRILL LTD,Energy,13,44.785,,,,,,,,,,,,,,,,,,,,,,
14,TYRA,TYRA BIOSCIENCES INC,Health Care,14,31.889999,,6,33.060001,-0.03539026,,,,,,,,,,,,,,,,,,
15,ALMS,ALUMIS INC,Health Care,15,28.030001,,,,,,,,,,,,,,,,,,,,,,
16,FDBC,FIDELITY D AND D BANCORP INC,Financials,16,53.009998,,,,,,,,,,,,,,,,,,,,,,
17,PKOH,PARK OHIO HOLDINGS CORP,Industrials,17,39.895,,,,,,,,,,,,,,,,,,,,,,
18,HPE,Hewlett Packard Enterprise,Information Technology,18,47.75,,,,,,,,,,,,,,,,,,,,,,
19,BSX,Boston Scientific,Health Care,19,46.27,,8,46.0,0.00586957,,,,,,,,,,,,,,,,,,
20,MTX,MINERALS TECHNOLOGIES INC,Materials,20,76.309998,,,,,,,,,,,,,,,,,,,,,,
21,FCX,Freeport-McMoRan,Materials,21,62.77,,,,,,,,,,,,,,,,,,,,,,
22,TRMB,Trimble Inc.,Information Technology,22,56.900002,,,,,,,,,,,12,55.77,,,,,,,,,,
23,HSIC,Henry Schein,Health Care,23,85.934998,,,,,,,,,,,,,,,,,,,,,,
24,EXE,Expand Energy,Energy,24,93.639999,,,,,,,,,,,,,,28,91.519997,,3,91.730003,-0.00228939,48,93.169998,-0.01545557
25,FISV,Fiserv,Financials,25,53.715,,,,,,,,,,,46,52.310001,,,,,,,,,,
26,TMDX,TRANSMEDICS GROUP INC,Health Care,26,75.925003,,,,,,,,5,76.290001,,,,,,,,,,,,,
27,BBT,BEACON FINANCIAL CORP,Financials,27,31.139999,,,,,,,,,,,,,,,,,,,,,,
28,PI,IMPINJ INC,Information Technology,28,148.470001,,,,,,,,,,,,,,,,,,,,,,
29,PDD,PDD Holdings Inc. - American Depositary Shares,,29,88.279999,,40,87.440002,0.00960655,8,88.32,-0.00996375,,,,,,,,,,,,,,,
30,FOXA,Fox Corporation (Class A),Communication Services,30,58.290001,,,,,,,,,,,,,,,,,,,,,,
31,ZG,"Zillow Group, Inc. - Class A Common Stock",,31,34.775002,,,,,43,34.32,,,,,,,,,,,,,,,,
32,FOX,Fox Corporation (Class B),Communication Services,32,52.049999,,27,52.34,-0.00554071,,,,,,,,,,,,,,,,,,
33,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,33,86.269997,,,,,,,,,,,,,,,,,,,,,,
34,CNX,CNX RESOURCES CORP,Energy,34,35.224998,,,,,,,,,,,,,,,,,24,34.450001,,50,34.639999,-0.00548493
35,PFE,Pfizer,Health Care,35,25.115,,,,,,,,6,25.26,,,,,,,,,,,,,
36,AVT,"Avnet, Inc. - Common Stock",,36,88.455002,,,,,,,,,,,,,,,,,,,,,,
37,DOW,Dow Inc.,Materials,37,30.215,,,,,,,,,,,,,,,,,,,,,,
38,WY,Weyerhaeuser,Real Estate,38,24.7861,,,,,,,,,,,,,,,,,,,,,,
39,KVHI,KVH INDUSTRIES INC,Information Technology,39,9.36,,,,,,,,,,,,,,,,,,,,,,
40,CADL,CANDEL THERAPEUTICS INC,Health Care,40,10.035,,,,,,,,,,,,,,,,,,,,,,
41,MC,MOELIS CLASS A,Financials,41,67.095001,,1,68.349998,-0.01836133,,,,,,,10,67.790001,,,,,,,,,,
42,CMCSA,Comcast,Communication Services,42,24.125,,,,,,,,,,,,,,,,,,,,,,
43,UHS,Universal Health Services,Health Care,43,167.445007,,23,163.289993,0.02544561,,,,,,,31,159.25,,2,155.839996,0.02188144,,,,,,
44,COST,Costco,Consumer Staples,44,953.5,,,,,,,,,,,,,,,,,,,,,,
45,INVX,INNOVEX INTERNATIONAL INC,Energy,45,28.035,,,,,,,,,,,,,,,,,31,26.684999,,15,27.190001,-0.01857308
46,HLNE,Hamilton Lane Incorporated - Class A Common Stock,,46,88.859398,,,,,,,,,,,,,,,,,,,,,,
47,APO,Apollo Global Management,Financials,47,124.525002,,,,,,,,,,,,,,,,,,,,,,
48,BETA,BETA TECHNOLOGIES INC CLASS A,Industrials,48,18.85,,,,,,,,,,,,,,,,,,,,,,
49,RMD,ResMed,Health Care,49,210.729996,,43,208.559998,0.01040467,,,,19,209.020004,,,,,,,,,,,,,
50,MAT,"Mattel, Inc. - Common Stock",,50,15.14,,,,,,,,,,,,,,,,,,,,,,
