rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,AVGO,Broadcom,Information Technology,85.93,优先Call候选,389.040009,53.66,0.19,0.00834563,0.01864264,0.05353812,92.8,73.77,100.0,80.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
2,TYRA,TYRA BIOSCIENCES INC,Health Care,85.86,优先Call候选,31.889999,52.85,0.47,-0.00468171,0.03876215,0.08432503,90.4,76.47,100.0,81.49,30.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
3,TPG,TPG Inc. - Class A Common Stock,,85.33,优先Call候选,43.490002,55.71,0.21,0.02716112,0.01552834,0.07395982,98.2,67.17,100.0,82.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
4,ANET,Arista Networks,Information Technology,84.77,优先Call候选,180.619995,59.09,0.19,0.06834645,0.03774773,0.08363332,92.8,68.66,91.6,81.84,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
5,BSX,Boston Scientific,Health Care,84.07,优先Call候选,46.27,59.38,0.2,0.02062426,0.04529540,0.07479677,87.7,73.89,100.0,81.84,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
6,AMT,American Tower,Real Estate,83.76,优先Call候选,172.744995,54.49,0.26,-0.00687023,0.03632487,0.04000595,87.7,72.84,83.8,81.84,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
7,MCHB,MECHANICS BANCORP CLASS A,Financials,83.51,优先Call候选,16.719999,63.48,0.16,-0.00624083,0.06632647,0.02231727,75.1,81.33,72.6,81.49,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
8,TALO,TALOS ENERGY INC,Energy,83.2,优先Call候选,14.965,59.05,0.18,0.04650350,0.00234427,0.11098738,98.2,76.97,80.4,81.49,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
9,STNE,STONECO LTD CLASS A,Financials,82.78,优先Call候选,11.2605,54.21,0.23,0.01263489,0.04700139,0.02368182,82.9,75.42,88.8,81.49,30.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
10,UHS,Universal Health Services,Health Care,82.43,优先Call候选,167.445007,65.62,0.26,0.03380259,0.07495026,0.11192650,75.1,77.48,100.0,81.84,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
11,TRMB,Trimble Inc.,Information Technology,82.32,优先Call候选,56.900002,62.15,0.17,0.00264321,0.07541111,0.08216051,75.1,77.02,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
12,TMDX,TRANSMEDICS GROUP INC,Health Care,82.28,优先Call候选,75.925003,56.07,0.09,0.01754729,0.04883277,0.11736580,75.1,76.87,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
13,HLNE,Hamilton Lane Incorporated - Class A Common Stock,,82.28,优先Call候选,88.859398,62.86,0.13,-0.00314787,0.06827841,0.12980796,75.1,76.88,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
14,EXE,Expand Energy,Energy,82.22,优先Call候选,93.639999,60.82,0.14,0.03127749,0.02327611,0.04520597,75.1,76.68,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
15,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,82.2,优先Call候选,36.07,62.86,0.17,-0.00372882,0.05901347,0.12472716,75.1,76.94,100.0,81.49,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
16,FISV,Fiserv,Financials,82.18,优先Call候选,53.715,57.28,0.16,0.00158492,0.05282242,0.05904966,75.1,76.54,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
17,RMD,ResMed,Health Care,82.18,优先Call候选,210.729996,60.79,0.28,0.01703667,0.07900662,0.04788657,75.1,76.64,100.0,81.84,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
18,MAT,"Mattel, Inc. - Common Stock",,82.12,优先Call候选,15.14,62.93,0.15,0.00066094,0.05571439,0.10109091,75.1,76.34,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
19,PDD,PDD Holdings Inc. - American Depositary Shares,,81.99,优先Call候选,88.279999,61.88,0.09,0.01806405,0.06760185,0.06954202,75.1,75.91,100.0,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
20,COST,Costco,Consumer Staples,81.92,优先Call候选,953.5,54.39,0.18,0.00210194,0.01946992,0.03111181,87.7,73.95,100.0,82.0,30.0,45.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
21,CNX,CNX RESOURCES CORP,Energy,81.92,优先Call候选,35.224998,65.01,0.27,0.03208312,0.02696790,0.05039505,75.1,76.03,100.0,81.49,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
22,HMH,HMH HOLDING INC CLASS A,Energy,81.83,优先Call候选,20.950001,57.72,0.71,0.07518604,-0.02761657,0.14044637,98.2,77.46,72.7,81.49,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
23,DCH,DAUCH CORPORATION,Consumer Discretionary,81.82,优先Call候选,5.66,54.58,0.16,-0.01906412,0.03284672,0.07809524,87.7,73.95,83.8,81.49,30.0,45.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
24,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,81.82,优先Call候选,23.549999,57.65,0.08,0.01029601,0.05558046,0.06416629,75.1,75.68,100.0,81.49,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
25,LVS,Las Vegas Sands,Consumer Discretionary,81.61,优先Call候选,49.183998,64.86,0.23,-0.00888669,0.06701371,0.06366773,75.1,74.74,83.8,81.84,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
26,FDBC,FIDELITY D AND D BANCORP INC,Financials,81.53,优先Call候选,53.009998,58.09,1.49,-0.00150691,0.05324848,0.02812252,75.1,60.7,100.0,81.49,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
