rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,GILD,Gilead Sciences,Health Care,100.0,强共识候选,135.25,60.13,1.95,0.04601699,0.00624951,0.04319326,98.2,67.94,80.4,84.02,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 7 个榜单触发；平均名次 #5.3；最高分 100.0；单一信号 · EMA Candle Capture #1；Aster Call #2；Aster v5 · Risk Adjusted #2；单一趋势 · Trend Relay #2；Aster v2 · Balanced Call #3；Aster v4 · Tactical Breakout #11；Aster v3 · Quality Momentum #16
2,KMT,KENNAMETAL INC,Industrials,100.0,强共识候选,36.099998,63.89,2.76,0.03825131,0.01347555,0.05493854,98.2,72.94,80.4,83.11,66.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #10.3；最高分 97.0；Aster v3 · Quality Momentum #2；Aster v5 · Risk Adjusted #5；单一信号 · 4H EMA 三线翻转 #7；Aster Call #9；Aster v2 · Balanced Call #12；Aster v4 · Tactical Breakout #27
3,NWSA,News Corp (Class A),Communication Services,100.0,强共识候选,28.59,60.29,1.41,0.02620240,0.01436938,0.07360124,82.9,67.11,88.8,84.02,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #24.6；最高分 100.0；单一趋势 · Trend Relay #10；Aster v3 · Quality Momentum #20；Aster v5 · Risk Adjusted #23；Aster v2 · Balanced Call #27；Aster v4 · Tactical Breakout #43
4,NWS,News Corp (Class B),Communication Services,100.0,强共识候选,32.720001,62.6,1.75,0.03087590,0.02860742,0.09030327,82.9,62.64,100.0,84.02,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #30.2；最高分 100.0；Aster v2 · Balanced Call #16；Aster v5 · Risk Adjusted #25；单一趋势 · Trend Relay #28；Aster v3 · Quality Momentum #33；Aster v4 · Tactical Breakout #49
5,CROX,"Crocs, Inc. - Common Stock",,100.0,强共识候选,141.190002,63.04,0.79,0.06046269,0.03823808,0.12251553,98.2,55.99,91.6,84.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #29.4；最高分 96.5；Aster Call #17；Aster v2 · Balanced Call #23；Aster v4 · Tactical Breakout #33；Aster v5 · Risk Adjusted #36；Aster v3 · Quality Momentum #38
6,LCII,LCI INDUSTRIES,Consumer Discretionary,100.0,强共识候选,107.209999,58.25,0.75,0.04237158,-0.00371715,0.02554044,98.2,68.54,72.7,83.11,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #27.6；最高分 97.0；Aster v5 · Risk Adjusted #19；单一信号 · EMA Candle Capture #25；Aster Call #28；Aster v4 · Tactical Breakout #28；Aster v2 · Balanced Call #38
7,CRBP,CORBUS PHARMACEUTICALS HOLDINGS,Health Care,100.0,强共识候选,9.4,62.06,0.86,0.05855856,0.03524229,0.04444444,98.2,69.38,91.6,83.11,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #19.2；最高分 97.0；Aster v3 · Quality Momentum #7；Aster v2 · Balanced Call #17；Aster Call #20；Aster v4 · Tactical Breakout #26；单一信号 · EMA Candle Capture #26
8,NGVT,INGEVITY CORP,Materials,100.0,强共识候选,75.633003,58.7,0.99,0.03161701,0.01479946,0.02483740,92.8,67.63,77.6,83.11,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #34.2；最高分 95.7；Aster v3 · Quality Momentum #9；Aster Call #35；Aster v5 · Risk Adjusted #38；Aster v4 · Tactical Breakout #39；Aster v2 · Balanced Call #50
9,SEG,SEAPORT ENTERTAINMENT GROUP INC,Real Estate,100.0,强共识候选,26.73,60.31,1.77,0.02042374,0.01365184,-0.00196020,98.2,54.96,69.9,83.11,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #25.8；最高分 100.0；Aster v4 · Tactical Breakout #3；单一信号 · EMA Candle Capture #5；Aster Call #29；Aster v2 · Balanced Call #45；Aster v5 · Risk Adjusted #47
10,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,100.0,强共识候选,11.01,58.46,1.97,0.01709007,0.06171649,0.10542169,90.4,78.5,100.0,83.11,100.0,72.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #11.0；最高分 93.0；Aster v3 · Quality Momentum #1；Aster v2 · Balanced Call #2；Aster v5 · Risk Adjusted #14；Aster Call #18；单一信号 · 4H EMA 三线翻转 #20
11,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,100.0,强共识候选,55.080002,62.48,1.24,0.02953275,0.01082767,0.05963836,82.9,75.89,88.8,83.11,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #21.8；最高分 95.9；Aster v3 · Quality Momentum #3；Aster v5 · Risk Adjusted #7；Aster v2 · Balanced Call #13；Aster v4 · Tactical Breakout #38；Aster Call #48
