rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,94.28,优先Call候选,75.970001,57.28,0.65,0.03656706,0.07045230,0.15526154,98.2,82.15,91.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
2,ALG,ALAMO GROUP INC,Industrials,93.8,优先Call候选,170.199997,66.38,1.01,0.07084431,0.02406739,0.00241477,92.8,78.91,80.4,82.55,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
3,DD,DuPont,Materials,93.49,优先Call候选,139.770004,54.0,1.38,0.02029344,-0.01033769,-0.00830139,95.5,73.53,62.2,82.8,100.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
4,VGNT,VERSIGENT PLC,Consumer Discretionary,93.48,优先Call候选,45.299999,66.03,1.55,0.09632137,0.03756296,0.08737396,95.5,59.06,78.4,82.55,100.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
5,SGC,SUPERIOR GROUP OF COMPANIES INC,Consumer Discretionary,93.47,优先Call候选,13.9607,64.23,1.21,0.17613311,0.05602874,0.08138652,92.8,77.06,78.4,82.55,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
6,BNTX,BioNTech SE - American Depositary Shares,,92.32,优先Call候选,91.889999,49.76,1.56,0.01356712,-0.00108814,-0.03385556,98.2,71.32,62.2,70.04,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
7,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,92.2,优先Call候选,25.450001,60.9,0.46,0.07907577,0.05689373,0.10173165,92.8,79.81,91.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
8,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,91.68,优先Call候选,20.115,64.71,0.29,0.09978124,0.06597769,0.06767516,98.2,81.03,78.4,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
9,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,91.43,优先Call候选,17.940001,66.12,1.23,0.33980590,0.20201012,0.25454552,98.2,76.26,43.4,82.55,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
10,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,91.29,优先Call候选,16.105,56.81,0.81,0.00373948,0.07942359,0.03502571,90.4,72.34,100.0,82.55,68.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
11,MGRC,MCGRATH RENT,Industrials,91.26,优先Call候选,121.105003,60.7,0.22,0.05171516,0.01726165,0.03739083,98.2,67.04,91.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
