current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,CLX,Clorox,Consumer Staples,1,100.779999,,,,,,,,,,,34,99.639999,,44,100.309998,-0.00667928,,,,,,,,,,,,
2,SMCI,Supermicro,Information Technology,2,29.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CSCO,Cisco,Information Technology,3,119.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALG,ALAMO GROUP INC,Industrials,4,170.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,5,16.105,,47,16.18,-0.00463535,,,,,,,,,,,,,,,,,,,,,,2,16.290001,
6,BANR,BANNER CORP,Financials,6,71.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,7,26.385,,16,26.23,0.00590926,,,,,,,,,,,,,,,,,,,,,,,,
8,CHMG,CHEMUNG FINANCIAL CORP,Financials,8,83.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DD,DuPont,Materials,9,139.770004,,5,141.309998,-0.01089798,,,,2,138.839996,,,,,32,140.779999,,,,,,,,,,,,,
10,AVGO,Broadcom,Information Technology,10,411.380005,,,,,16,389.279999,,,,,,,,,,,,,,,,,,,,36,396.809998,
11,HSIC,Henry Schein,Health Care,11,89.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KMT,KENNAMETAL INC,Industrials,12,35.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CODI,COMPASS DIVERSIFIED,Financials,13,10.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LASR,NLIGHT INC,Information Technology,14,74.620003,,48,70.110001,0.06432751,,,,,,,,,,,,,,,,,,,,,,,,
15,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,15,75.970001,,10,73.779999,0.02968287,,,,,,,,,,,,,,,,,,,,,,,,
16,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,16,5.17,,3,5.34,-0.03183521,,,,,,,,,,,,,,,,,,,,,,,,
17,APOG,APOGEE ENTERPRISES INC,Industrials,17,42.130001,,4,41.970001,0.00381225,,,,,,,,,,,,,,,,,,,,,,,,
18,MGRC,MCGRATH RENT,Industrials,18,121.105003,,,,,,,,,,,,,,,,,,,,,,,34,118.959999,,,,
19,ECBK,ECB BANCORP INC,Financials,19,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BNTX,BioNTech SE - American Depositary Shares,,20,91.889999,,,,,,,,,,,6,92.949997,,,,,,,,,,,,,,,,
21,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,21,25.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TCOM,Trip.com Group Limited - American Depositary Shares,,22,46.810001,,,,,,,,,,,,,,45,45.310001,,,,,,,,,,,,,
23,KE,KIMBALL ELECTRONICS INC,Information Technology,23,26.495001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AVLN,AVALYN PHARMA INC,Health Care,24,29.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NVDA,Nvidia,Information Technology,25,210.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
