current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,1,24.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PIPR,PIPER SANDLER COMPANIES,Financials,2,77.57,,,,,,,,,,,,,,21,77.470001,,,,,,,,,,,,,,,,,,,,,,
3,CRBP,CORBUS PHARMACEUTICALS HOLDINGS,Health Care,3,9.4,,,,,,,,,,,,,,,,,,,,,,,3,9.32,,,,,,,,,,,,,
4,NGVT,INGEVITY CORP,Materials,4,75.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PBI,PITNEY BOWES INC,Industrials,5,18.485001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KMT,KENNAMETAL INC,Industrials,6,36.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HFWA,HERITAGE FINANCIAL CORP,Financials,7,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WS,WORTHINGTON STEEL INC,Materials,8,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HOG,HARLEY DAVIDSON INC,Consumer Discretionary,9,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AZZ,AZZ INC,Industrials,10,152.975006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DORM,DORMAN PRODUCTS INC,Consumer Discretionary,11,147.009995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CROX,"Crocs, Inc. - Common Stock",,12,139.854996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PII,POLARIS INC,Consumer Discretionary,13,72.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SGC,SUPERIOR GROUP OF COMPANIES INC,Consumer Discretionary,14,13.9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PVLA,PALVELLA THERAPEUTICS INC,Health Care,15,150.490005,,,,,,,,46,150.190002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALG,ALAMO GROUP INC,Industrials,16,170.759995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MGRC,MCGRATH RENT,Industrials,17,120.610001,,,,,,,,,,,,,,,,,,,,,,,24,118.959999,,,,,,,,,,,,,
18,SRI,STONERIDGE INC,Consumer Discretionary,18,7.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EWBC,"East West Bancorp, Inc. - Common Stock",,19,134.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RGR,STURM RUGER INC,Consumer Discretionary,20,39.060001,,,,,,,,9,39.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,21,58.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,EXPD,Expeditors International,Industrials,22,178.119995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RZLT,REZOLUTE,Health Care,23,5.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,24,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SWKS,Skyworks Solutions,Information Technology,25,66.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PNRG,PRIMEENERGY RESOURCES CORP,Energy,26,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,16,193.395004,,23,189.860001,0.01861900,44,187.240005,0.01399271,,,
27,CMPR,CIMPRESS PLC,Industrials,27,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MATX,MATSON INC,Industrials,28,214.240005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,KMTS,KESTRA MEDICAL TECHNOLOGIES LTD,Health Care,29,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DAVE,DAVE INC CLASS A,Financials,30,430.320007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,RLAY,RELAY THERAPEUTICS INC,Health Care,31,19.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OTTR,OTTER TAIL CORP,Utilities,32,93.087799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,IIIN,INSTEEL INDUSTRIES INC,Industrials,33,32.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CENT,CENTRAL GARDEN AND PET,Consumer Staples,34,44.084999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,HP,HELMERICH & PAYNE INC,Energy,35,34.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,36,25.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WFRD,Weatherford International plc - Ordinary shares,,37,89.379997,,,,,39,87.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NRIX,NURIX THERAPEUTICS INC,Health Care,38,24.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RH,RH,Consumer Discretionary,39,187.012497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FFBC,FIRST FINANCIAL BANCORP,Financials,40,34.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,41,102.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OTIS,Otis Worldwide,Industrials,42,73.389999,,,,,,,,,,,,,,28,73.614998,,,,,,,,,,,,,,,,,,,,,,
43,JBI,JANUS INTERNATIONAL GROUP INC,Industrials,43,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NVDA,Nvidia,Information Technology,44,212.634995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,OLED,Universal Display Corporation - Common Stock,,45,85.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,FTK,FLOTEK INDUSTRIES INC,Materials,46,26.924999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DAN,DANA INCORPORATED INC,Consumer Discretionary,47,27.690001,,33,27.620001,0.00253440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,HOV,HOVNANIAN ENTERPRISES INC CLASS A,Consumer Discretionary,48,136.005005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,LOVE,LOVESAC COMPANY,Consumer Discretionary,49,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SIGI,SELECTIVE INSURANCE GROUP INC,Financials,50,96.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,98.760002,,,,,,,
