current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,1,71.029999,,,,,,,,,,,,,,,,,,,,,,,,,,14,73.239998,,5,72.389999,0.01174194,,,,15,66.720001,,,,
2,SDGR,SCHRODINGER INC,Health Care,2,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VHI,VALHI INC,Materials,3,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MBC,MASTERBRAND,Industrials,4,9.15,,31,9.48,-0.03481013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AVAV,"AeroVironment, Inc. - Common Stock",,5,168.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WYNN,Wynn Resorts,Consumer Discretionary,6,101.150002,,,,,,,,41,99.309998,,18,100.699997,-0.01380337,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARVN,ARVINAS INC,Health Care,7,8.4,,,,,,,,,,,4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FPI,FARMLAND PARTNERS INC,Real Estate,8,9.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,9,11.05,,20,11.01,0.00363306,,,,,,,,,,,,,,,,42,10.72,,,,,,,,,,,,,,,,,,,
10,CODI,COMPASS DIVERSIFIED,Financials,10,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KN,KNOWLES,Information Technology,11,39.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HUBB,Hubbell Incorporated,Industrials,12,513.849976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,VISN,VISTANCE NETWORKS INC,Information Technology,13,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AAL,"American Airlines Group, Inc. - Common Stock",,14,16.58,,47,16.559999,0.00120779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOFI,"SoFi Technologies, Inc.  - Common Stock",,15,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SXI,STANDEX INTERNATIONAL CORP,Industrials,16,326.519012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FOR,FORESTAR GROUP INC,Real Estate,17,29.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GOOG,Alphabet Inc. (Class C),Communication Services,18,360.130005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LEN,Lennar,Consumer Discretionary,19,87.870003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MZTI,MARZETTI,Consumer Staples,20,111.260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GRC,GORMAN-RUPP,Industrials,21,85.139999,,2,85.489998,-0.00409403,3,82.809998,0.03236324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,22,160.710007,,39,158.509995,0.01387933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ORMP,ORAMED PHARMACEUTICALS INC,Health Care,23,4.32,,4,4.46,-0.03139013,9,4.39,0.01594533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRNS,TRANSCAT,Industrials,24,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EQIX,Equinix,Real Estate,25,1056.199951,,,,,,,,,,,,,,,,,,,,27,1046.790039,,,,,,,,,,,,,,,,,,,
26,C,Citigroup,Financials,26,137.634995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KE,KIMBALL ELECTRONICS INC,Information Technology,27,26.780001,,,,,4,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
