current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,MOS,Mosaic Company (The),Materials,1,23.584999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DXPE,DXP ENTERPRISES,Industrials,2,170.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HOV,HOVNANIAN ENTERPRISES CLASS A,Consumer Discretionary,3,138.845001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DORM,DORMAN PRODUCTS,Consumer Discretionary,4,144.630005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LCII,LCI INDUSTRIES,Consumer Discretionary,5,107.639999,,28,107.209999,0.00401082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARVN,ARVINAS INC,Health Care,6,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SEG,SEAPORT ENTERTAINMENT GROUP INC,Real Estate,7,26.594999,,29,26.73,-0.00505054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MATX,MATSON INC,Industrials,8,212.389999,,5,213.660004,-0.00594405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TNC,TENNANT,Industrials,9,88.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NVDA,Nvidia,Information Technology,10,219.574997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,11,25.370001,,41,25.09,0.01115986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,12,24.4757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EWTX,EDGEWISE THERAPEUTICS INC,Health Care,13,44.709999,,,,,,,,,,,21,41.119999,,,,,,,,50,41.599998,,,,,,,,,,,,,,,,,,,
14,WYNN,Wynn Resorts,Consumer Discretionary,14,104.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,15,242.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALGT,ALLEGIANT TRAVEL,Industrials,16,104.730003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,17,8.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HIFS,HINGHAM INSTITUTION FOR SAVINGS,Financials,18,301.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LGIH,LGI HOMES,Consumer Discretionary,19,61.060001,,23,61.459999,-0.00650827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DIS,Walt Disney Company (The),Communication Services,20,99.760002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PII,POLARIS INC,Consumer Discretionary,21,73.989998,,34,73.720001,0.00366247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SWKS,Skyworks Solutions,Information Technology,22,66.300003,,33,66.790001,-0.00733640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MBC,MASTERBRAND,Industrials,23,9.1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IRM,Iron Mountain,Real Estate,24,125.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CTGO,CONTANGO SILVER AND GOLD INC,Materials,25,18.2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FRD,FRIEDMAN INDUSTRIES INC,Materials,26,36.389999,,,,,,,,,,,,,,,,,,,,,,,44,35.599998,,,,,,,,,,,,,,,,
27,NGVT,INGEVITY,Materials,27,74.739998,,35,75.633003,-0.01180708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EXPD,Expeditors International,Industrials,28,181.354996,,44,181.479996,-0.00068878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ISBA,ISABELLA BANK CORP,Financials,29,40.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ATRO,ASTRONICS,Industrials,30,76.724998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,31,110.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,32,20.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HOG,HARLEY DAVIDSON,Consumer Discretionary,33,26.370001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,OLED,Universal Display Corporation - Common Stock,,34,84.334999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CHMG,CHEMUNG FINANCIAL CORP,Financials,35,82.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SKY,CHAMPION HOMES INC,Consumer Discretionary,36,89.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CGON,CG ONCOLOGY,Health Care,37,72.190002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MTX,MINERALS TECHNOLOGIES,Materials,38,76.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PFE,Pfizer,Health Care,39,25.485001,,,,,,,,,,,,,,,,,6,25.26,,,,,,,,,,,,,,,,,,,,,,
40,NPO,ENPRO INC,Industrials,40,334.475006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,WFRD,Weatherford International plc - Ordinary shares,,41,88.5,,40,89.419998,-0.01028850,,,,39,87.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FITB,Fifth Third Bancorp,Financials,42,57.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CZR,"Caesars Entertainment, Inc. - Common Stock",,43,30.02,,45,30.120001,-0.00332009,,,,,,,,,,,,,,,,,,,,,,,,,46,29.940001,,,,,,,,,,
44,LNN,LINDSAY,Industrials,44,116.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TFIN,TRIUMPH FINANCIAL,Financials,45,78.519997,,26,79.940002,-0.01776338,,,,,,,,,,,,,,,,,,,,,,,,,37,81.620003,,,,,,,,,,
46,HUBB,Hubbell Incorporated,Industrials,46,511.179993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EPC,EDGEWELL PERSONAL CARE,Consumer Staples,47,29.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TRNS,TRANSCAT,Industrials,48,92.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,OTTR,OTTER TAIL,Utilities,49,92.349998,,10,92.82,-0.00506359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CENX,CENTURY ALUMINUM,Materials,50,46.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
