current_rank,ticker,name,sector,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GNE,GENIE ENERGY LTD CLASS B,Utilities,2,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HP,HELMERICH & PAYNE,Energy,3,37.060001,,,,,12,34.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,4,38.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,YORW,YORK WATER,Utilities,5,31.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FUL,HB FULLER,Materials,6,59.119999,,31,59.584999,-0.00780398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PRAA,PRA GROUP INC,Financials,7,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PCVX,VAXCYTE,Health Care,8,58.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,9,9.815,,,,,32,9.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FENC,FENNEC PHARMACEUTICALS,Health Care,10,10.84,,49,10.52,0.03041825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PLAB,PHOTRONICS,Information Technology,11,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OEC,ORION SA,Materials,12,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,13,26.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CPAY,Corpay,Financials,14,398.679993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MUX,MCEWEN INC,Materials,15,18.280001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PRM,PERIMETER SOLUTIONS,Materials,16,37.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FSLR,First Solar,Information Technology,17,244.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ACT,ENACT HOLDINGS INC,Financials,18,48.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,46.52,
19,HTHT,H World Group Limited - American Depositary Shares,,19,42.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RL,Ralph Lauren Corporation,Consumer Discretionary,20,395.700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,HCI,HCI GROUP INC,Financials,21,180.964996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,OVBC,OHIO VALLEY BANC CORP,Financials,22,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MMI,MARCUS & MILLICHAP INC,Real Estate,23,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CRVL,CORVEL,Health Care,24,62.450001,,37,62.57,-0.00191784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FPI,FARMLAND PARTNERS INC,Real Estate,25,9.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FDX,FedEx,Industrials,26,315.869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,320.980011,,,,,,,,,,
27,MNSB,MAINSTREET BANCSHARES INC,Financials,27,24.059999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SWKS,Skyworks Solutions,Information Technology,28,66.839996,,,,,33,66.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ROIV,Roivant Sciences Ltd. - Common Shares,,29,35.119999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NREF,NEXPOINT REAL ESTATE FINANCE,Financials,30,17.59,,,,,,,,31,17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CLYM,CLIMB BIO INC,Health Care,31,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CGEM,CULLINAN THERAPEUTICS,Health Care,32,17.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TDS,TELEPHONE AND DATA SYSTEMS,Communication,33,36.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,WFRD,Weatherford International plc - Ordinary shares,,34,88.959999,,33,87.529999,0.01633726,40,89.419998,-0.02113620,,,,39,87.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,35,188.229996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ZTS,Zoetis,Health Care,36,77.230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BOOT,BOOT BARN HOLDINGS,Consumer Discretionary,37,164.035004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ARDT,ARDENT HEALTH INC,Health Care,38,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,10.46,,,,
39,ANIP,ANI PHARMACEUTICALS,Health Care,39,82.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CWCO,CONSOLIDATED WATER LTD,Utilities,40,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SLAB,SILICON LABORATORIES,Information Technology,41,218.470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,42,242.350006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TJX,TJX Companies,Consumer Discretionary,43,162.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,KREF,KKR REAL ESTATE FINANCE INC TRUST,Financials,44,7.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BWB,BRIDGEWATER BANCSHARES INC,Financials,45,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LQDT,LIQUIDITY SERVICES INC,Industrials,46,42.009998,,,,,,,,44,39.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DOW,Dow Inc.,Materials,47,30.305,,,,,,,,,,,37,30.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CABO,CABLE ONE INC,Communication,48,44.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NBR,NABORS INDUSTRIES,Energy,49,83.110001,,,,,,,,,,,13,85.620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,IMVT,IMMUNOVANT,Health Care,50,39.740002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
