rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,PCVX,VAXCYTE,Health Care,83.76,优先Call候选,58.889999,64.98,1.39,0.06098546,0.05179491,0.00306592,90.4,79.12,80.4,82.71,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
2,FUL,HB FULLER,Materials,82.97,优先Call候选,59.119999,62.17,1.64,0.00203388,0.06753337,0.07149977,87.7,72.67,100.0,82.71,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
3,GNE,GENIE ENERGY LTD CLASS B,Utilities,81.91,优先Call候选,14.74,64.55,1.88,0.04799147,0.04390935,0.04911032,92.8,79.98,91.6,82.71,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
4,FSLR,First Solar,Information Technology,81.63,优先Call候选,244.139999,63.37,1.39,0.02886766,0.18359429,0.08855003,87.7,74.25,74.8,83.28,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
5,MUX,MCEWEN INC,Materials,81.41,优先Call候选,18.280001,53.17,1.6,-0.07648782,0.03452184,0.04278380,87.7,74.06,76.6,82.71,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
6,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,81.35,优先Call候选,242.350006,61.97,1.36,-0.00388414,0.07668048,0.12836394,75.1,78.1,100.0,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
7,PLAB,PHOTRONICS,Information Technology,81.18,优先Call候选,31.9,58.47,0.94,-0.00343636,0.07916106,0.13422222,87.7,73.24,100.0,82.71,68.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
8,PRAA,PRA GROUP INC,Financials,80.98,优先Call候选,18.15,58.93,2.69,0.04550685,0.04731679,0.03655054,92.8,67.23,91.6,82.71,66.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
9,CRVL,CORVEL,Health Care,80.93,优先Call候选,62.450001,54.74,1.06,-0.02353219,0.05099298,-0.00967333,87.7,76.17,64.9,82.71,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
10,FENC,FENNEC PHARMACEUTICALS,Health Care,80.89,优先Call候选,10.84,64.74,1.36,0.02651515,0.09164149,0.05653021,90.4,80.33,90.2,82.71,100.0,72.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
11,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,80.85,优先Call候选,8.7,55.25,1.14,0.00578035,0.03509816,0.12403101,98.2,67.22,100.0,82.71,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
12,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,80.36,优先Call候选,26.535,51.59,1.45,0.00094304,0.02057692,0.00740319,90.4,67.81,88.8,69.51,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
13,YORW,YORK WATER,Utilities,80.2,优先Call候选,31.610001,59.03,0.76,0.02964169,0.02297738,0.05366670,98.2,55.15,100.0,82.71,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
14,PRM,PERIMETER SOLUTIONS,Materials,80.12,优先Call候选,37.360001,62.87,0.58,0.06621004,0.00295305,0.10614356,92.8,77.18,80.4,82.71,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
15,MMI,MARCUS & MILLICHAP INC,Real Estate,80.09,优先Call候选,31.73,60.8,2.09,0.02619664,0.02091377,0.02354839,82.9,67.11,88.8,82.71,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
16,ACT,ENACT HOLDINGS INC,Financials,80.03,优先Call候选,48.669998,65.45,1.64,0.02409250,0.02441591,0.08565683,82.9,62.76,100.0,82.71,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
17,DD,DuPont,Materials,79.83,优先Call候选,144.0,58.95,1.15,-0.01450859,0.03738925,0.05147866,75.1,77.09,83.8,82.72,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
18,SWKS,Skyworks Solutions,Information Technology,79.77,优先Call候选,66.839996,63.29,0.61,0.00928497,0.06995350,0.14315025,87.7,75.75,100.0,83.28,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
19,KE,KIMBALL ELECTRONICS INC,Information Technology,79.66,优先Call候选,26.4,60.24,1.05,-0.01858736,0.07579458,0.07360716,75.1,76.31,83.8,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
20,CWCO,CONSOLIDATED WATER LTD,Utilities,79.6,优先Call候选,29.92,56.84,0.89,0.01252118,0.00978741,0.03457815,82.9,73.59,88.8,82.71,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
21,CPAY,Corpay,Financials,79.46,优先Call候选,398.679993,66.64,1.06,0.01288079,0.02205981,0.15242081,82.9,67.17,100.0,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
22,HTHT,H World Group Limited - American Depositary Shares,,79.3,优先Call候选,42.799999,57.46,0.66,0.00682195,0.01253842,0.02318903,95.5,72.96,77.6,83.06,30.0,100.0,early_transition,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 新金叉
23,WFRD,Weatherford International plc - Ordinary shares,,79.28,优先Call候选,88.959999,57.17,0.67,0.01656950,0.05004719,0.05980459,87.7,73.52,100.0,83.28,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
24,MOS,Mosaic Company (The),Materials,79.27,优先Call候选,23.455,63.02,0.76,0.00299337,0.03008344,0.13583535,75.1,77.38,100.0,82.72,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
25,BKE,BUCKLE,Consumer Discretionary,79.1,优先Call候选,45.740002,59.57,0.96,0.00120392,0.03954550,0.10296602,75.1,76.62,100.0,82.71,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
26,TW,Tradeweb Markets Inc. - Class A Common Stock,,79.04,优先Call候选,103.32,55.93,0.58,0.01383570,0.05806449,0.03527051,82.9,75.86,100.0,83.28,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
27,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,78.97,优先Call候选,188.229996,54.78,1.72,0.01872594,-0.00868975,0.07086917,79.6,67.67,81.1,83.28,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉
28,SLAB,SILICON LABORATORIES,Information Technology,78.97,优先Call候选,218.470001,55.2,0.78,0.00075586,0.00691340,0.00073292,87.7,71.37,77.6,82.71,68.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
29,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,78.87,优先Call候选,23.950001,61.41,0.99,0.02966470,0.03814482,0.05413741,75.1,75.55,100.0,82.71,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
30,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,78.87,优先Call候选,24.42,61.35,0.92,0.02605046,0.04180883,0.06382052,75.1,75.58,100.0,82.71,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
31,XPEL,XPEL,Consumer Discretionary,78.76,优先Call候选,47.68,59.22,1.2,-0.05490587,0.08044412,0.06714414,75.1,74.85,76.6,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
32,BOOT,BOOT BARN HOLDINGS,Consumer Discretionary,78.74,优先Call候选,164.035004,58.57,0.69,0.01999128,0.06192143,0.04921970,87.7,72.51,100.0,82.71,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
33,NREF,NEXPOINT REAL ESTATE FINANCE,Financials,78.71,优先Call候选,17.59,67.36,1.19,0.02565598,0.04515746,0.11540900,73.0,68.02,100.0,82.71,100.0,100.0,mixed_sideways,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；MACD 新金叉
34,TMDX,TRANSMEDICS GROUP,Health Care,78.6,优先Call候选,80.209999,58.91,0.98,0.07304346,0.05636769,0.13902302,73.0,77.82,91.6,83.28,68.0,100.0,mixed_sideways,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；MACD 新金叉
35,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,78.57,优先Call候选,38.220001,60.64,2.35,0.06968936,0.06521739,0.06225684,98.2,49.09,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
36,ROIV,Roivant Sciences Ltd. - Common Shares,,78.55,优先Call候选,35.119999,57.25,1.1,0.01021142,0.01738120,-0.02660762,90.4,53.67,81.1,83.28,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
37,CNXC,CONCENTRIX,Industrials,78.49,优先Call候选,26.34,61.63,0.77,0.03456406,0.05719442,0.23141661,75.1,77.41,90.2,82.71,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
38,VEL,VELOCITY FINANCIAL INC,Financials,78.46,优先Call候选,18.23,65.07,2.44,0.03286119,0.04082221,0.04111936,75.1,74.23,100.0,82.71,66.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
39,HSY,Hershey Company (The),Consumer Staples,78.34,优先Call候选,182.970001,62.92,0.7,0.02469760,0.03244555,0.04901963,82.9,74.14,100.0,82.72,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
40,FRD,FRIEDMAN INDUSTRIES INC,Materials,78.31,优先Call候选,37.720001,65.07,1.67,0.03413305,0.12412460,0.15581441,75.1,67.84,90.2,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
41,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,78.29,优先Call候选,9.815,58.5,0.77,0.05594406,0.06684783,0.07857143,98.2,67.35,91.6,82.71,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
42,CGEM,CULLINAN THERAPEUTICS,Health Care,78.22,优先Call候选,17.950001,57.12,1.27,0.02046623,0.02688793,-0.02604444,90.4,53.67,81.1,82.71,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
43,BSX,Boston Scientific,Health Care,78.13,优先Call候选,49.32,65.99,0.75,0.04160511,0.07240700,0.10064715,75.1,75.25,91.6,82.72,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
44,LYFT,"Lyft, Inc. - Class A Common Stock",,78.1,优先Call候选,16.299999,59.3,1.16,0.00307686,0.04722127,0.07378123,75.1,61.86,100.0,83.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
45,PEGA,Pegasystems Inc. - Common Stock,,78.08,优先Call候选,31.67,57.73,0.36,-0.00377480,0.05461202,0.00412172,87.7,72.11,88.8,83.28,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
46,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,78.05,优先Call候选,15.64,57.02,0.67,0.00643501,0.01098901,0.03576159,87.7,73.46,88.8,82.71,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
47,TJX,TJX Companies,Consumer Discretionary,78.0,小仓观察,162.059998,64.57,0.95,0.01598648,0.01748551,0.06077568,82.9,62.21,100.0,82.72,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
48,ICFI,ICF INTERNATIONAL,Industrials,77.98,小仓观察,85.309998,63.28,2.05,0.00743975,0.05477252,0.09978082,75.1,62.81,100.0,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
49,IBEX,IBEX LTD,Industrials,77.98,小仓观察,36.959999,65.16,1.24,0.02467140,0.04377292,0.12340416,75.1,62.81,100.0,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
50,HWBK,HAWTHORN BANCSHARES INC,Financials,77.9,小仓观察,40.220001,65.87,1.2,0.02340972,0.04062093,0.06656065,75.1,62.44,100.0,82.71,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
