rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,MUX,MCEWEN INC,Materials,83.21,优先Call候选,18.9,59.55,1.39,0.01177730,0.08000000,0.07969158,87.7,74.07,100.0,82.59,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
2,RL,Ralph Lauren Corporation,Consumer Discretionary,82.99,优先Call候选,400.274994,64.02,2.05,0.05797695,0.04880126,0.03776154,90.4,71.28,91.6,82.8,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
3,OFLX,OMEGA FLEX INC,Industrials,82.73,优先Call候选,30.940001,59.22,1.56,0.00373074,0.07021421,0.03547530,87.7,71.88,100.0,82.59,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
4,NHP,NATIONAL HEALTHCARE PROPERTIES CLA,Real Estate,81.9,优先Call候选,16.02,59.21,1.57,0.02758178,0.03421562,0.07228916,98.2,54.48,100.0,82.59,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
5,MOS,Mosaic Company (The),Materials,81.29,优先Call候选,23.4,62.74,0.97,0.02902375,0.03242881,0.13016180,82.9,76.96,100.0,82.8,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
6,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,81.03,优先Call候选,237.259995,57.4,1.37,-0.00302547,0.04510612,0.09740980,75.1,76.97,100.0,82.59,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
7,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,80.91,优先Call候选,39.16,59.24,1.11,0.01280225,0.02459443,0.05382131,82.9,67.07,100.0,82.59,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
8,CXW,CORECIVIC REIT,Industrials,80.34,优先Call候选,32.0,64.72,1.17,0.06065628,0.07256581,0.05228543,92.8,55.33,91.6,82.59,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
9,WFRD,Weatherford International plc - Ordinary shares,,79.28,优先Call候选,90.559998,62.77,0.17,0.01218282,0.07668526,0.10425553,87.7,73.4,100.0,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
10,OLED,Universal Display Corporation - Common Stock,,79.19,优先Call候选,85.93,65.7,0.7,0.01278801,0.07137956,0.07776241,87.7,72.98,100.0,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
11,LYTS,LSI INDUSTRIES INC,Industrials,79.04,优先Call候选,25.0,63.24,0.86,0.00806456,0.10083668,0.00401606,87.7,71.48,79.0,82.59,68.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
12,SWKS,Skyworks Solutions,Information Technology,78.98,优先Call候选,67.370003,64.9,0.19,0.00898616,0.09482413,0.13858383,87.7,75.61,90.2,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
13,PNRG,PRIMEENERGY RESOURCES CORP,Energy,78.98,优先Call候选,188.149994,55.86,0.37,0.00949667,0.04597503,0.03492844,87.7,73.94,100.0,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
14,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,78.88,优先Call候选,15.82,60.29,0.1,0.01932990,0.01736334,0.04768212,87.7,73.49,100.0,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
15,KEYS,Keysight Technologies,Information Technology,78.84,优先Call候选,340.38501,62.34,0.46,-0.00244708,0.08435677,0.07882349,87.7,72.74,100.0,82.8,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
16,SYM,Symbotic Inc. - Class A Common Stock,,78.81,优先Call候选,46.52,65.03,1.33,-0.01887590,0.15348370,0.12584705,75.1,74.46,74.0,83.32,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
17,TARS,TARSUS PHARMACEUTICALS,Health Care,78.79,优先Call候选,64.447502,67.0,1.93,0.05547823,0.09828736,-0.07595528,87.7,70.52,54.5,82.59,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
18,FUTU,Futu Holdings Limited - American Depositary Shares,,78.75,优先Call候选,110.220001,66.97,0.78,0.01342404,0.08080013,0.17118266,75.1,76.99,90.2,83.32,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
19,MMI,MARCUS & MILLICHAP INC,Real Estate,78.65,优先Call候选,31.969999,63.14,0.15,0.03529793,0.03095772,0.02303997,98.2,65.92,80.4,82.59,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
20,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,,78.47,优先Call候选,261.570007,64.52,0.88,0.02679155,0.02155836,0.05599520,82.9,62.79,100.0,83.32,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
21,PRM,PERIMETER SOLUTIONS,Materials,78.22,优先Call候选,36.119999,59.18,0.12,0.08680602,-0.00193424,0.07228731,92.8,76.48,59.5,82.59,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
22,AEIS,"Advanced Energy Industries, Inc. - Common Stock",,78.18,优先Call候选,329.230011,60.49,0.86,-0.03448775,0.30393285,0.14459044,87.7,73.07,58.6,83.32,68.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
23,PLAB,PHOTRONICS,Information Technology,78.12,优先Call候选,32.59,63.23,0.48,-0.00030669,0.09656800,0.15813792,87.7,73.6,90.2,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
24,LOW,Lowe's,Consumer Discretionary,78.08,优先Call候选,218.070007,59.4,0.43,-0.00009165,0.03798377,0.01602759,87.7,73.36,88.8,82.8,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
25,CVNA,Carvana,Consumer Discretionary,78.08,优先Call候选,69.095001,59.22,0.21,0.01565489,0.17388719,0.05536887,87.7,72.84,90.2,82.8,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
26,FER,Ferrovial N.V. - Ordinary Shares,,78.04,优先Call候选,66.550003,66.01,0.43,0.00210810,0.06411899,0.01047680,87.7,71.85,88.8,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
27,HWM,Howmet Aerospace,Industrials,77.94,小仓观察,290.380005,59.81,1.55,0.00742442,0.05236840,0.07171062,75.1,62.4,100.0,82.8,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
28,KALU,KAISER ALUMINIUM,Materials,77.84,小仓观察,176.110001,60.17,0.23,0.00922637,0.10082514,0.04047032,87.7,72.31,90.2,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
29,FUL,HB FULLER,Materials,77.82,小仓观察,59.73,66.26,0.58,0.01409165,0.08818030,0.06822854,87.7,72.2,90.2,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
30,ALX,ALEXANDERS REIT INC,Real Estate,77.75,小仓观察,274.799988,53.8,0.68,0.00189583,0.04083024,0.01196833,90.4,68.12,88.8,82.59,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
31,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,77.74,小仓观察,53.540001,65.78,1.05,0.03001156,0.05904462,0.09600825,75.1,62.02,100.0,82.59,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
32,ESP,ESPEY MANUFACTURING AND ELECTRONIC,Industrials,77.6,小仓观察,62.48,61.45,0.03,0.02158273,0.06060092,0.02443020,87.7,71.75,88.8,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
33,MPTI,M TRON INDUSTRIES INC,Information Technology,77.6,小仓观察,89.644997,60.78,0.14,0.01110978,0.09751465,0.04694887,87.7,71.2,90.2,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
34,TAP,Molson Coors Beverage Company,Consumer Staples,77.58,小仓观察,43.029999,63.4,1.47,0.01773888,0.04391067,0.10093386,73.0,62.67,100.0,82.8,100.0,100.0,mixed_sideways,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；MACD 新金叉
35,SMCI,Supermicro,Information Technology,77.51,小仓观察,30.805,57.55,0.54,-0.02823347,0.10869174,0.13149679,87.7,74.81,74.0,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
36,TER,Teradyne,Information Technology,77.5,小仓观察,392.329987,57.9,0.38,-0.02727295,0.08502841,0.12049457,87.7,74.76,74.0,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
37,PEGA,Pegasystems Inc. - Common Stock,,77.47,小仓观察,31.809999,58.88,0.43,0.00696420,0.02679145,-0.01180491,87.7,72.04,81.1,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
38,OXY,Occidental Petroleum,Energy,77.44,小仓观察,56.400002,55.96,2.36,0.02377931,0.01878614,0.05400867,79.6,55.1,100.0,82.8,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉
39,HSY,Hershey Company (The),Consumer Staples,77.42,小仓观察,180.600006,58.32,0.43,0.00871321,0.00545602,0.02765449,82.9,73.83,88.8,82.8,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
40,ORLY,O’Reilly Automotive,Consumer Discretionary,77.2,小仓观察,93.309998,65.63,0.26,0.01611669,0.06994610,0.09634587,75.1,76.76,100.0,83.32,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 保持多头
41,BOOT,BOOT BARN HOLDINGS,Consumer Discretionary,77.18,小仓观察,169.130005,64.58,0.31,0.03595498,0.10603939,0.08421887,87.7,72.38,81.8,82.59,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
42,PLXS,PLEXUS CORP,Information Technology,77.14,小仓观察,274.390015,61.5,0.33,-0.01010133,0.13164521,0.03935612,87.7,73.13,74.0,83.32,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
43,YORW,YORK WATER,Utilities,77.14,小仓观察,31.620001,59.21,1.38,0.01901386,0.02016454,0.03842364,79.6,54.29,100.0,82.59,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉
