current_rank,ticker,name,sector,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,RL,Ralph Lauren Corporation,Consumer Discretionary,1,400.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,386.859985,
2,TARS,TARSUS PHARMACEUTICALS,Health Care,2,64.339996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACTG,ACACIA RESEARCH,Financials,3,4.75,,,,,,,,39,4.63,,,,,,,,,,,,,,,,,,,,,,,,,
4,STX,Seagate Technology,Information Technology,4,862.64502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CVCO,CAVCO INDUSTRIES,Consumer Discretionary,5,581.710022,,2,587.72998,-0.01024273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ROIV,Roivant Sciences Ltd. - Common Shares,,6,35.040001,,,,,,,,,,,,,,34,34.52,,,,,,,,,,,,,,,,,,,
7,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,7,99.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MOS,Mosaic Company (The),Materials,8,23.295,,3,23.42,-0.00533732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,9,91.032204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PCVX,VAXCYTE,Health Care,10,58.040001,,,,,,,,,,,,,,39,55.959999,,,,,,,,,,,,,,,,,,,
11,CLYM,CLIMB BIO INC,Health Care,11,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MD,PEDIATRIX MEDICAL GROUP INC,Health Care,12,26.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RBKB,RHINEBECK BANCORP INC,Financials,13,12.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DOW,Dow Inc.,Materials,14,30.660101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,HTHT,H World Group Limited - American Depositary Shares,,15,42.779999,,,,,48,42.310001,,,,,26,42.689999,,,,,,,,,,,,,,,,,,,,,,
16,PRM,PERIMETER SOLUTIONS,Materials,16,36.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HNGE,HINGE HEALTH CLASS A,Health Care,17,79.794998,,49,80.949997,-0.01426805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SNFCA,SECURITY NATIONAL FINANCIAL CORP C,Financials,18,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NWE,NORTHWESTERN ENERGY GROUP,Utilities,19,71.019997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CV,CAPSOVISION INC,Health Care,20,6.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AMPY,AMPLIFY ENERGY,Energy,21,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GRBK,GREEN BRICK PARTNERS,Consumer Discretionary,22,71.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,HMH,HMH HOLDING INC CLASS A,Energy,23,19.700001,,13,20.620001,-0.04461687,,,,,,,32,20.790001,,12,20.120001,0.03330020,,,,,,,,,,,,,,,,44,21.049999,
24,MDLZ,Mondelez International,Consumer Staples,24,62.849998,,39,62.599998,0.00399361,41,62.080002,0.00837622,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GILD,Gilead Sciences,Health Care,25,129.664993,,1,131.759995,-0.01590014,1,135.25,-0.02580410,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DD,DuPont,Materials,26,144.809998,,16,147.229996,-0.01643685,2,142.880005,0.03044506,10,141.309998,0.01111037,,,,,,,,,,,,,,,,,,,,,,,,
27,IRM,Iron Mountain,Real Estate,27,122.980003,,17,127.230003,-0.03340407,21,125.400002,0.01459331,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CRC,CALIFORNIA RESOURCES,Energy,28,52.630001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TSHA,TAYSHA GENE THERAPIES,Health Care,29,6.37,,18,6.46,-0.01393189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MMI,MARCUS & MILLICHAP INC,Real Estate,30,31.68,,10,31.219999,0.01473418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GDOT,GREEN DOT CLASS A,Financials,31,13.42,,5,13.475,-0.00408163,,,,,,,,,,,,,,,,21,13.375,,,,,,,,,,,,,
32,CNXC,CONCENTRIX,Industrials,32,26.27,,48,26.059999,0.00805837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HCKT,HACKETT GROUP,Information Technology,33,10.85,,20,11.51,-0.05734144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LMNR,LIMONEIRA,Consumer Staples,34,13.82,,21,13.71,0.00802334,6,13.56,0.01106195,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OGS,ONE GAS,Utilities,35,79.669998,,7,79.290001,0.00479250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RMAX,RE MAX HOLDINGS INC CLASS A,Real Estate,36,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRNS,TRANSCAT,Industrials,37,94.165001,,22,93.75,0.00442668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NL,NLI HOLDINGS INC,Industrials,38,6.1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ANIP,ANI PHARMACEUTICALS,Health Care,39,81.845001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,WNEB,WESTERN NEW ENGLAND BANCORP INC,Financials,40,14.05,,27,14.01,0.00285510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CRI,CARTERS,Consumer Discretionary,41,40.580002,,28,39.935001,0.01615127,15,39.794998,0.00351811,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BCAX,BICARA THERAPEUTICS INC,Health Care,42,27.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,43,15.065,,19,15.58,-0.03305520,7,15.8,-0.01392405,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,YOU,CLEAR SECURE CLASS A,Information Technology,44,53.349998,,25,56.560001,-0.05675394,8,55.84,0.01289400,,,,50,55.209999,,23,56.099998,-0.01586451,3,58.404999,-0.03946582,,,,,,,,,,,,,,,
45,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,45,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,,46,234.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AMT,American Tower,Real Estate,47,171.910004,,32,168.029999,0.02309114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,YUM,Yum! Brands,Consumer Discretionary,48,153.115005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,49,26.434999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,50,9.4527,,,,,,,,,,,,,,,,,,,,,,,26,9.27,,,,,42,9.43,,,,
