current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,1,44.470001,,,,,,,,,,,,,,,,,,,,,,,,,,36,41.490002,,,,,,,,,,,,,,,,,,,
2,FLR,FLUOR CORP,Industrials,2,55.549999,,,,,,,,38,51.549999,,,,,,,,,,,,,,,,,,,,,,,,,,34,51.580002,,,,,,,,,,
3,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,3,37.755001,,4,38.220001,-0.01216640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,4,41.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HP,HELMERICH & PAYNE,Energy,5,37.150002,,3,37.060001,0.00242852,,,,12,34.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate,6,34.810001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ROAD,CONSTRUCTION PARTNERS CLASS A,Industrials,7,118.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UMH,UMH PROPERTIES INC,Real Estate,8,15.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OGS,ONE GAS,Utilities,9,79.739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TSBK,TIMBERLAND BANCORP INC,Financials,10,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
