current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,RL,Ralph Lauren Corporation,Consumer Discretionary,1,389.355011,,3,395.700012,-0.01603488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,2,37.755001,,4,38.220001,-0.01216640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,3,101.955002,,,,,,,,,,,,,,,,,,,,40,101.889999,,40,101.199997,0.00681820,,,,,,,,,,,,
4,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,4,41.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CNR,CORE NATURAL RESOURCES,Energy,5,86.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87.525002,
6,MD,PEDIATRIX MEDICAL GROUP INC,Health Care,6,27.280001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GNE,GENIE ENERGY LTD CLASS B,Utilities,7,14.57,,1,14.74,-0.01153324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,14.53,
8,TSBK,TIMBERLAND BANCORP INC,Financials,8,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SRBK,SR BANCORP INC,Financials,9,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HSY,Hershey Company (The),Consumer Staples,10,183.145004,,50,182.970001,0.00095646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SLB,Schlumberger,Energy,11,51.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FER,Ferrovial N.V. - Ordinary Shares,,12,66.519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SMCI,Supermicro,Information Technology,13,30.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CSGP,CoStar Group,Real Estate,14,31.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TW,Tradeweb Markets Inc. - Class A Common Stock,,15,102.815002,,42,103.32,-0.00488771,,,,,,,,,,,,,,,,,,,,,,8,102.014999,,,,,,,,,,
16,TRMB,Trimble Inc.,Information Technology,16,59.77,,,,,36,58.580002,,,,,,,,,,,,,,,,,,,,12,55.77,,,,,,,,,,
17,MUX,MCEWEN INC,Materials,17,19.16,,24,18.280001,0.04813999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UMH,UMH PROPERTIES INC,Real Estate,18,15.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate,19,34.810001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,20,93.480003,,,,,,,,,,,,,,,,,,,,,,,14,92.900002,,,,,,,,,,,,,
21,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,21,44.470001,,,,,,,,,,,,,,,,,,,,,,,,,,27,41.490002,,,,,,,,,,
22,MNSB,MAINSTREET BANCSHARES INC,Financials,22,24.059999,,28,24.059999,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FLR,FLUOR CORP,Industrials,23,55.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,51.580002,
24,OGS,ONE GAS,Utilities,24,79.739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,80.029999,,,,
25,FUNC,FIRST UNITED CORP,Financials,25,45.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WFRD,Weatherford International plc - Ordinary shares,,26,88.044998,,41,88.959999,-0.01028553,25,87.529999,0.01633726,26,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SPB,SPECTRUM BRANDS HOLDINGS,Consumer Staples,27,93.129898,,,,,,,,46,91.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,KEYS,Keysight Technologies,Information Technology,28,340.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,,29,62.834999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PPG,PPG Industries,Materials,30,119.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
