current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,1,37.755001,,35,38.220001,-0.01216640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,2,41.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRMB,Trimble Inc.,Information Technology,3,59.77,,,,,44,58.580002,,,,,,,,,,,,,,,,,,,,4,55.77,,,,,,,,,,,,,,14,53.209999,,,,
4,SLB,Schlumberger,Energy,4,51.540001,,,,,,,,,,,,,,,,,34,48.91,,8,48.959999,-0.00102122,29,49.970001,-0.02021217,,,,,,,,,,,,,,,,,,,,,
5,TW,Tradeweb Markets Inc. - Class A Common Stock,,5,102.815002,,21,103.32,-0.00488771,,,,,,,,,,,,,,,,,,,,,,21,102.014999,,,,,,,,,,,,,,,,,,,
6,UMH,UMH PROPERTIES INC,Real Estate,6,15.885,,45,15.72,0.01049618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SMCI,Supermicro,Information Technology,7,30.469999,,26,29.379999,0.03710007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WFRD,Weatherford International plc - Ordinary shares,,8,88.044998,,24,88.959999,-0.01028553,6,87.529999,0.01633726,17,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FER,Ferrovial N.V. - Ordinary Shares,,9,66.519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,10,44.470001,,,,,,,,,,,,,,,,,,,,,,,,,,16,41.490002,,,,,,,,,,,,,,,,,,,
11,TSBK,TIMBERLAND BANCORP INC,Financials,11,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KEYS,Keysight Technologies,Information Technology,12,340.600006,,33,336.940002,0.01086248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CSGP,CoStar Group,Real Estate,13,31.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,14,15.51,,28,15.64,-0.00831202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,HSY,Hershey Company (The),Consumer Staples,15,183.145004,,34,182.970001,0.00095646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,,16,62.834999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SPB,SPECTRUM BRANDS HOLDINGS,Consumer Staples,17,93.129898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
