current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,RL,Ralph Lauren Corporation,Consumer Discretionary,1,397.410004,,9,395.700012,0.00432144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GNE,GENIE ENERGY LTD CLASS B,Utilities,2,14.56,,1,14.74,-0.01221167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14.53,,,,,,,,,,
3,OVID,OVID THERAPEUTICS,Health Care,3,2.645,,33,2.65,-0.00188679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SBGI,SINCLAIR CLASS A,Communication,4,14.88,,2,14.76,0.00813008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VHI,VALHI INC,Materials,5,15.48,,,,,3,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ASPN,ASPEN AEROGELS,Materials,6,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CNR,CORE NATURAL RESOURCES,Energy,7,87.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,87.525002,,,,,,,,,,
8,CRVL,CORVEL,Health Care,8,63.044998,,46,62.450001,0.00952757,37,62.57,-0.00191784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TSHA,TAYSHA GENE THERAPIES,Health Care,9,6.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PRM,PERIMETER SOLUTIONS,Materials,10,37.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,34.419998,
11,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,11,9.455,,17,9.57,-0.01201672,,,,,,,,,,,,,,,,50,9.62,,15,9.545,0.00785752,,,,,,,,,,,,,,,,,,,,,
12,CVNA,Carvana,Consumer Discretionary,12,71.889999,,,,,44,69.474998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GLNG,GOLAR LNG,Energy,13,50.389999,,6,51.02,-0.01234812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EVEX,EVE HOLDING,Industrials,14,2.7789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,15,37.919998,,10,38.220001,-0.00784937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DSGN,DESIGN THERAPEUTICS,Health Care,16,13.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AZO,AutoZone,Consumer Discretionary,17,3053.650146,,8,3068.909912,-0.00497237,,,,,,,,,,,,,,,,8,3145.300049,,,,,,,,,,,,,,,,,,,,,,,,,
18,OFLX,OMEGA FLEX INC,Industrials,18,31.089199,,13,30.950001,0.00449751,42,30.440001,0.01675427,11,30.780001,-0.01104613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SLAB,SILICON LABORATORIES,Information Technology,19,219.264999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BNTC,BENITEC BIOPHARMA INC,Health Care,20,13.37,,14,13.13,0.01827875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LOW,Lowe's,Consumer Discretionary,21,220.770004,,12,218.460007,0.01057400,34,219.880005,-0.00645806,9,218.110001,0.00811519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TARS,TARSUS PHARMACEUTICALS,Health Care,22,65.230003,,23,65.330002,-0.00153067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,JBIO,JADE BIOSCIENCES INC,Health Care,23,21.85,,19,22.24,-0.01753597,49,21.700001,0.02488475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FOR,FORESTAR GROUP INC,Real Estate,24,29.4,,,,,17,29.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MCD,McDonald's,Consumer Discretionary,25,274.98999,,21,276.269989,-0.00463315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LYEL,LYELL IMMUNOPHARMA,Health Care,26,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,STOK,STOKE THERAPEUTICS,Health Care,27,32.185001,,15,31.93,0.00798625,36,31.93,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BOOT,BOOT BARN HOLDINGS,Consumer Discretionary,28,161.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ATRO,ASTRONICS,Industrials,29,76.089996,,16,76.040001,0.00065748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SABS,SAB BIOTHERAPEUTICS INC,Health Care,30,3.92,,24,3.85,0.01818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,31,41.939999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SLVM,SYLVAMO CORP,Materials,32,40.2425,,,,,41,38.715,,10,39.360001,-0.01638722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BDN,BRANDYWINE REALTY TRUST REIT,Real Estate,33,3.25,,20,3.225,0.00775194,,,,15,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FSLR,First Solar,Information Technology,34,255.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,35,26.6,,27,26.450001,0.00567104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ESP,ESPEY MANUFACTURING AND ELECTRONIC,Industrials,36,62.599998,,38,61.849998,0.01212611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ACTG,ACACIA RESEARCH,Financials,37,4.72,,18,4.67,0.01070664,,,,,,,,,,,,,,,,,,,,,,,,,31,4.66,,,,,,,,31,4.6,,,,,,,
38,TPB,TURNING POINT BRANDS INC,Consumer Staples,38,85.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,FPI,FARMLAND PARTNERS INC,Real Estate,39,9.9199,,30,9.941,-0.00212252,8,9.885,0.00566515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PRDO,PERDOCEO EDUCATION,Consumer Discretionary,40,34.310001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,DEC,DIVERSIFIED ENERGY COMPANY,Energy,41,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OUST,OUSTER,Information Technology,42,45.014999,,22,45.580002,-0.01239585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LITE,Lumentum,Information Technology,43,894.659973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,837.559998,,,,,,,
