rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,DXCM,Dexcom,Health Care,100.0,优先Call候选,87.650002,69.84,1.14,0.04109752,0.00412420,0.16929033,67.1,74.6,70.6,62.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
2,GILD,Gilead Sciences,Health Care,100.0,优先Call候选,133.059998,53.17,0.77,-0.00456348,0.01433149,0.02472077,75.1,66.59,77.6,80.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
3,NDSN,Nordson Corporation,Industrials,100.0,优先Call候选,308.684998,63.86,0.8,-0.00616551,0.01967095,0.07705859,75.1,66.4,83.8,80.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
4,EXE,Expand Energy,Energy,100.0,优先Call候选,97.559998,67.24,0.96,0.04253041,0.03052709,0.11688609,82.9,66.59,91.6,80.0,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
5,IDXX,Idexx Laboratories,Health Care,100.0,优先Call候选,595.76001,62.66,0.84,0.00912989,0.04877172,0.05696795,75.1,66.98,100.0,80.0,68.0,72.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
6,GEN,Gen Digital,Information Technology,100.0,优先Call候选,29.290001,66.41,1.05,0.00256721,0.04012788,0.13088807,75.1,67.15,100.0,80.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
7,ULTA,Ulta Beauty,Consumer Discretionary,100.0,优先Call候选,548.659973,65.8,1.36,-0.01051420,0.02666492,0.16887866,75.1,66.67,74.0,80.0,100.0,72.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
8,COO,Cooper Companies (The),Health Care,100.0,优先Call候选,76.32,68.63,1.44,0.02912616,0.02774034,0.07933816,67.1,58.74,100.0,62.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
9,NTAP,NetApp,Information Technology,100.0,优先Call候选,198.720001,70.71,0.92,0.04238356,0.08631722,0.17690254,67.1,74.43,72.0,62.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
10,STLD,Steel Dynamics,Materials,100.0,优先Call候选,268.600006,69.36,0.98,0.02959215,0.04015798,0.17616154,74.9,59.46,90.2,62.0,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
