current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,JNJ,Johnson & Johnson,Health Care,1,259.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,259.23999,,,,,,,,,,,,,
2,UPWK,UPWORK,Industrials,2,9.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BBIO,"BridgeBio Pharma, Inc. - Common Stock",,3,84.779999,,15,84.480003,0.00355109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MDXG,MIMEDX GROUP,Health Care,4,4.22,,9,4.34,-0.02764977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WHG,WESTWOOD HOLDINGS GROUP INC,Financials,5,19.434999,,8,19.895,-0.02312144,,,,,,,,,,,,,,,,,,,,,,,,,47,19.629999,,,,,,,,,,,,,,,,,,,
6,IMRX,IMMUNEERING CLASS A,Health Care,6,4.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,7,5.26,,,,,,,,,,,,,,6,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SR,SPIRE INC,Utilities,8,81.455002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,82.57,,,,,,,,,,,,,
9,OXY,Occidental Petroleum,Energy,9,57.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BNTX,BioNTech SE - American Depositary Shares,,10,93.285004,,35,93.669998,-0.00411011,,,,,,,,,,1,92.25,,,,,,,,4,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
