rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,DIN,DINE BRANDS GLOBAL,Consumer Discretionary,96.7,优先Call候选,36.080002,55.34,0.06,0.01149437,0.02354616,0.01748457,98.2,54.05,88.8,82.88,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
2,DVN,Devon Energy,Energy,94.23,优先Call候选,45.310001,59.7,0.19,0.05445660,0.02790379,0.04065227,98.2,76.29,91.6,83.84,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
3,ASO,ACADEMY SPORTS AND OUTDOORS,Consumer Discretionary,94.13,优先Call候选,50.0,61.77,0.22,0.03906902,0.02480014,0.07596296,98.2,73.74,91.6,82.88,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
4,DOW,Dow Inc.,Materials,94.05,优先Call候选,31.049999,58.32,0.21,0.05828217,0.03207579,0.03776735,98.2,71.81,91.6,83.84,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
5,RBB,RBB BANCORP,Financials,93.95,优先Call候选,26.799999,52.86,0.03,-0.00074575,-0.00186223,-0.01615275,98.2,41.47,62.2,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
6,FNKO,FUNKO CLASS A,Consumer Discretionary,93.91,优先Call候选,6.24,61.37,0.31,0.06032285,0.09281961,0.10150044,98.2,68.28,81.8,82.88,30.0,45.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
7,HROW,HARROW,Health Care,93.8,优先Call候选,41.485001,59.46,2.36,0.02634842,0.04839527,-0.00372233,90.4,47.55,81.1,82.88,100.0,100.0,fresh_bullish_cross,bullish_above_signal,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 保持多头
8,DUOL,"Duolingo, Inc. - Class A Common Stock",,93.32,优先Call候选,135.5,54.08,0.12,0.03557644,0.02924426,0.03827436,98.2,53.6,91.6,84.32,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
9,NE,NOBLE CORPORATION PLC,Energy,92.14,优先Call候选,43.700001,62.05,0.12,0.07134101,0.07608963,0.05900890,98.2,72.14,91.6,82.88,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
10,KNTK,KINETIK HOLDINGS CLASS A,Energy,91.94,优先Call候选,52.544998,64.86,0.32,0.06907418,0.07641092,0.04681737,98.2,67.02,91.6,82.88,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
11,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,91.37,优先Call候选,5.17,51.71,0.15,0.01372549,0.00290980,0.01515866,92.8,68.21,77.6,69.68,30.0,45.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
12,NMRA,NEUMORA THERAPEUTICS INC,Health Care,90.83,优先Call候选,1.675,56.69,0.15,0.03076923,0.02134146,0.06349206,95.5,71.95,100.0,82.88,30.0,20.0,early_transition,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 早期转强；MACD 新金叉
13,GDOT,GREEN DOT CLASS A,Financials,90.8,优先Call候选,13.4,55.23,0.49,0.01901141,0.00676183,-0.00260514,92.8,53.91,69.9,82.88,30.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
14,TYL,Tyler Technologies,Information Technology,90.48,优先Call候选,319.325012,56.06,0.08,0.02246170,0.04334122,0.00867087,82.9,81.1,88.8,83.84,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
15,CEG,Constellation Energy,Utilities,90.31,优先Call候选,277.638794,61.9,0.38,0.02836796,0.03330527,0.08283464,82.9,77.05,100.0,84.32,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
16,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,90.29,优先Call候选,25.295,65.99,0.0,0.02950753,0.02992675,0.12472210,82.9,76.52,100.0,82.88,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
