current_rank,ticker,name,sector,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return,2026-07-16__predicted_rank,2026-07-16__close,2026-07-16__next_snapshot_return,2026-07-15__predicted_rank,2026-07-15__close,2026-07-15__next_snapshot_return,2026-07-14__predicted_rank,2026-07-14__close,2026-07-14__next_snapshot_return,2026-07-13__predicted_rank,2026-07-13__close,2026-07-13__next_snapshot_return,2026-07-10__predicted_rank,2026-07-10__close,2026-07-10__next_snapshot_return,2026-07-09__predicted_rank,2026-07-09__close,2026-07-09__next_snapshot_return,2026-07-08__predicted_rank,2026-07-08__close,2026-07-08__next_snapshot_return,2026-07-07__predicted_rank,2026-07-07__close,2026-07-07__next_snapshot_return,2026-07-06__predicted_rank,2026-07-06__close,2026-07-06__next_snapshot_return,2026-07-02__predicted_rank,2026-07-02__close,2026-07-02__next_snapshot_return,2026-07-01__predicted_rank,2026-07-01__close,2026-07-01__next_snapshot_return,2026-06-30__predicted_rank,2026-06-30__close,2026-06-30__next_snapshot_return,2026-06-29__predicted_rank,2026-06-29__close,2026-06-29__next_snapshot_return,2026-06-26__predicted_rank,2026-06-26__close,2026-06-26__next_snapshot_return,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,SW,Smurfit Westrock,Materials,1,49.165001,,297,47.575001,0.03309520907753716,62,48.279999,-0.014602278678588987,197,46.935001,0.028766226294481,90,48.465,-0.03166907300043187,87,48.5,-0.0011335531739489202,238,46.880001,0.034556291924993765,242,46.009998,0.019795518386001243,109,47.52,-0.03177613636363641,78,48.255001,-0.01533356880785619,246,50.849998,-0.050098386812960416,240,50.080002,0.015172649231383506,98,48.57,0.03108919085855466,343,43.705002,0.1111873967327246,79,44.5,-0.018085734355683503,429,43.060001,0.03344168524287783,334,43.139999,-0.001854381127825322,227,44.299999,-0.026185102171221164,214,44.77,-0.010498123743578391,308,43.59,0.02707042899747658,314,42.889999,0.015847121883011184,264,43.169998,-0.006025561713763006,278,44.23,-0.02396567940312,274,42.985001,0.028843869325709814,299,42.07,0.021506629205958694,318,44.990002,-0.06511111111111112,209,45.639999,-0.014241827656481854,62,45.919998,-0.006313977792292591,43,46.095001,-0.0036884790627035313,24,46.255001,-0.0035667316717133968,24,46.150002,0.0018410873658689653,140,47.0,-0.017667049808429036,134,46.84,0.0034158838599487318,134,46.560001,0.006013724097643447,29,44.360001,0.049594227917172606,148,45.389999,-0.022692179393967504,10,44.200001,0.026923031065089864
2,HBAN,Huntington Bancshares,Financials,2,17.799999,,322,17.6,0.011363579545454527,340,17.549999,0.002849059991399505,341,17.360001,0.010944584623007847,371,17.6,-0.013636306818181843,378,17.559999,0.00227796140535097,358,17.360001,0.011520621456185376,442,17.040001,0.018779341620930756,412,17.08,-0.002341861826697822,401,16.84,0.014251781472683911,351,17.299999,-0.026589539109221905,326,17.16,0.008158449883449936,265,17.360001,-0.011520794267235401,231,17.4,-0.00229879310344816,96,18.27,-0.04761904761904767,111,18.17,0.005503577325261411,165,18.059999,0.006090864124632667,83,18.25,-0.010411013698630067,97,18.559999,-0.016702533227507255,130,18.120001,0.024282448991034933,185,17.85,0.015126106442576948,155,17.93,-0.004461795872838681,170,17.870001,0.003357526392975707,151,17.76,0.006193749999999776,297,17.459999,0.017182188842049806,42,18.01,-0.0305386451971128,60,17.889999,0.006707714181538149,67,17.860001,0.0016796191668746463,198,18.110001,-0.013804527122886379,79,17.73,0.02143265651438231,183,17.82,-0.005050505050505083,177,17.790001,0.0016862843346663325,215,17.9,-0.006145195530726122,172,17.58,0.018202502844141044,80,17.4,0.010344827586206806,89,17.049999,0.020527919092546476,184,17.06,0.01126915710147336
3,TYL,Tyler Technologies,Information Technology,3,321.119995,,160,318.600006,0.007814675206122113,174,312.309998,0.019683129344862937,193,306.290009,0.019521467873793164,218,306.42099,-0.000945847779685649,71,313.13501,-0.02205022591725314,73,305.660004,0.024857631656350465,27,309.375,-0.012726104404532812,14,323.309998,-0.043101042609885565,6,333.829987,-0.030554728635682094,1,333.320007,0.00143987098053322,287,315.899994,0.055210845016923527,381,297.230011,0.06281325003887317,373,288.190002,0.03147559298340363,388,284.200012,0.01361140582695608,18,299.744995,-0.05184486060735494,12,317.920013,-0.0572870691772035,16,319.51001,-0.004976360521537493,17,316.320007,0.010372193928172235,40,303.535004,0.04217191112246632,110,301.329987,0.007451275956515513,99,314.200012,-0.04102225815981719,119,309.519989,0.015251392116565565,105,310.880005,-0.0047909101060766845,111,314.570007,-0.010849864463874925,94,321.679993,-0.021403032332131477,16,319.200012,0.008369590032613727,277,318.160004,0.0034580508621555595,375,301.809998,0.054662347231708486,354,292.410004,0.03197020887551072,300,290.549988,0.005709386070507305,399,294.380005,-0.0130774662991332,423,281.089996,0.04728026322217449,434,286.029999,-0.017270926187011537,438,279.140015,0.0246828961444312,463,275.269989,0.014059018980089322,432,276.51,-0.013050858512769659
4,CHTR,Charter Communications,Communication Services,4,156.544998,,10,153.289993,0.021234295444191087,10,152.570007,0.004719053332677747,154,157.440002,-0.03093238654811492,22,153.169998,0.02787754818668864,47,153.070007,0.0006532370512009056,95,144.100006,0.06224844293205645,108,144.979996,-0.006069733923844134,34,142.0,0.020985887323943686,289,145.199997,-0.022038547287297816,320,139.970001,0.03736512083042709,263,131.610001,0.06352100855922016,457,123.309998,0.06731005704825344,436,126.5,-0.025217407114624613,279,129.220001,-0.02104938073789364,315,127.790001,0.011190233890052026,350,129.160004,-0.010607021969432417,411,131.369995,-0.016822646602064673,418,133.330002,-0.014700419789988595,419,131.240005,0.015924999393287287,411,127.910004,0.026033937110970573,407,131.369995,-0.026337756958885405,410,130.729996,0.004895578823393976,381,134.350006,-0.02694462105197082,393,133.539993,0.006065695989664999,339,138.020004,-0.03245914266166805,337,135.440002,0.019049039884095675,373,137.199997,-0.012827952175538337,333,139.839996,-0.018878711924448455,328,142.210007,-0.016665571221018083,318,146.169998,-0.027091681290164593,372,133.639999,0.0937593467057718,359,129.649994,0.030775203892412062,363,131.419998,-0.013468300311494485,366,131.75,-0.0025047590132828423,366,125.540001,0.04946629720036411,389,127.3,-0.005466228183484967
5,INTU,Intuit,Information Technology,5,333.670013,,5,334.429993,-0.0022724636423385736,2,325.25,0.028224421214450457,6,321.910004,0.01037555825695935,6,327.940002,-0.018387503699533347,4,323.600006,0.013411606673455978,9,318.390015,0.01636355022000302,4,316.070007,0.007340171318438449,4,315.5,0.0018066782884309518,142,333.130005,-0.05292229680721794,20,312.98999,0.06434715372207278,31,303.910004,0.02987721983643543,9,296.329987,0.025579648812254607,210,281.529999,0.05256984354267713,224,284.470001,-0.010335015958326088,218,289.920013,-0.018798329731035013,217,293.820007,-0.013273411977013483,276,291.089996,0.009378580636622003,282,294.790009,-0.012551351426567603,281,279.700012,0.053950648382524946,295,282.429993,-0.009666044923210437,320,289.76001,-0.02529685514574631,392,274.959991,0.053826081918950885,395,273.380005,0.005779449744321985,395,272.100006,0.004704149106119271,380,281.170013,-0.03225808792063456,394,272.140015,0.03318144154581604,394,275.350006,-0.01165785701853228,442,267.079987,0.030964577664143622,413,261.0,0.023294969348659045,373,266.399994,-0.020270248204284802,309,267.720001,-0.004930550556811131,471,255.070007,0.049594204151176546,485,262.234985,-0.02734130290349679,479,258.049988,0.016217776379047866,497,257.769989,0.0010862358379508663,499,256.91,-0.03456932958801495
6,GIS,General Mills,Consumer Staples,6,37.685001,,227,37.279999,0.011406414997660486,233,36.889999,0.01057197101035423,348,36.075001,0.022733545883005357,380,35.93,0.004035652657945921,361,36.195,-0.0071842776232184935,365,35.994999,0.005416666666666625,368,35.759998,0.006853118881118947,289,36.419998,-0.0181219120330538,191,37.93,-0.039556964111654214,186,37.66,0.00743686547480138,195,36.615002,0.028680660238168176,286,36.029999,0.016236553323246028,227,35.540001,0.01350211008444746,244,36.911999,-0.03711728528853975,134,37.16,-0.006406540704896879,25,37.584999,-0.01117621015560355,46,37.970001,-0.010139636288131748,118,38.700001,-0.01886304860818988,32,37.224998,0.039763566905868686,41,36.470001,0.02098187111853722,44,36.599998,-0.003551830795181954,16,36.215,0.010491358075887192,14,35.851002,0.010181367374134886,6,36.34,-0.013184695117825718,3,37.115002,-0.020485122398119726,5,36.130001,0.02754714915689771,114,37.555,-0.038328426936385385,137,37.805,-0.005692348424675808,37,34.805,0.08635060592961508,160,36.389999,-0.043293044439443484,67,36.009998,0.010552652627195291,64,35.400002,0.017231524450196378,23,34.799999,0.017241466012685835,269,34.43,0.010746413011908151,296,33.34,0.032693461307738314,302,33.515,-0.0023937164807729117
7,T,AT&T,Communication Services,7,24.315001,,13,24.075001,0.011018794636955986,9,23.795,0.011979822951667884,15,23.705,0.0035850275657962616,28,23.08,0.027970556286667447,15,23.370001,-0.012831437674569734,12,23.605,-0.00932594319626967,11,23.268,0.015268817204301177,21,23.209999,0.0024989660706147276,22,23.945,-0.030492981182415058,216,24.67,-0.028994322789943183,180,24.41,0.010237510237510294,131,24.115,0.012233049968899179,9,22.940001,0.0503049237937685,166,23.045,-0.004340277589397701,212,22.275,0.03526504941599273,252,21.985001,0.014806331899483771,328,21.809999,0.008023934343142303,339,21.99,-0.0077343494085532205,369,21.42,0.026131591227251505,369,21.295,0.006578900066781079,375,21.565001,-0.01183290078110899,271,21.131001,0.02058693897713848,431,21.030001,0.004325094851469036,419,21.065001,-0.0042613634345944895,406,21.059999,-0.0011853485064011737,427,20.584999,0.023323566569485088,434,20.57,0.00024290573372209856,439,20.49,0.00439453125,459,20.690001,-0.010144975355315333,359,21.790001,-0.05178730522456465,363,22.690001,-0.04093301236500935,288,22.42,0.012042863514718949,444,22.370001,0.0022350915406754712,418,22.809999,-0.01928969834676464,435,22.1,0.03212665158371042,421,22.27,0.004089050431621999
8,CVNA,Carvana,Consumer Discretionary,8,72.260002,,35,74.199997,-0.025620306061472142,109,70.809998,0.04728297945752935,39,68.32,0.03614284671599921,18,69.474998,-0.016695494385629228,266,68.029999,0.021240614747032316,448,66.110001,0.028731318406078232,465,62.355,0.06013470076756411,473,61.43,0.014892594643434176,376,66.330002,-0.07373341375150777,400,66.059998,0.0039352504919025755,430,64.050003,0.03154273842063171,483,60.459999,0.05937816836550058,470,60.200001,0.0044857950570824645,446,62.744999,-0.04063743426294819,441,65.580002,-0.04322968761117141,358,64.18,0.022450935803725036,124,67.339996,-0.04692599031339406,85,70.654999,-0.04698567523432351,7,70.589996,0.0009208528641935221,227,70.389999,0.002983788135142884,362,65.014999,0.08308972405261494,386,65.82,-0.012380418885601596,360,67.120003,-0.01936833942036631,391,66.370003,0.011452712304811374,350,67.471901,-0.016594977525410504,268,70.385002,-0.04131992219323344,345,68.599998,0.026020467230917443,307,67.889999,0.01075578263934962,472,65.805,0.0314493922819814,481,63.73,0.032721264395460414,495,62.310001,0.022133152273717815,379,66.199997,-0.05876127154507271,275,67.910004,-0.02518048739917622,463,64.830002,0.04750889873487907,255,66.669998,-0.027598560899912083,454,68.365,0.0016526442804283281
9,SWKS,Skyworks Solutions,Information Technology,9,68.344299,,29,68.790001,-0.006479168389603607,15,70.620003,-0.025913366217217404,44,66.839996,0.05655307041011781,1,66.989998,-0.002239170092227849,236,66.790001,0.0029944152868031093,280,61.290001,0.0897373129427752,322,62.279999,-0.015895921899420684,330,62.48,-0.0032010403329065795,359,61.189999,0.021081892810620895,365,64.68,-0.053957962275819504,393,63.439999,0.01954604381377756,391,60.209999,0.053645574715920574,398,60.470001,-0.004299685723504476,412,63.16,-0.04259023115896121,275,62.950001,0.003335964998634422,466,59.799999,0.052675619609960256,466,59.349998,0.0075821569530634125,479,57.630001,0.029845513971099802,486,57.509998,0.0020866458732966553,491,56.580002,0.016436832222098685,488,58.240002,-0.028502746273944113,495,60.380001,-0.035442182255015275,495,59.950001,0.007172643750247731,493,58.490002,0.024961513935321866,491,59.759998,-0.021251607136934747,491,61.91,-0.034727863026974504,491,62.560001,-0.01039004139402111,476,65.93,-0.051114803579554224,438,67.800003,-0.02758116397133492,485,67.709999,0.0013292571456102742,472,68.0,-0.004264720588235349,481,69.940002,-0.02773808899805308,378,71.400002,-0.020448178698930453,285,73.44,-0.027777777021302463,204,76.18,-0.03596745,357,77.33,0.051483825458267685
10,EQT,EQT Corporation,Energy,10,54.435001,,15,54.09,0.006564330378538097,64,51.675999,0.046430664469542915,101,51.584999,0.0014728876539877866,136,51.220001,0.006929513956666078,113,52.775002,-0.029372730718211115,121,53.555,-0.014656441100514561,129,53.285,0.004972771533631626,135,52.709999,0.010908765147197075,39,52.584999,0.002663096823283251,39,51.650002,0.017905516840882818,307,52.0,-0.006730730769230808,221,53.035,-0.019515414349014715,171,53.389999,-0.006649166635122161,187,54.035,-0.011479337584867189,198,49.860001,0.08504018243052558,416,49.084999,0.016513802579282366,416,49.560001,-0.009584382373196365,426,49.377602,0.0032388460227188443,432,49.259998,0.002590903553299606,413,49.810001,-0.011042019453081253,455,49.709999,0.0018101367294822701,469,48.814999,0.017604934190580845,376,50.145,-0.026620198340171597,381,51.130001,-0.01983971853010147,378,51.759998,-0.012171503561495545,374,51.720001,0.0009669116412089895,358,52.619999,-0.016916935622183216,361,52.509998,0.0026676638719513868,342,53.165001,-0.012413015324920562,355,52.009998,0.02240386538461525,349,52.695,-0.013093035804686126,360,51.650002,0.020232293505041854,272,51.48,0.0033022921522922744,434,51.66,-0.0034843205574912606,437,51.84,-0.003472222222222321,456,51.23,0.022081998775985934
