current_rank,ticker,name,sector,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return
1,CRAI,CRA INTERNATIONAL INC,Industrials,1,173.589996,,45,174.484299,-0.00512541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,2,43.654999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DE,Deere & Company,Industrials,3,642.419983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IDR,IDAHO STRATEGIC RESOURCES INC,Materials,4,32.514999,,,,,,,,,,,,,,,,,,,,43,34.825001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VAL,VALARIS LTD,Energy,5,88.455002,,,,,,,,39,86.68,,35,86.489998,0.00219681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARE,Alexandria Real Estate Equities,Real Estate,6,53.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,51.404999,,,,
7,PPIH,PERMA PIPE INTERNATIONAL HOLDINGS,Industrials,7,27.700001,,,,,,,,,,,,,,,,,,,,5,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESCA,ESCALADE INC,Consumer Discretionary,8,21.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,9,36.150002,,,,,17,35.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36.330002,,29,36.450001,-0.00329215,,,,,,,,,,,,
10,PEP,PepsiCo,Consumer Staples,10,143.100403,,25,142.690002,0.00287617,,,,1,140.619995,,,,,13,140.960007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KHC,Kraft Heinz,Consumer Staples,11,25.584999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BVFL,BV FINANCIAL INC,Financials,12,21.684999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,21.549999,,,,,,,,,,,,,,,,,,,,,,
