current_rank,ticker,name,sector,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return
1,TSLA,"Tesla, Inc.",Consumer Discretionary,1,355.980011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TOWN,TOWNEBANK,Financials,2,37.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NDAQ,"Nasdaq, Inc.",Financials,3,99.019997,,4,97.970001,0.01071753,,,,,,,,,,,,,36,97.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,4,15.67,,31,15.51,0.01031593,,,,1,15.775,,,,,,,,,,,,,,,,,,,,21,16.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KMB,Kimberly-Clark,Consumer Staples,5,111.370003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESCA,ESCALADE INC,Consumer Discretionary,6,21.24,,3,21.045,0.00926586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BEAM,BEAM THERAPEUTICS,Health Care,7,28.690001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FIZZ,NATIONAL BEVERAGE,Consumer Staples,8,32.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32.689999,,,,,,,
9,IP,International Paper,Materials,9,41.369999,,8,41.450001,-0.00193008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,STZ,Constellation Brands,Consumer Staples,10,138.210007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,11,77.580002,,,,,,,,3,77.260002,,,,,,,,17,78.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HCKT,HACKETT GROUP,Information Technology,12,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11.51,,,,,,,,,,,,,,,,,,,,,,
13,FUTU,Futu Holdings Limited - American Depositary Shares,,13,116.415001,,,,,,,,47,110.370003,,6,108.945,0.01308002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,107.040001,,,,,,,,,,,,,,,,
14,IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",,14,61.16,,15,60.07,0.01814550,,,,,,,11,58.91,,17,58.139999,0.01324391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,XYZ,"Block, Inc.",Financials,15,82.445,,18,81.5,0.01159509,,,,29,81.360001,,,,,,,,27,82.849998,,,,,,,,,,,,,,,,,,,,40,84.199997,,,,,,,,,,,,,,,,,,,,,,
16,KVUE,Kenvue,Consumer Staples,16,19.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LEN,Lennar,Consumer Discretionary,17,88.480003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,88.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AMCR,Amcor,Materials,18,47.98,,,,,50,47.814999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NTLA,INTELLIA THERAPEUTICS,Health Care,19,12.4901,,17,12.875,-0.02989515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ULTA,Ulta Beauty,Consumer Discretionary,20,536.025024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BSVN,BANK7 CORP,Financials,21,53.380001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CRK,COMSTOCK RESOURCES,Energy,22,14.1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CBOE,Cboe Global Markets,Financials,23,309.769989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ETD,ETHAN ALLEN INTERIORS,Consumer Discretionary,24,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,24.139999,,28,23.889999,0.01046463,,,,,,,,,,,,,,,,,,
25,UNF,UNIFIRST,Industrials,25,293.049988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ELV,Elevance Health,Health Care,26,401.420013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OMC,Omnicom Group,Communication Services,27,89.224998,,,,,,,,49,87.989998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,IPI,INTREPID POTASH INC,Materials,28,38.43,,,,,38,37.59,,20,37.279999,0.00831548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,IDR,IDAHO STRATEGIC RESOURCES INC,Materials,29,31.825001,,10,32.514999,-0.02122091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KINS,KINGSTONE COMPANIES INC,Financials,30,19.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ZTS,Zoetis,Health Care,31,77.245003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OOMA,OOMA,Information Technology,32,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,XP,XP Inc. - Class A Common Stock,,33,17.3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MCRI,MONARCH CASINO AND RESORT,Consumer Discretionary,34,125.339996,,,,,37,125.230003,,38,124.355003,0.00703631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LVS,Las Vegas Sands,Consumer Discretionary,35,47.154999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LXFR,LUXFER HOLDINGS PLC,Industrials,36,17.174999,,,,,,,,,,,47,17.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,GEN,Gen Digital,Information Technology,37,29.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29.290001,,,,,,,,,,,,,,,,,,,,,,,49,27.629999,,,,,,,
38,DLTR,Dollar Tree,Consumer Staples,38,134.964996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,HCA,HCA Healthcare,Health Care,39,431.049988,,,,,,,,,,,,,,,,,,,,,,,,,,46,411.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RIGL,RIGEL PHARMACEUTICALS,Health Care,40,45.685001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AMBP,ARDAGH METAL PACKAGING SA,Materials,41,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,KRYS,KRYSTAL BIOTECH,Health Care,42,341.049988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MOS,Mosaic Company (The),Materials,43,23.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,23.455,,3,23.42,0.00149445,,,,,,,,,,38,22.77,,,,,,,,,,
44,SW,Smurfit Westrock,Materials,44,49.375,,,,,,,,,,,,,,,,,,,,,,,41,49.244999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,INBX,INHIBRX BIOSCIENCES INC,Health Care,45,99.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CENT,CENTRAL GARDEN AND PET,Consumer Staples,46,44.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,44.07,,,,,,,,,,,,,,,,,,,
47,SXT,SENSIENT TECHNOLOGIES,Materials,47,136.740005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DKNG,DraftKings Inc. - Class A Common Stock,,48,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ABR,ARBOR REALTY TRUST REIT,Financials,49,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PJT,PJT PARTNERS CLASS A,Financials,50,176.154999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
