rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,OVLY,OAK VALLEY BANCORP,Financials,100.0,优先Call候选,34.529999,61.27,1.16,0.01023988,0.01798352,0.04747456,75.1,61.82,100.0,81.73,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
2,IKT,INHIBIKASE THERAPEUTICS,Health Care,100.0,优先Call候选,2.495,62.23,0.81,0.04612159,0.04612159,0.07311828,82.9,54.96,91.6,81.73,68.0,20.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
3,GILD,Gilead Sciences,Health Care,94.0,优先Call候选,146.520004,67.16,0.23,-0.00204334,0.05463191,0.13309107,75.1,67.34,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
4,VRTX,Vertex Pharmaceuticals,Health Care,94.0,优先Call候选,548.469971,66.57,0.11,-0.00160190,0.06381280,0.14894102,75.1,67.48,100.0,80.0,30.0,72.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
5,TRMB,Trimble Inc.,Information Technology,94.0,优先Call候选,60.619999,64.39,0.2,0.00580718,0.08852577,0.14571913,75.1,67.16,90.2,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
6,INTU,Intuit,Information Technology,94.0,优先Call候选,371.394989,68.86,0.15,0.01098379,0.10675859,0.25340013,67.1,74.85,80.4,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
7,ULTA,Ulta Beauty,Consumer Discretionary,94.0,优先Call候选,538.950012,57.95,0.21,0.02411356,0.09296106,0.13398705,98.2,66.36,90.2,80.0,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA9/26 新多头交叉；MACD 新金叉
8,BIIB,Biogen,Health Care,94.0,优先Call候选,216.574997,59.03,0.15,-0.00384070,0.03495652,0.07114593,75.1,66.67,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
9,INCY,Incyte,Health Care,94.0,优先Call候选,127.779999,63.98,0.14,-0.01099070,0.03524264,0.08591826,75.1,66.81,83.8,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
10,KDP,Keurig Dr Pepper,Consumer Staples,94.0,优先Call候选,32.450001,66.41,0.13,0.00980249,0.07166446,0.09259259,75.1,66.3,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
