rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,96.1,优先Call候选,538.880005,59.92,2.02,0.04655189,-0.00367924,0.00156127,98.2,75.4,61.5,83.4,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 三线翻转：翻转前 8 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.9；extension 1.4ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
2,GEMI,GEMINI SPACE STATION INC CLASS A,Financials,91.35,优先Call候选,4.54,60.89,0.26,-0.01992531,0.15816327,0.03771429,65.2,73.9,74.0,81.6,30.0,20.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.9；extension 1.0ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
3,ARMP,ARMATA PHARMACEUTICALS,Health Care,90.2,优先Call候选,5.415,60.33,0.55,-0.03303571,0.07440476,0.14361140,65.2,72.76,83.8,81.6,30.0,45.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（4 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.3；extension 1.4ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
4,GRBK,GREEN BRICK PARTNERS,Consumer Discretionary,89.65,优先Call候选,73.805,62.51,0.9,0.01687790,0.03440788,0.00156056,65.2,58.44,88.8,81.6,68.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 13 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（4 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.5；extension 1.4ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
5,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,89.2,优先Call候选,137.270004,54.95,0.87,-0.06461558,0.16865320,0.02417373,75.1,72.86,55.6,81.6,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 8 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 55.0；extension 0.8ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
6,EU,ENCORE ENERGY,Energy,88.1,优先Call候选,1.37,65.64,0.34,-0.00724638,0.26267281,0.18614719,65.2,73.09,48.8,81.6,30.0,20.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前空头/压缩混合；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 65.6；extension 2.0ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
7,KMPR,KEMPER,Financials,87.0,优先Call候选,28.41,58.57,2.44,0.03346672,0.06245325,-0.08147430,90.4,41.72,72.7,81.6,66.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 6 根 4H 空头排列；EMA9 最近上穿 EMA26（2 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 58.6；extension 1.5ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
8,BDN,BRANDYWINE REALTY TRUST REIT,Real Estate,86.95,优先Call候选,3.225,59.63,1.21,-0.00616333,0.04368932,0.07321131,65.2,59.27,83.8,81.6,100.0,20.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前空头/压缩混合；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.6；extension 1.6ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
9,YUM,Yum! Brands,Consumer Discretionary,86.75,优先Call候选,154.470001,57.82,1.43,-0.01683483,0.05837618,0.02747110,75.1,73.09,83.8,82.32,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.8；extension 1.1ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
10,GEVO,GEVO,Energy,86.4,优先Call候选,1.65,57.54,0.69,-0.02366864,0.07491857,0.10367893,75.1,76.62,83.8,81.6,30.0,20.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 5 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（3 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.5；extension 0.9ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
11,WRLD,WORLD ACCEPTANCE CORP,Financials,86.3,优先Call候选,191.119995,52.45,0.52,-0.01672069,0.03520745,0.00732620,87.7,58.13,72.6,81.6,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 11 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 52.5；extension 0.3ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
12,NEXT,NEXTDECADE,Energy,85.3,优先Call候选,7.36,59.25,0.74,-0.01472557,0.09523810,0.19967400,65.2,75.29,64.2,81.6,30.0,72.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 11 根 4H 空头排列；EMA9 最近上穿 EMA26（9 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.3；extension 1.2ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
13,PLD,Prologis,Real Estate,84.5,优先Call候选,142.600006,55.11,2.72,-0.00478067,0.00920030,-0.03098667,87.7,42.34,69.9,82.32,66.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 55.1；extension 0.6ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
