current_rank,ticker,name,sector,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return
1,URBN,URBAN OUTFITTERS,Consumer Discretionary,1,79.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,2,134.229996,,6,144.130005,-0.06868805,,,,,,,,,,,,,,,,,,,,,,3,133.177505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CNC,Centene Corporation,Health Care,3,67.114998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UPST,UPSTART HOLDINGS,Financials,4,30.17,,8,30.58,-0.01340746,,,,,,,,,,5,31.110001,,,,,,,,16,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IDR,IDAHO STRATEGIC RESOURCES INC,Materials,5,33.505001,,,,,,,,11,32.514999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LEE,LEE ENTERPRISES INC,Communication,6,8.35,,2,8.48,-0.01533019,,,,,,,4,8.59,,,,,,,,2,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BHVN,BIOHAVEN,Health Care,7,15.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LEU,CENTRUS ENERGY CLASS A,Energy,8,190.964996,,10,193.5,-0.01310080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,176.75,,,,
9,LAUR,LAUREATE EDUCATION,Consumer Discretionary,9,38.57,,9,38.360001,0.00547443,,,,,,,,,,,,,18,38.130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38.41,
10,EQT,EQT Corporation,Energy,10,55.240002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,54.375,,7,54.09,0.00526900,,,,,,,,,,,,,,,,,,,,,,,,
