rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,BG,Bunge Global,Consumer Staples,100.0,优先Call候选,115.449997,58.55,1.32,0.03154312,0.02050738,0.09858218,98.2,72.86,100.0,82.08,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
2,WFRD,Weatherford International plc - Ordinary shares,,98.69,优先Call候选,93.790001,62.61,1.71,0.03922439,0.03623908,0.10705854,98.2,69.11,91.6,82.68,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
3,LPLA,LPL Financial Holdings Inc. - Common Stock,,97.3,优先Call候选,370.690002,62.86,1.1,0.02644400,0.02618828,0.09220824,98.2,54.58,100.0,82.68,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
4,DSP,VIANT TECHNOLOGY INC CLASS A,Information Technology,94.59,优先Call候选,13.23,60.06,1.21,0.03266596,0.06350482,0.15646853,98.2,56.0,100.0,81.06,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
5,INVX,INNOVEX INTERNATIONAL INC,Energy,94.18,优先Call候选,30.125,56.95,1.74,0.04004833,0.02815703,0.13337096,92.8,55.64,91.6,81.06,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
6,VRNS,VARONIS SYSTEMS,Information Technology,92.87,优先Call候选,43.919998,56.97,1.93,-0.01722983,0.06524371,0.09964945,90.4,79.7,83.8,81.06,100.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
7,FINW,FINWISE BANCORP,Financials,92.49,优先Call候选,14.11,53.49,0.83,0.01474290,0.00427046,0.04132841,98.2,71.57,88.8,81.06,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
8,PI,IMPINJ,Information Technology,92.48,优先Call候选,170.059998,56.63,1.03,0.03104157,0.02755286,0.14936463,92.8,55.55,100.0,81.06,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
9,LXFR,LUXFER HOLDINGS PLC,Industrials,92.27,优先Call候选,17.174999,57.52,1.81,0.00087407,-0.00145360,0.00821832,95.5,61.53,69.9,81.06,100.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
10,DPZ,Domino's,Consumer Discretionary,90.6,优先Call候选,350.0,54.53,1.09,0.03688346,0.02369116,-0.00658494,92.8,53.78,72.7,82.68,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
11,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,90.53,优先Call候选,16.98,54.88,0.92,0.00000000,0.02289157,0.13806971,90.4,69.41,100.0,81.06,68.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
12,RLGT,RADIANT LOGISTIC INC,Industrials,90.51,优先Call候选,8.73,57.25,1.07,0.01100174,0.03558719,0.05562273,92.8,43.69,100.0,81.06,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
13,PSTL,POSTAL REALTY TRUST CLASS A,Real Estate,90.15,优先Call候选,23.775,61.7,1.02,0.00741525,0.03820961,0.03234907,87.7,71.57,100.0,81.06,68.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
14,LRN,STRIDE INC,Consumer Discretionary,90.13,优先Call候选,86.919998,60.86,0.83,0.02078680,0.03120177,0.04647243,87.7,71.46,100.0,81.06,68.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
15,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,90.08,优先Call候选,72.769997,58.59,0.74,0.03366470,0.01527721,0.04599679,98.2,54.46,100.0,81.06,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
16,NVDA,Nvidia,Information Technology,89.87,优先Call候选,217.550003,50.62,0.94,-0.05103389,0.01303843,0.11478355,98.2,74.12,65.4,66.8,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
17,HAL,Halliburton,Energy,89.03,优先Call候选,36.174999,66.67,0.8,0.02901437,0.02420722,0.14333123,82.9,77.56,100.0,82.08,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
18,WAY,WAYSTAR HOLDING,Health Care,88.93,优先Call候选,26.24,66.12,1.09,0.03388499,0.04918033,0.25310405,82.9,69.53,90.2,82.68,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
