current_rank,ticker,name,sector,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return
1,DPZ,Domino's,Consumer Discretionary,1,350.970001,,,,,,,,,,,24,349.01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WFC,Wells Fargo,Financials,2,86.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FSBW,FS BANCORP INC,Financials,3,43.299999,,,,,16,42.349998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HAL,Halliburton,Energy,4,35.785,,5,35.489899,0.00831507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DMAC,DIAMEDICA THERAPEUTICS INC,Health Care,5,6.48,,1,6.75,-0.04000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6.87,,,,,,,,,,,,,,,,,,,,,,
6,SWKS,Skyworks Solutions,Information Technology,6,65.059998,,4,67.360001,-0.03414494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,7,17.129999,,16,16.950001,0.01061935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PARR,PAR PACIFIC HOLDINGS INC,Energy,8,80.459999,,2,77.065002,0.04405368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CMRE,COSTAMARE,Industrials,9,15.36,,50,15.345,0.00097752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ORC,ORCHID ISLAND CAPITAL INC,Financials,10,6.72,,6,6.73,-0.00148588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LIVN,LIVANOVA PLC,Health Care,11,79.870003,,7,80.029999,-0.00199920,2,79.970001,0.00075026,,,,,,,,,,,,,,,,,,,49,81.410004,,23,82.089996,-0.00828349,4,82.040001,0.00060940,1,80.779999,0.01559795,,,,,,,,,,,,,,,,,,,,,,,,
12,HG,HAMILTON INSURANCE GROUP CLASS B,Financials,12,35.27,,11,35.259998,0.00028366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KWR,QUAKER HOUGHTON CORP,Materials,13,168.725006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,14,235.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,15,9.55,,20,9.375,0.01866667,3,9.46,-0.00898520,,,,,,,,,,,,,,,,,,,,,,,,,20,9.63,,7,9.52,0.01155462,,,,,,,34,9.48,,14,9.57,-0.00940439,,,,,,,,,,,,
16,FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate,16,25.32,,15,25.18,0.00555997,,,,,,,,,,47,25.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CURB,CURBLINE PROPERTIES,Real Estate,17,30.18,,,,,15,30.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OIS,OIL STATES INTERNATIONAL,Energy,18,8.59,,17,8.665,-0.00865551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8.84,,,,,,,,,,,,,,,,,,,
19,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,19,82.536003,,22,77.489998,0.06511815,,,,,,,,,,,,,,,,,,,,,,,,,48,78.860001,,,,,,,,,,,,,,,,,,,,,,,,,,44,75.629997,,,,
20,XRX,XEROX HOLDINGS CORP,Information Technology,20,3.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FISV,Fiserv,Financials,21,53.617401,,,,,,,,,,,,,,,,,,,,,,,,,,36,52.48,,10,54.189999,-0.03155562,,,,,,,,,,,,,42,52.41,,18,54.110001,-0.03141750,,,,,,,,,,,,
22,GRAB,Grab Holdings Limited - Class A Ordinary Shares,,22,3.63,,,,,,,,30,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KR,Kroger,Consumer Staples,23,57.93,,,,,,,,,,,,,,27,57.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,YUM,Yum! Brands,Consumer Discretionary,24,153.725006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ALL,Allstate,Financials,25,260.644989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AON,Aon plc,Financials,26,358.355011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ROOT,ROOT INC CLASS A,Financials,27,56.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FINW,FINWISE BANCORP,Financials,28,14.1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SKYH,SKY HARBOUR GROUP CLASS A,Industrials,29,10.6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PBH,PRESTIGE CONSUMER HEALTHCARE,Health Care,30,52.2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PRTA,PROTHENA PLC,Health Care,31,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SAMG,SILVERCREST ASSET MANAGEMENT GROUP,Financials,32,10.1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FA,FIRST ADVANTAGE,Industrials,33,21.334999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,KMPR,KEMPER,Financials,34,28.045,,,,,29,28.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MQ,MARQETA CLASS A,Financials,35,16.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PLMR,PALOMAR HOLDINGS,Financials,36,131.604996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AAPL,Apple Inc.,Information Technology,37,321.6763,,12,314.579987,0.02255806,8,313.450012,0.00360496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,VRSK,Verisk Analytics,Industrials,38,192.832504,,25,191.020004,0.00948854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SBAC,SBA Communications,Real Estate,39,188.960007,,23,186.960007,0.01069747,,,,,,,15,185.070007,,42,182.755005,0.01266724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,40,533.030029,,24,543.690002,-0.01960671,4,538.880005,0.00892591,,,,,,,,,,,,,49,535.130005,,6,516.164978,0.03674218,,,,,,,45,514.080017,,35,536.200012,-0.04125325,7,535.27002,0.00173743,,,,,,,,,,,,,,,,,,,,,
41,CL,Colgate-Palmolive,Consumer Staples,41,90.980003,,26,90.970001,0.00010995,33,92.059998,-0.01184007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,92.540001,,,,,43,91.290001,
42,HIG,Hartford (The),Financials,42,138.600006,,27,137.800003,0.00580554,22,139.850006,-0.01465858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CNC,Centene Corporation,Health Care,43,64.540001,,13,65.330002,-0.01209247,,,,,,,27,65.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,66.989998,,,,,,,,,,
