rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,DPZ,Domino's,Consumer Discretionary,94.0,优先Call候选,350.970001,55.4,1.24,0.01848519,0.02640814,0.00215583,67.6,53.47,88.8,83.24,100.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 55.4；extension 0.9ATR；量能 1.2x；MACD 不转弱；日线辅助 61.0；MACD 新金叉
2,WFC,Wells Fargo,Financials,90.0,优先Call候选,86.269997,53.17,1.04,0.01220221,0.03236995,0.01101600,67.6,40.77,88.8,80.0,68.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.0%；RSI 53.2；extension 0.4ATR；量能 1.0x；MACD 不转弱；日线辅助 82.0；MACD 新金叉
3,FSBW,FS BANCORP INC,Financials,90.0,优先Call候选,43.299999,54.06,1.0,0.02074496,0.03712572,0.01594542,67.6,41.09,88.8,80.0,68.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.3%；RSI 54.1；extension 0.6ATR；量能 1.0x；MACD 不转弱；日线辅助 82.0；MACD 新金叉
4,HAL,Halliburton,Energy,89.0,优先Call候选,35.785,64.55,1.07,0.03875178,0.01359581,0.13639251,82.9,77.33,80.4,82.12,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.4%；RSI 58.2；extension 1.3ATR；量能 1.3x；MACD 不转弱；4H辅助 59.0；EMA 多头延续；MACD 新金叉
5,DMAC,DIAMEDICA THERAPEUTICS INC,Health Care,89.0,优先Call候选,6.48,43.06,0.83,-0.03283582,-0.00689655,0.01567398,43.7,41.01,53.7,50.0,68.0,45.0,confirmed_bearish_trend,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 54.3；extension 0.4ATR；量能 1.4x；MACD 不转弱；日线辅助 73.0；MACD 保持多头
6,SWKS,Skyworks Solutions,Information Technology,85.0,优先Call候选,65.059998,42.72,0.74,-0.02385602,-0.02121262,0.05728444,32.9,72.95,64.9,50.0,30.0,100.0,bearish_transition,mixed_or_bearish,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 52.0；extension 0.2ATR；量能 1.1x；MACD 不转弱；日线辅助 52.0
7,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,85.0,优先Call候选,17.129999,57.0,0.47,0.03881134,0.04898953,0.16968242,92.8,69.5,81.8,81.26,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.4%；RSI 52.8；extension 0.5ATR；量能 0.8x；MACD 不转弱；4H辅助 84.0；EMA9/26 新多头交叉；MACD 新金叉
8,PARR,PAR PACIFIC HOLDINGS INC,Energy,85.0,优先Call候选,80.459999,57.26,0.64,0.06133757,0.00549865,-0.06070517,92.8,52.56,53.1,81.26,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.1%；RSI 50.8；extension 0.1ATR；量能 0.9x；MACD 不转弱；日线辅助 0.0；EMA9/26 新多头交叉；MACD 新金叉
9,CMRE,COSTAMARE,Industrials,85.0,优先Call候选,15.36,54.56,0.47,0.03434343,-0.01538462,-0.00807233,54.4,74.53,62.2,81.26,30.0,100.0,mixed_sideways,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.8%；RSI 53.2；extension 0.5ATR；量能 1.0x；MACD 不转弱；4H辅助 0.0
10,ORC,ORCHID ISLAND CAPITAL INC,Financials,85.0,优先Call候选,6.72,54.88,1.26,0.00749625,0.00074460,0.02205323,54.4,74.9,77.6,81.26,100.0,45.0,mixed_sideways,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 55.4；extension 0.8ATR；量能 1.1x；MACD 不转弱；4H辅助 0.0
