rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,FINW,FINWISE BANCORP,Financials,98.3,优先Call候选,14.215,56.84,0.18,0.02229414,0.01174377,0.04907749,98.2,71.38,88.8,81.14,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 三线翻转：翻转前 12 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 56.8；extension 0.7ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
2,TLS,TELOS CORPORATION CORP,Information Technology,95.95,优先Call候选,4.76,61.16,0.17,-0.00418410,0.05660377,0.09803922,65.2,72.56,100.0,81.14,30.0,20.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 61.2；extension 1.6ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
3,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,93.35,优先Call候选,9.55,56.52,0.03,0.01866667,0.03020496,0.00420610,90.4,71.14,88.8,81.14,30.0,72.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 3 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 56.5；extension 1.1ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
4,BG,Bunge Global,Consumer Staples,88.75,优先Call候选,115.074997,57.6,0.47,0.02819250,0.01719261,0.09501381,98.2,57.99,100.0,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 三线翻转：翻转前 5 根 4H 空头排列；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.6；extension 0.7ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
5,AAPL,Apple Inc.,Information Technology,85.65,优先Call候选,319.640015,63.18,0.15,0.01386122,0.03302954,-0.04256400,87.7,70.34,72.7,82.88,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 63.2；extension 1.7ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
6,WMB,Williams Companies,Energy,85.3,优先Call候选,73.824997,54.85,0.14,-0.00759513,0.04701454,0.04125522,75.1,73.13,83.8,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 3 根 4H 空头排列；EMA9 最近上穿 EMA26（4 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 54.8；extension 0.6ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
7,OXM,OXFORD INDUSTRIES INC,Consumer Discretionary,84.5,优先Call候选,38.75,62.6,0.17,0.01626014,0.06837607,0.01386706,87.7,71.13,88.8,81.14,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.6；extension 1.5ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
8,FTRE,FORTREA HOLDINGS INC,Health Care,84.15,优先Call候选,19.105,60.61,0.17,0.00131027,0.03831522,0.00288719,75.1,65.61,88.8,81.14,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 3 根 4H 空头排列；EMA9 最近上穿 EMA26（4 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（3 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.6；extension 1.3ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
9,LVWR,LIVEWIRE GROUP,Consumer Discretionary,84.1,优先Call候选,1.385,57.64,0.1,0.02349985,0.16386555,-0.35128806,75.1,67.03,62.9,81.14,30.0,20.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 5 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（4 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.6；extension 1.0ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
10,CTVA,Corteva,Materials,83.7,优先Call候选,83.133598,63.52,0.14,0.00305986,0.01667606,-0.06998994,65.2,71.7,72.7,82.0,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（11 根前）；EMA9 最近上穿 EMA50（8 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 63.5；extension 1.3ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
