current_rank,ticker,name,sector,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return
1,WRLD,WORLD ACCEPTANCE CORP,Financials,1,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,190.619995,,,,,,,,,,,,,,,,
2,TRDA,ENTRADA THERAPEUTICS,Health Care,2,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GKOS,GLAUKOS,Health Care,3,185.190002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GOLD,GOLD INC,Consumer Discretionary,4,47.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,45.23,,,,,,,,,,,,,,,,,,,,,,
5,MNSB,MAINSTREET BANCSHARES,Financials,5,25.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24.49,
6,BEN,Franklin Resources,Financials,6,34.645,,,,,,,,,,,,,,,,,,,,33,35.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JBHT,J.B. Hunt,Industrials,7,274.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INVA,INNOVIVA,Health Care,8,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KGS,KODIAK GAS SERVICES INC,Energy,9,64.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ANDE,ANDERSONS INC,Consumer Staples,10,70.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CLB,CORE LABORATORIES,Energy,11,12.5,,,,,,,,28,12.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IMAX,IMAX,Communication,12,52.685001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HNRG,HALLADOR ENERGY,Utilities,13,16.9,,,,,,,,,,,,,,,,,,,,,,,14,16.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PIPR,PIPER SANDLER COMPANIES,Financials,14,77.370003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LRCX,Lam Research,Information Technology,15,320.420013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,343.25,,,,,,,,,,,,,
16,ANET,Arista Networks,Information Technology,16,194.990005,,,,,,,,,,,,,,,,,,,,11,202.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TPL,Texas Pacific Land Corporation,Energy,17,381.971985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SYM,Symbotic Inc. - Class A Common Stock,,18,43.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,HY,HYSTER YALE INC CLASS A,Industrials,19,35.619999,,38,35.790001,-0.00474999,,,,,,,,,,,,,2,34.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AEO,AMERICAN EAGLE OUTFITTERS,Consumer Discretionary,20,17.235001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,21,281.674988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,INFQ,INFLEQTION INC,Information Technology,22,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BKV,BKV,Energy,23,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FLGT,FULGENT GENETICS,Health Care,24,20.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19.92,,,,,,,,,,,,,,,,,,,,,,,,,
25,HIFS,HINGHAM INSTITUTION FOR SAVINGS,Financials,25,310.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IDCC,INTERDIGITAL INC,Information Technology,26,340.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
