rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,KMI,Kinder Morgan,Energy,94.0,优先Call候选,31.98,53.46,1.52,0.01960784,-0.00806458,0.03696498,79.6,48.0,81.1,80.0,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.4%；RSI 51.9；extension 0.2ATR；量能 1.4x；MACD 不转弱；4H辅助 89.0；EMA9/26 新多头交叉
2,XRN,CHIRON REAL ESTATE INC,Real Estate,94.0,优先Call候选,37.169998,54.31,1.53,0.00188679,0.01835611,0.03021053,64.3,66.24,100.0,80.96,100.0,100.0,confirmed_bullish_trend,mixed_or_bearish,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 54.3；extension 0.5ATR；量能 1.5x；MACD 不转弱；日线辅助 58.0；EMA 多头延续
3,AVO,MISSION PRODUCE INC,Consumer Staples,94.0,优先Call候选,12.87,52.32,2.02,0.01819620,0.01099764,-0.02500000,67.6,40.81,69.9,80.0,100.0,72.0,mixed_sideways,fresh_below_zero_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 50.9；extension 0.1ATR；量能 1.6x；MACD 不转弱；4H辅助 0.0；MACD 新金叉
4,LGND,LIGAND PHARMACEUTICALS,Health Care,94.0,优先Call候选,288.829987,53.77,1.87,0.00291676,0.01564801,-0.01557603,65.2,42.8,81.1,80.96,100.0,100.0,mixed_sideways,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.7%；RSI 53.8；extension 0.5ATR；量能 1.9x；MACD 不转弱；日线辅助 84.0；MACD 保持多头
5,TTGT,TECHTARGET INC,Communication,94.0,优先Call候选,4.05,59.33,1.5,0.01376721,0.04381443,0.05468750,90.4,43.56,100.0,80.96,100.0,20.0,fresh_bullish_cross,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 59.3；extension 1.3ATR；量能 1.5x；MACD 不转弱；日线辅助 79.0；EMA9/26 新多头交叉；MACD 保持多头
6,LARK,LANDMARK BANCORP INC,Financials,90.0,优先Call候选,32.48,59.58,0.91,0.01183807,0.02395968,0.02784810,75.1,53.66,100.0,80.96,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 59.6；extension 1.2ATR；量能 0.9x；MACD 不转弱；日线辅助 0.0；EMA 多头延续；MACD 保持多头
7,PNTG,PENNANT GROUP,Health Care,90.0,优先Call候选,39.310001,61.28,1.6,0.03884781,0.06907808,0.00769041,90.4,47.27,80.4,80.96,100.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 55.5；extension 0.7ATR；量能 1.1x；MACD 不转弱；4H辅助 77.0；EMA9/26 新多头交叉；MACD 保持多头
8,SGHC,SUPER GROUP,Consumer Discretionary,90.0,优先Call候选,13.95,54.91,1.01,-0.00534759,0.03104213,0.06814701,65.2,59.26,83.8,80.96,68.0,72.0,mixed_sideways,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.1%；RSI 54.9；extension 0.6ATR；量能 1.0x；MACD 不转弱；日线辅助 79.0；MACD 保持多头
9,RYAM,RAYONIER ADVANCED MATERIALS,Materials,90.0,优先Call候选,8.55,51.0,1.19,0.00117096,-0.00233372,-0.05263158,65.2,40.19,53.8,66.8,100.0,72.0,mixed_sideways,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.2%；RSI 51.0；extension 0.1ATR；量能 1.2x；MACD 不转弱；日线辅助 76.0；MACD 保持多头
10,OBT,ORANGE COUNTY BANCORP INC,Financials,90.0,优先Call候选,38.169998,49.79,0.95,-0.01598358,0.00354931,-0.01037081,51.7,40.59,53.7,66.8,68.0,100.0,bearish_transition,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.3%；RSI 50.8；extension 0.1ATR；量能 1.0x；MACD 不转弱；4H辅助 55.0；MACD 保持多头
11,SBAC,SBA Communications,Real Estate,89.0,优先Call候选,188.690002,52.77,1.26,0.00015901,-0.00542905,0.02537766,73.0,75.09,81.1,80.96,100.0,100.0,mixed_sideways,fresh_above_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.8%；RSI 58.6；extension 0.9ATR；量能 1.5x；MACD 不转弱；日线辅助 67.0；MACD 新金叉
12,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,89.0,优先Call候选,109.129997,51.39,1.31,0.01121200,0.03333014,0.00220404,67.6,53.52,88.8,67.76,100.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 54.2；extension 0.4ATR；量能 1.5x；MACD 不转弱；日线辅助 0.0；MACD 新金叉
13,UNH,UnitedHealth Group,Health Care,89.0,优先Call候选,400.869995,53.91,1.49,0.00898567,0.02964069,-0.01520661,87.7,47.84,81.1,80.0,100.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.8%；RSI 56.3；extension 0.8ATR；量能 1.2x；MACD 不转弱；日线辅助 0.0；EMA 早期转强；MACD 保持多头
14,WRB,W. R. Berkley Corporation,Financials,89.0,优先Call候选,69.769997,55.49,2.29,0.00547626,0.03248243,-0.02542253,90.4,47.52,81.1,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.8%；RSI 61.3；extension 1.5ATR；量能 2.8x；MACD 不转弱；日线辅助 0.0；EMA9/26 新多头交叉；MACD 保持多头
15,TKO,TKO Group Holdings,Communication Services,89.0,优先Call候选,195.410004,60.62,2.71,0.03249503,0.07003619,0.04732555,90.4,47.91,100.0,80.4,66.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.3%；RSI 60.6；extension 1.6ATR；量能 2.7x；MACD 不转弱；日线辅助 89.0；EMA9/26 新多头交叉；MACD 保持多头
16,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",,89.0,优先Call候选,85.110001,47.74,1.25,0.00519668,0.03301374,-0.02931112,51.7,40.44,81.1,66.8,100.0,100.0,bearish_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 51.2；extension 0.1ATR；量能 1.3x；MACD 不转弱；日线辅助 73.0；MACD 保持多头
17,WRLD,WORLD ACCEPTANCE CORP,Financials,89.0,优先Call候选,192.0,55.38,0.77,-0.00451078,0.04376191,0.02078794,87.7,71.28,88.8,80.96,68.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.3%；RSI 51.7；extension 0.2ATR；量能 1.4x；MACD 不转弱；日线辅助 51.0；EMA 早期转强；MACD 保持多头
18,TRDA,ENTRADA THERAPEUTICS,Health Care,89.0,优先Call候选,7.52,57.44,1.82,0.05469846,0.06591070,0.09620991,92.8,69.87,91.6,80.96,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.0%；RSI 59.7；extension 1.5ATR；量能 2.3x；MACD 不转弱；日线辅助 78.0；EMA9/26 新多头交叉；MACD 新金叉
